,mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
200,b827eb983f87,1716345996.176456,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-249+584j),(-62+574j),(113+527j),(331+430j),(475+250j),(538+52j),(537-126j),(482-291j),(397-427j),(286-521j),(152-580j),(30-594j),(-104-609j),(-222-582j),(-327-555j),(-438-493j),(-528-402j),(-602-310j),(-655-208j),(-673-100j),(-657-7j),(-636+92j),(-603+168j),(-543+251j),(-481+326j),(-382+373j),(-247+370j),(-64+331j),(2880+7808j),(-193-161j),(-369-109j),(-473-53j),(-516+24j),(-540+87j),(-569+173j),(-578+265j),(-579+347j),(-558+470j),(-498+584j),(-404+672j),(-292+743j),(-148+799j),(21+824j),(190+791j),(352+724j),(494+611j),(617+492j),(720+327j),(780+142j),(777-74j),(725-303j),(587-514j),(360-707j),(23-814j),(-335-754j),(-577-627j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
201,b827eb983f87,1716345996.278597,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-534-8j),(-496+153j),(-405+316j),(-181+499j),(117+531j),(366+412j),(510+223j),(570-15j),(511-237j),(402-418j),(239-533j),(47-589j),(-152-588j),(-336-519j),(-509-437j),(-632-262j),(-681-63j),(-667+125j),(-608+318j),(-483+465j),(-344+588j),(-168+624j),(-7+648j),(161+603j),(305+499j),(417+366j),(428+179j),(326-40j),(2880+7808j),(-34+242j),(146+362j),(298+374j),(411+307j),(529+221j),(606+88j),(635-60j),(655-235j),(581-415j),(468-591j),(295-729j),(81-811j),(-174-818j),(-433-718j),(-608-525j),(-747-299j),(-784-17j),(-743+247j),(-611+491j),(-384+682j),(-92+788j),(233+767j),(539+592j),(758+265j),(784-178j),(574-582j),(294-768j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
202,b827eb983f87,1716345996.381957,(-8190-3065j),(-1028+4100j),(2029-1023j),(2029-1023j),(648+248j),(603-20j),(474-244j),(265-453j),(-21-534j),(-272-473j),(-455-328j),(-550-132j),(-558+81j),(-508+274j),(-398+429j),(-239+543j),(-71+598j),(120+605j),(310+576j),(473+470j),(585+334j),(658+184j),(684+1j),(651-172j),(577-335j),(470-456j),(335-549j),(178-598j),(21-596j),(-139-533j),(-237-396j),(-284-170j),(2880+7808j),(183-163j),(113-378j),(22-473j),(-104-514j),(-239-506j),(-378-466j),(-495-415j),(-617-297j),(-704-157j),(-765+24j),(-752+234j),(-666+453j),(-525+631j),(-311+766j),(-86+813j),(170+790j),(412+677j),(592+504j),(736+279j),(785+4j),(732-292j),(575-566j),(288-755j),(-82-797j),(-476-648j),(-755-314j),(-874+12j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
203,b827eb983f87,1716345996.483486,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-312-543j),(-449-365j),(-519-158j),(-524+135j),(-368+384j),(-148+522j),(100+550j),(303+479j),(471+341j),(573+162j),(599-39j),(549-232j),(472-409j),(321-544j),(149-627j),(-37-656j),(-210-636j),(-389-571j),(-532-454j),(-621-295j),(-666-111j),(-657+52j),(-606+204j),(-515+349j),(-384+457j),(-209+508j),(-50+454j),(131+315j),(2880+7808j),(-259+21j),(-313+230j),(-302+373j),(-211+487j),(-95+560j),(34+595j),(183+617j),(327+596j),(492+530j),(649+400j),(759+211j),(790-27j),(768-248j),(668-469j),(497-638j),(271-766j),(5-776j),(-248-747j),(-485-621j),(-673-416j),(-770-123j),(-766+187j),(-602+502j),(-309+732j),(108+810j),(517+645j),(749+399j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
204,b827eb983f87,1716345996.586676,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-87-451j),(-257-426j),(-424-316j),(-545-23j),(-459+283j),(-255+485j),(-13+567j),(218+526j),(407+397j),(540+216j),(589+8j),(547-209j),(465-392j),(308-539j),(117-648j),(-103-662j),(-294-606j),(-458-502j),(-596-350j),(-657-159j),(-681+52j),(-616+225j),(-515+383j),(-370+498j),(-197+559j),556j,(151+435j),(254+224j),(2880+7808j),(-207+143j),(-143+370j),(-30+484j),(113+509j),(274+501j),(416+436j),(539+346j),(658+206j),(715+19j),(728-202j),(649-436j),(486-636j),(273-772j),(-3-831j),(-261-763j),(-513-630j),(-673-387j),(-771-132j),(-770+158j),(-648+442j),(-416+675j),(-95+787j),(280+740j),(613+513j),(806+115j),(742-352j),(516-605j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
205,b827eb983f87,1716345996.688696,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-590+78j),(-460+310j),(-247+467j),(36+528j),(310+443j),(484+259j),(564+54j),(537-154j),(445-341j),(316-479j),(154-563j),(-21-592j),(-187-571j),(-353-508j),(-513-417j),(-620-263j),(-669-101j),(-674+62j),(-641+232j),(-559+371j),(-451+499j),(-320+564j),(-176+623j),(-18+621j),(117+576j),(249+495j),(313+345j),(315+115j),(2880+7808j),(-154+193j),(-62+393j),(42+478j),(164+496j),(295+490j),(429+440j),(533+374j),(643+266j),(712+119j),(754-45j),(745-246j),(677-450j),(545-625j),(340-758j),(121-803j),(-123-796j),(-355-702j),(-537-558j),(-694-360j),(-771-101j),(-764+175j),(-652+465j),(-416+684j),(-84+794j),(321+736j),(659+480j),(820+172j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
206,b827eb983f87,1716345996.791514,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(519-288j),(353-417j),(149-489j),(-125-511j),(-383-386j),(-528-161j),(-549+72j),(-481+294j),(-334+453j),(-158+558j),(28+581j),(215+548j),(386+466j),(518+333j),(632+205j),(685+3j),(657-189j),(575-353j),(461-509j),(305-598j),(149-664j),(-12-657j),(-12-657j),(-314-543j),(-428-411j),(-488-260j),(-456-81j),(-316+111j),(2880+7808j),(-12-247j),(-208-335j),(-365-327j),(-462-241j),(-558-141j),(-621-12j),(-625+151j),(-640+294j),(-551+469j),(-431+629j),(-254+743j),(-48+813j),(195+812j),(442+714j),(612+523j),(742+307j),(784+49j),(754-214j),(640-451j),(437-649j),(173-773j),(-140-790j),(-452-660j),(-711-372j),(-801+53j),(-666+471j),(-424+724j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
207,b827eb983f87,1716345996.893045,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(303-330j),(228-436j),(104-524j),(-159-520j),(-369-378j),(-503-193j),(-555+11j),(-528+193j),(-457+350j),(-347+485j),(-201+564j),(-45+582j),(100+605j),(255+566j),(398+509j),(517+417j),(597+301j),(658+164j),(695+35j),(672-96j),(629-234j),(562-336j),(471-423j),(366-493j),(248-532j),(106-537j),(-19-461j),(-154-303j),(2880+7808j),(255-11j),(340-197j),(362-325j),(311-425j),(249-512j),(173-575j),(81-635j),(-21-683j),(-166-709j),(-316-703j),(-462-636j),(-606-513j),(-723-376j),(-803-193j),(-814+4j),(-790+221j),(-670+390j),(-558+562j),(-381+696j),(-161+773j),(92+783j),(353+712j),(591+519j),(760+245j),(813-127j),(663-500j),(461-662j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
208,b827eb983f87,1716345996.995991,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-406+454j),(-246+505j),(-82+522j),(153+511j),(351+412j),(486+246j),(550+73j),(548-103j),(514-261j),(440-391j),(340-487j),(232-552j),(102-615j),(-17-626j),(-127-635j),(-252-618j),(-365-557j),(-466-493j),(-554-415j),(-610-305j),(-634-213j),(-644-118j),(-641-26j),(-612+75j),(-569+177j),(-485+260j),(-347+299j),(-146+303j),(2880+7808j),(-147-203j),(-330-206j),(-447-177j),(-504-111j),(-551-58j),(-600+16j),(-627+109j),(-652+190j),(-650+312j),(-619+452j),(-556+560j),(-460+659j),(-331+750j),(-175+809j),(8+818j),(179+787j),(346+709j),(504+610j),(636+473j),(739+299j),(784+83j),(786-155j),(688-401j),(495-638j),(171-797j),(-194-802j),(-454-715j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
209,b827eb983f87,1716345997.097618,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(232+359j),(433+190j),(506-67j),(389-363j),(138-523j),(-160-521j),(-389-390j),(-537-164j),(-572+82j),(-486+316j),(-341+482j),(-136+582j),(99+610j),(309+546j),(496+439j),(630+249j),(673+26j),(649-198j),(556-408j),(380-562j),(205-646j),(-9-662j),(-198-621j),(-356-499j),(-490-333j),(-534-135j),(-454+52j),(-252+218j),(2880+7808j),(-121-215j),(-341-190j),(-472-80j),(-514+77j),(-501+228j),(-462+391j),(-332+531j),(-192+655j),(19+715j),(279+710j),(504+607j),(692+418j),(815+161j),(815-139j),(697-418j),(490-637j),(207-773j),(-113-786j),(-404-678j),(-652-461j),(-765-143j),(-774+225j),(-571+557j),(-193+785j),(287+762j),(683+473j),(820+92j),(10277+0j),(-12544-32640j),(128+0j),(1731+7082j)
