mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1718538114.002527,(-2048.0000000000005+5121.999999999999j),(79.99999999999999-3074j),(3082+15j),(-6148+1031.9999999999998j),(70.5090909090909-225.10000000000002j),(-27.63636363636362-263.6727272727273j),(-141.34545454545454-260.49090909090904j),(-260.21818181818196-165.7818181818182j),(-322.36363636363643-27.55454545454544j),(-314.4909090909091+111.22727272727279j),(-271.28181818181827+227.50909090909096j),(-185.47272727272724+315.08181818181816j),(-75.97272727272733+368.20909090909083j),(36.99999999999999+395.9636363636364j),(152.39999999999992+385.8999999999999j),(261.4545454545453+351.381818181818j),(361.0727272727273+279.86363636363654j),(447.1090909090908+194.66363636363644j),(538.7454545454547+99.61818181818191j),(568.8909090909091-40.599999999999945j),(562.2727272727275-183.14545454545444j),(513.118181818182-312.5272727272728j),(453.4727272727274-446.0454545454544j),(395.44545454545465-484.2999999999999j),(224.0454545454547-643.8636363636363j),(77.2727272727273-690.3272727272725j),(-77.10909090909072-698.5090909090907j),(-241.00909090909084-658.3454545454548j),(-395.20909090909083-554.5j),(-512.1909090909089-416.54545454545473j),(-547.7181818181816-198.8454545454547j),(-412.0818181818183+64.26363636363627j),(319.99999999999994+2206.9999999999995j),(27.027272727272834-332.7636363636363j),(-236.0363636363636-492.8636363636364j),(-443.0272727272726-439.2363636363637j),(-565.6727272727272-300.4363636363639j),(-639.3636363636365-163.19090909090926j),(-667.0090909090912-1.7636363636365686j),(-635.4090909090912+141.92727272727254j),(-591.690909090909+259.8272727272726j),(-492.01818181818203+367.44545454545437j),(-387.1181818181823+457.1000000000001j),(-279.30909090909114+507.4818181818183j),(-167.7454545454548+548.818181818182j),(-40.78181818181824+551.9181818181817j),(87.37272727272702+526.3545454545457j),(196.3999999999998+444.4363636363635j),(285.990909090909+365.0727272727275j),(348.4454545454545+265.7363636363637j),(393.05454545454563+161.77272727272754j),(406.5727272727272+45.80909090909109j),(395.20000000000016-73.99999999999983j),(336.6727272727275-177.69090909090903j),(256.3090909090912-275.090909090909j),(145.23636363636396-330.6272727272729j),(5.400000000000138-342.5454545454548j),(-132.69090909090903-303.42727272727296j),(-254.90909090909102-203.79090909090925j),(-294.5000000000004-97.33636363636381j),(10277.000000000002+0j),(-12818.618181818183-32639.999999999996j),(128.00000000000003+0j),(4081.363636363633+6608.872727272726j)
b827eb983f87,1718538114.103630,(-2048.000000000001+5121.999999999999j),(80.00000000000001-3074.0000000000005j),(3082+15.000000000000002j),(-6148.000000000001+1031.9999999999998j),(34.94545454545458-152.39696969696976j),(-27.036363636363614-170.2666666666667j),(-97.94545454545457-163.64848484848483j),(-171.78181818181832-101.0363636363637j),(-209.91515151515165-12.209090909090932j),(-203.39393939393946+78.30606060606067j),(-174.30000000000013+154.5333333333334j),(-116.94545454545457+211.33636363636367j),(-43.948484848484924+245.76060606060605j),(31.000000000000007+262.8606060606061j),(108.08484848484844+255.81515151515146j),(180.7454545454545+231.5636363636363j),(248.909090909091+181.9060606060608j),(306.0787878787878+122.79696969696981j),(365.8303030303032+58.31515151515162j),(385.630303030303-37.981818181818134j),(378.9636363636365-135.77575757575752j),(341.736363636364-226.22424242424253j),(298.7757575757578-317.11818181818177j),(251.76060606060628-345.0515151515152j),(136.6272727272729-447.0393939393939j),(32.793939393939425-476.59393939393937j),(-72.78787878787863-477.5454545454544j),(-183.82727272727266-445.3818181818185j),(-290.16666666666663-368.97272727272735j),(-366.66363636363633-269.56969696969725j),(-384.4999999999999-119.13030303030318j),(-281.5121212121214+59.28181818181809j),(320.00000000000006+2206.9999999999995j),(5.324242424242531-231.69696969696963j),(-183.46060606060607-331.70606060606065j),(-327.49393939393934-286.3393939393941j),(-407.00606060606054-181.39393939393972j),(-452.9636363636365-81.11818181818201j),(-463.92424242424283+33.963636363636176j),(-432.4030303030307+135.33939393939377j),(-395.9151515151515+216.7787878787878j),(-317.55151515151545+288.1787878787877j),(-235.6393939393944+343.9121212121213j),(-155.11515151515175+370.778787878788j),(-73.2606060606063+389.2242424242427j),(15.757575757575665+378.94242424242424j),(103.55454545454519+351.2757575757578j),(174.39999999999986+282.29090909090905j),(228.17878787878786+219.3636363636366j),(259.3181818181818+141.81515151515168j),(278.0787878787881+67.11212121212151j),(273.33636363636356-14.887878787878613j),(250.86666666666682-93.52121212121196j),(195.75151515151546-153.1515151515151j),(132.30303030303065-206.6969696969697j),(52.03030303030337-226.00909090909107j),(-39.80606060606048-213.0787878787881j),(-119.24242424242419-167.98484848484878j),(-179.09696969696978-89.15454545454558j),(-185.00909090909127-19.615151515151737j),(10277.000000000002+0j),(-12815.515151515152-32639.999999999996j),(128.00000000000006+0j),(5698.999999999998+6826j)
b827eb983f87,1718538114.205961,(-2048.000000000001+5121.999999999999j),(80.00000000000003-3074.0000000000005j),(3082+15.000000000000002j),(-6148.000000000001+1032j),(11.275757575757652-88.47424242424253j),(-20.799999999999972-92.31515151515163j),(-57.166666666666714-85.47272727272727j),(-95.55757575757588-51.56363636363646j),(-116.25454545454562-4.613636363636417j),(-113.00909090909101+46.11969696969702j),(-97.53787878787895+89.73939393939398j),(-64.91818181818186+122.28030303030312j),(-23.310606060606148+142.8045454545455j),(19.666666666666682+152.9242424242425j),(65.08787878787876+150.3287878787878j),(108.33939393939397+136.41212121212126j),(151.10909090909104+106.57727272727291j),(185.94242424242424+70.65000000000015j),(221.52121212121222+32.557575757575876j),(234.8848484848486-26.71212121212117j),(230.80606060606078-87.39090909090908j),(205.77121212121256-145.72424242424256j),(179.10909090909115-202.50151515151515j),(143.79545454545485-223.3712121212123j),(76.26212121212137-281.1772727272727j),(8.996969696969742-299.3000000000001j),(-56.43636363636348-297.6424242424242j),(-124.80454545454539-275.6757575757579j),(-193.22272727272724-224.80151515151528j),(-239.90151515151513-159.63939393939427j),(-247.7287878787879-64.93787878787893j),(-176.54090909090934+46.67121212121204j),(320.0000000000001+2206.9999999999995j),(-5.159090909090796-149.26666666666665j),(-131.00606060606066-206.51060606060616j),(-225.15-172.44242424242447j),(-273.0666666666666-98.13939393939432j),(-300.36666666666684-29.09848484848507j),(-301.8621212121216+48.281818181818004j),(-273.96515151515194+116.23636363636348j),(-246.47272727272718+169.90454545454543j),(-188.1000000000003+214.4499999999999j),(-126.88030303030354+246.0196969696971j),(-69.11818181818205+257.67424242424255j),(-11.07878787878812+261.58484848484886j),(48.41818181818171+244.1560606060607j),(105.72878787878761+217.78030303030323j),(148.23333333333326+161.7969696969697j),(176.64696969696973+113.47272727272752j),(186.3348484848485+54.05303030303057j),(187.7393939393942+2.534848484848794j),(171.9409090909091-53.27424242424225j),(143.36666666666682-101.33030303030287j),(93.26969696969732-129.2484848484848j),(43.948484848485236-151.81818181818184j),(-12.751515151514809-146.42878787878803j),(-68.78484848484837-117.73333333333352j),(-106.18787878787873-70.3227272727276j),(-121.8303030303031-7.87424242424251j),(-105.01060606060639+34.44696969696943j),(10277+0j),(-12816.29090909091-32639.999999999996j),(128.00000000000006+0j),(6738.90909090909+6965.581818181819j)
b827eb983f87,1718538114.308089,(-2048.000000000001+5122j),(80.00000000000003-3074.0000000000005j),(3082+15.000000000000002j),(-6148.000000000001+1032j),(-0.4999999999998863-33.33181818181828j),(-8.927272727272694-29.818181818181955j),(-19.009090909090958-25.96363636363637j),(-31.545454545454675-17.363636363636488j),(-41.381818181818346-4.768181818181887j),(-43.336363636363785+14.66818181818185j),(-40.99545454545475+33.12727272727278j),(-29.39090909090919+47.9136363636365j),(-14.059090909091012+59.34090909090912j),(3.0000000000000213+66.15454545454548j),(23.409090909090878+69.44090909090909j),(44.236363636363706+65.92727272727285j),(67.6727272727274+53.877272727272896j),(86.70000000000005+38.22272727272744j),(105.81818181818193+22.345454545454686j),(116.6545454545456-6.790909090909047j),(117.80000000000013-37.9909090909091j),(105.22272727272775-71.0272727272729j),(94.47272727272764-102.1954545454546j),(71.55000000000041-119.25909090909119j),(42.95000000000016-146.2772727272727j),(5.881818181818218-158.4454545454547j),(-28.054545454545305-158.79999999999995j),(-63.94090909090903-149.2272727272731j),(-104.37727272727273-121.98636363636376j),(-131.90454545454548-86.7545454545459j),(-137.40454545454548-36.26818181818197j),(-97.16818181818206+26.4318181818181j),(320.0000000000001+2206.9999999999995j),(-4.422727272727148-85.47272727272727j),(-78.67272727272734-117.27727272727287j),(-135.99545454545455-97.54545454545479j),(-163.85454545454542-50.672727272727684j),(-181.5727272727275-7.131818181818403j),(-180.82272727272766+41.19090909090891j),(-160.09545454545503+84.61818181818167j),(-143.36363636363632+119.20454545454544j),(-103.66363636363678+146.25909090909084j),(-60.84090909090958+163.4227272727274j),(-21.318181818182097+168.168181818182j),(18.799999999999812+165.90000000000043j),(57.19999999999989+147.55909090909103j),(93.89545454545429+125.86818181818194j),(117.89999999999996+82.9545454545455j),(131.3954545454546+47.400000000000205j),(129.4954545454546+2.4500000000003297j),(122.03636363636394-31.959090909090605j),(102.38636363636363-69.34999999999982j),(72.70000000000016-97.4272727272726j),(29.22727272727309-105.98181818181814j),(-8.754545454545053-110.45454545454552j),(-49.10909090909058-91.88636363636377j),(-81.53636363636352-56.50909090909113j),(-93.52727272727267-10.440909090909486j),(-83.10909090909098+40.04999999999998j),(-54.50454545454576+64.84999999999971j),(10277+0j),(-12820.945454545456-32639.999999999996j),(128.00000000000006+0j),(7201.090909090908+7027.618181818182j)
b827eb983f87,1718538114.411774,(-2048.000000000001+5121.999999999999j),(80.00000000000003-3074.0000000000005j),(3081.9999999999995+15.000000000000002j),(-6148.000000000001+1032j),(-0.3818181818180335+13.030303030302917j),(8.581818181818214+17.224242424242277j),(16.527272727272674+14.878787878787818j),(20.254545454545337+1.563636363636249j),(14.703030303030118-12.672727272727357j),(5.624242424242254-16.04848484848482j),(-4.672727272727457-15.303030303030255j),(-10.36363636363646-11.76363636363618j),(-16.1939393939395-4.630303030302912j),(-18.999999999999986+2.5515151515152183j),(-16.951515151515167+13.15151515151507j),(-11.563636363636249+20.109090909091094j),(-1.3999999999998636+23.806060606060782j),(8.351515151515173+25.5151515151517j),(18.72121212121226+27.678787878788043j),(30.939393939394108+21.78181818181823j),(39.945454545454595+12.424242424242408j),(40.09090909090963-2.1333333333334963j),(44.866666666667015-16.200000000000102j),(35.02424242424286-32.715151515151945j),(36.69090909090923-42.33939393939386j),(23.44848484848488-54.030303030303344j),(12.357575757575901-61.018181818181915j),(-1.2363636363635635-66.03636363636406j),(-23.630303030303025-60.52727272727293j),(-42.67272727272734-50.91515151515199j),(-53.52727272727287-33.12121212121227j),(-43.39393939393972-1.4363636363637227j),(320.0000000000001+2206.9999999999995j),(7.533333333333463-40.31515151515151j),(-26.460606060606125-64.00606060606077j),(-60.030303030303116-61.64848484848511j),(-79.36969696969686-38.993939393939854j),(-96.58181818181833-15.218181818182046j),(-100.80606060606101+12.690909090908928j),(-90.79393939393992+40.48484848484834j),(-86.58787878787865+64.67878787878789j),(-64.24242424242465+83.60606060606057j),(-37.52121212121261+96.1212121212123j),(-11.715151515151774+102.26060606060622j),(16.375757575757376+102.1696969696975j),(42.10303030303018+89.15151515151535j),(68.0545454545452+75.53939393939402j),(83.39999999999999+45.76363636363641j),(92.42424242424252+21.145454545454754j),(88.80000000000007-12.993939393939002j),(80.96969696969734-36.36969696969663j),(64.67272727272729-63.11515151515135j),(38.86666666666679-81.81212121212108j),(3.624242424242823-83.35151515151513j),(-25.806060606060157-82.60606060606071j),(-57.04242424242389-62.381818181818346j),(-78.06060606060593-29.406060606060805j),(-81.26060606060602+11.66060606060563j),(-62.93333333333342+54.61818181818185j),(-33.49090909090938+71.59393939393908j),(10276.999999999998+0j),(-12829.478787878788-32639.999999999996j),(128.00000000000006+0j),(7085.545454545454+7012.109090909091j)
b827eb983f87,1718538114.514197,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(46.699999999999974+50.731250000000045j),(60.97499999999999+30.568750000000048j),(66.6625+5.262500000000047j),(57.65000000000002-32.51249999999996j),(31.131250000000044-60.818749999999966j),(-0.16249999999995585-67.1625j),(-30.593749999999964-63.881250000000016j),(-52.26874999999997-50.75625000000002j),(-71.59999999999997-29.218750000000036j),(-82.0375-5.962500000000044j),(-82.725+24.631249999999948j),(-73.03125000000003+48.52499999999994j),(-59.33750000000004+71.64374999999995j),(-36.22500000000005+89.79374999999997j),(-9.912500000000055+105.1125j),(22.974999999999945+110.2125j),(57.25624999999995+106.69375000000004j),(79.74999999999994+94.16250000000002j),(111.46249999999996+73.25625000000005j),(129.16249999999997+49.17500000000005j),(144.18749999999994+8.262500000000038j),(144.93750000000003-25.89374999999994j),(138.41875000000002-65.35624999999996j),(120.21875000000003-105.56249999999999j),(88.04375000000005-129.60625j),(37.97500000000006-148.36249999999998j),(-14.462499999999958-141.48125000000002j),(-56.42499999999997-87.11875000000002j),(320.00000000000017+2207.000000000001j),(79.30625000000003-38.262499999999974j),(70.53750000000002-121.90625000000001j),(24.52500000000003-165.86250000000004j),(-28.69374999999994-173.28125000000006j),(-84.83124999999998-160.83750000000006j),(-127.35624999999999-133.23750000000007j),(-148.9625-96.40000000000005j),(-176.8875-54.606250000000045j),(-179.51250000000005-12.36250000000003j),(-172.79375000000005+28.57499999999997j),(-153.20000000000007+70.99374999999999j),(-125.65625000000004+109.15000000000003j),(-91.44375000000004+129.97500000000002j),(-46.75625000000005+147.12500000000003j),(-9.225000000000009+142.72500000000005j),(33.412499999999994+133.80000000000004j),(65.59374999999999+108.16875000000005j),(91.40000000000002+84.61875000000005j),(113.93750000000004+50.31875000000004j),(118.95000000000005+8.79375j),(110.73125000000006-25.875000000000004j),(91.66875000000005-68.65625000000001j),(54.01250000000004-94.87500000000001j),(10.506250000000025-109.01875000000005j),(-40.58750000000001-99.16250000000005j),(-83.36250000000004-60.63750000000004j),(-98.19375000000005-23.962500000000016j),(10277.000000000004+0j),(-12836.800000000007-32640.000000000015j),(128.00000000000006+0j),(5222.375000000003+6762.025000000003j)
b827eb983f87,1718538114.615539,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(84.62500000000007+103.02499999999999j),(109.02500000000006+61.86249999999997j),(119.57500000000006+14.581249999999963j),(105.71250000000002-51.04375000000007j),(60.52499999999999-99.71875000000007j),(9.774999999999958-114.47500000000005j),(-41.23125000000005-111.21875000000006j),(-77.93125000000008-90.85000000000001j),(-110.8812500000001-56.90625j),(-129.2750000000001-17.206249999999986j),(-132.6125000000001+29.181250000000045j),(-116.86875000000008+72.36875000000005j),(-98.63750000000005+107.8062500000001j),(-61.17500000000004+140.8250000000001j),(-13.556250000000023+165.1687500000001j),(40.15+172.35000000000014j),(94.25625000000005+163.6062500000001j),(134.84375000000003+142.2000000000001j),(182.46250000000006+107.89375000000011j),(210.3687500000001+61.51250000000007j),(232.1937500000001-6.506249999999949j),(229.18125000000012-63.94374999999996j),(212.1625000000001-129.0375j),(176.23125000000013-192.175j),(119.3500000000001-230.40000000000003j),(34.881250000000094-253.27500000000003j),(-51.668749999999946-229.41875000000005j),(-112.96249999999999-132.75000000000006j),(320.00000000000017+2207.000000000001j),(128.25000000000003-79.17499999999997j),(100.00625000000007-224.59375j),(16.800000000000068-290.48125j),(-78.05624999999993-301.66875000000005j),(-170.48749999999995-276.36875000000003j),(-244.66249999999994-226.71875j),(-284.78749999999997-162.28750000000005j),(-327.5125-89.63750000000005j),(-336.3374999999999-14.52500000000002j),(-324.89374999999995+66.98124999999995j),(-289.69999999999993+142.23749999999995j),(-240.13125+212.38749999999993j),(-175.59999999999997+255.16875j),(-96.94999999999999+283.63124999999997j),(-24.731249999999985+284.38124999999997j),(54.281249999999986+266.29999999999995j),(120.18124999999998+225.04374999999996j),(172.84374999999997+179.90624999999994j),(216.19375+117.86874999999992j),(232.89374999999995+43.099999999999945j),(225.61249999999995-34.137500000000045j),(196.31249999999994-112.16250000000002j),(130.96874999999994-171.65625j),(49.29374999999993-208.56249999999997j),(-50.53750000000004-203.96249999999992j),(-140.05625-146.74374999999992j),(-181.775-81.11874999999992j),(10277.000000000004+0j),(-12876.800000000007-32640.000000000015j),(128.00000000000006+0j),(4030.8125000000023+6602.087500000003j)
b827eb983f87,1718538114.719105,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(134.94375000000002+83.18749999999999j),(139.29375000000005+29.00624999999998j),(130.6875-22.66875000000004j),(99.24999999999999-90.92500000000003j),(36.89374999999997-138.70000000000002j),(-27.881250000000033-144.16875j),(-90.11250000000004-132.68749999999997j),(-131.71875000000003-97.63124999999998j),(-167.37500000000003-49.343749999999964j),(-185.85625000000002+5.731250000000041j),(-186.76249999999993+69.20000000000005j),(-163.83124999999995+128.57500000000002j),(-134.27499999999995+180.30000000000007j),(-80.48749999999995+226.31250000000003j),(-10.974999999999945+264.9375j),(65.92500000000007+275.19999999999993j),(145.59375000000006+261.54999999999995j),(209.46875000000006+237.36249999999995j),(281.01250000000005+185.57499999999996j),(330.2375+119.76249999999992j),(365.53749999999997+18.50624999999993j),(368.96874999999994-66.74375000000003j),(347.65624999999994-164.45625000000007j),(296.94374999999997-262.15000000000003j),(221.5187499999999-329.41875000000005j),(95.30624999999993-374.40625j),(-38.38125000000006-348.40624999999994j),(-146.65625-213.63749999999996j),(320.00000000000017+2207.000000000001j),(195.59999999999997-94.11250000000003j),(174.16874999999996-302.20000000000005j),(59.193749999999966-406.86249999999995j),(-75.20000000000002-432.50624999999997j),(-212.78749999999997-401.01874999999995j),(-321.58125-331.38124999999997j),(-391.40624999999994-242.31249999999997j),(-449.06874999999997-132.1j),(-462.21875-20.53124999999997j),(-448.9125+99.79374999999996j),(-396.95625+212.90624999999991j),(-315.91875+315.67499999999995j),(-214.525+376.80625j),(-93.18125000000003+409.22499999999997j),(12.624999999999956+399.89374999999995j),(128.86874999999995+362.1625j),(222.79375000000002+288.1j),(293.48749999999995+207.36250000000004j),(341.09375+100.66250000000005j),(345.23125-18.00624999999995j),(313.5375-133.91874999999993j),(237.70624999999998-242.63749999999993j),(118.53125000000007-310.8999999999999j),(-25.46249999999994-332.99375j),(-179.25624999999994-279.61250000000007j),(-294.1999999999999-147.97500000000005j),(-326.30625-21.17500000000006j),(10277.000000000004+0j),(-12892.800000000007-32640.000000000015j),(128.00000000000006+0j),(3236.437500000002+6495.462500000002j)
b827eb983f87,1718538114.820674,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(140.13125000000005+115.33125j),(152.25625000000002+47.006249999999966j),(144.42500000000004-16.56875000000003j),(112.90625-87.78750000000005j),(54.13124999999998-136.41875000000007j),(-6.281250000000037-146.41875000000005j),(-66.62500000000007-143.95000000000005j),(-110.50625000000007-118.28125j),(-151.26875000000007-81.23125j),(-178.58125000000007-34.137499999999974j),(-189.28125000000006+22.706250000000054j),(-179.15625000000006+78.96875000000007j),(-164.26250000000002+131.7437500000001j),(-128.55625+180.70625000000013j),(-76.6625+223.0687500000001j),(-18.293749999999967+249.15000000000012j),(49.73125000000007+256.7062500000001j),(111.43125000000012+256.40000000000015j),(179.5750000000001+230.89375000000013j),(241.12500000000014+190.59375000000009j),(285.53125000000017+119.66875000000002j),(314.4437500000002+52.962500000000006j),(320.7875000000002-26.12500000000004j),(305.4250000000002-117.67500000000008j),(267.91250000000014-196.51250000000016j),(179.30000000000007-260.33750000000015j),(65.81875000000001-277.9687500000001j),(-52.843750000000036-206.5750000000001j),(320.00000000000017+2207.000000000001j),(174.0687500000001-18.425000000000004j),(213.36250000000013-176.71250000000006j),(156.03125000000009-285.9125000000001j),(62.98750000000004-343.3750000000001j),(-44.418749999999996-353.50000000000017j),(-143.05000000000004-333.6812500000002j),(-224.40000000000006-289.7937500000001j),(-292.62500000000006-226.7437500000001j),(-339.5375000000002-150.32500000000007j),(-371.9000000000001-57.218750000000064j),(-366.8687500000001+44.09375000000001j),(-333.1937500000001+144.78750000000008j),(-280.3812500000001+223.40000000000003j),(-199.36250000000004+285.15625000000006j),(-118.19375000000005+322.0125j),(-16.250000000000018+331.0562500000001j),(82.94375000000002+307.55625000000003j),(167.54375000000005+269.54375000000005j),(245.83125000000007+203.3375j),(294.59375+110.85j),(312.8875-1.0750000000000157j),(290.42500000000007-118.09375000000004j),(218.23749999999998-221.95625j),(105.55624999999998-299.16249999999997j),(-48.10625000000004-316.36250000000007j),(-199.91875000000007-250.31249999999997j),(-287.24375-153.03749999999997j),(10277.000000000004+0j),(-12884.800000000007-32640.000000000015j),(128.00000000000006+0j),(2839.250000000002+6442.150000000002j)
b827eb983f87,1718538114.923159,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(112.35625000000003+36j),(112.40625000000003-12.950000000000001j),(95.80625-57.60625j),(55.700000000000024-99.20000000000002j),(5.856249999999995-118.25625000000001j),(-38.61875-110.75625000000002j),(-79.82500000000002-98.31875j),(-110.81875-69.70625000000003j),(-134.5125-38.43750000000003j),(-147.58125+0.29999999999997745j),(-150.08125+41.074999999999974j),(-141.48125000000002+74.93124999999999j),(-128.05000000000004+117.48125j),(-106.68125000000005+149.51875j),(-80.11250000000005+176.3375j),(-41.168750000000045+202.00625000000005j),(5.806249999999951+212.21875000000006j),(50.52499999999997+219.7187500000001j),(97.15+213.1875000000001j),(146.91250000000002+198.89375000000013j),(177.80000000000004+170.8375000000001j),(213.9562500000001+135.68125000000006j),(234.62500000000009+99.50625000000005j),(248.19375000000008+41.09375000000002j),(253.92500000000013-16.08750000000001j),(230.13125000000014-72.12500000000006j),(170.72500000000008-124.50000000000011j),(75.20625000000001-140.20625000000007j),(320.00000000000017+2207.000000000001j),(87.99375000000006+87.96875000000003j),(187.92500000000015+59.28749999999995j),(229.80000000000013-5.48750000000012j),(237.3687500000001-69.24375000000016j),(217.75-119.62500000000018j),(189.6625-166.87500000000023j),(148.10624999999993-199.60625000000022j),(107.61874999999985-226.27500000000018j),(56.08749999999982-245.3687500000001j),(-4.475000000000224-249.28750000000005j),(-54.67500000000022-228.61249999999998j),(-101.0562500000002-197.47499999999994j),(-139.0625000000002-161.48124999999987j),(-165.16250000000014-114.5124999999998j),(-182.44375000000008-59.96249999999981j),(-177.33749999999998-6.681249999999799j),(-156.55624999999995+41.76250000000019j),(-129.41249999999988+83.40000000000015j),(-87.19374999999984+116.55000000000011j),(-41.26249999999981+129.98750000000004j),(13.425000000000173+121.23124999999997j),(58.012500000000145+97.28749999999991j),(88.7312500000001+52.68749999999985j),(100.275-2.0062500000001964j),(79.09374999999993-56.087500000000155j),(30.268749999999848-92.6937500000001j),(-23.868750000000148-91.38750000000003j),(10277.000000000004+0j),(-12892.800000000007-32640.000000000015j),(128.00000000000006+0j),(2839.2500000000014+6442.150000000002j)
