mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1718538311.020982,(-2048.0000000000005+5121.999999999999j),(79.99999999999999-3074j),(3082+15j),(-6148+1031.9999999999998j),(231.8818181818183+59.163636363636684j),(243.91818181818206-15.272727272727154j),(182.0909090909094-106.79090909090908j),(56.90909090909112-114.20000000000013j),(49.40000000000005-73.91818181818196j),(85.53636363636397-118.33636363636376j),(15.845454545454533-169.5272727272731j),(-43.4636363636364-129.70909090909115j),(2.390909090908968-119.01818181818201j),(-2.8272727272727707-191.10909090909115j),(-104.15454545454561-227.90909090909102j),(-198.1090909090912-178.70909090909117j),(-220.2636363636368-107.29999999999988j),(-231.5909090909096-128.6363636363638j),(-354.39090909090953-131.99999999999997j),(-445.25454545454573+1.7000000000000977j),(-436.60000000000036+143.69090909090943j),(-358.50909090909124+200.21818181818213j),(-358.7545454545454+246.5090909090913j),(-366.6363636363638+352.56363636363665j),(-281.57272727272755+523.7454545454551j),(-140.77272727272728+560.7000000000006j),(-35.809090909090926+554.9727272727278j),(31.48181818181827+568.5727272727279j),(154.56363636363656+615.7000000000006j),(366.2090909090911+554.745454545455j),(462.4090909090913+328.54545454545456j),(412.06363636363653+43.618181818181824j),(319.99999999999994+2206.9999999999995j),(-179.33636363636373+313.8181818181819j),(68.46363636363635+628.0272727272734j),(343.12727272727284+637.4454545454548j),(483.95454545454567+532.2090909090912j),(599.327272727273+431.5818181818184j),(747.7181818181821+306.75454545454573j),(839.5909090909098+82.8j),(773.7818181818187-128.00909090909076j),(648.3818181818186-277.01818181818186j),(584.1454545454549-350.3909090909092j),(523.6636363636369-475.98181818181837j),(365.50000000000045-614.9545454545461j),(160.40000000000015-629.3090909090913j),(8.600000000000328-555.7636363636367j),(-54.89999999999966-490.12727272727307j),(-149.67272727272714-495.0000000000004j),(-289.5454545454546-390.25454545454573j),(-352.0545454545457-238.27272727272754j),(-330.0181818181818-124.28181818181847j),(-297.96363636363657-83.83636363636398j),(-347.0818181818183-9.163636363636611j),(-320.95454545454567+129.60909090909075j),(-195.34545454545503+208.00000000000009j),(-85.16363636363658+190.87272727272747j),(-60.81818181818211+205.19090909090943j),(15.609090909090835+268.9000000000005j),(98.67272727272739+218.427272727273j),(10277.000000000002+0j),(-14892.218181818185-32639.999999999996j),(128.00000000000003+0j),(5699+6826.000000000001j)
b827eb983f87,1718538311.123289,(-2048.000000000001+5121.999999999999j),(80.00000000000001-3074.0000000000005j),(3082+15.000000000000002j),(-6148.000000000001+1031.9999999999998j),(218.639393939394-42.94545454545427j),(182.20303030303046-102.1696969696968j),(116.17575757575781-148.66969696969693j),(12.363636363636587-155.13939393939395j),(-42.49696969696963-116.77878787878797j),(-59.46969696969671-86.45757575757585j),(-83.10606060606054-65.30303030303054j),(-89.11818181818178-30.70909090909116j),(-65.11818181818191-9.739393939394105j),(-55.20909090909093-22.38181818181846j),(-68.02727272727284-27.775757575757694j),(-89.38787878787902-16.75151515151549j),(-90.94242424242464+5.281818181818224j),(-95.40303030303082-1.3939393939396325j),(-136.70000000000047-0.024242424242402194j),(-161.4121212121214+45.427272727272765j),(-158.6000000000003+96.38787878787903j),(-133.89696969697007+125.24242424242449j),(-123.23333333333326+154.7151515151518j),(-111.07878787878803+194.94545454545477j),(-76.50000000000028+252.59393939393982j),(-19.633333333333425+271.95454545454606j),(32.360606060605974+277.56666666666706j),(80.22121212121212+275.44545454545516j),(143.7030303030304+272.09393939394j),(223.22727272727286+231.15151515151558j),(254.6696969696972+128.1757575757577j),(210.79090909090928-9.363636363636317j),(320.00000000000006+2206.9999999999995j),(-51.978787878788+177.66060606060617j),(97.40909090909082+309.6151515151521j),(235.2848484848485+304.4636363636365j),(322.21515151515166+233.40909090909122j),(382.7939393939396+158.1515151515154j),(433.5484848484851+59.52424242424274j),(451.6696969696978-53.13333333333328j),(409.5878787878793-158.29999999999978j),(335.73333333333375-243.23030303030302j),(275.04848484848515-292.93030303030304j),(207.99696969697015-342.0666666666667j),(113.06363636363676-379.0878787878792j),(9.587878787878992-372.1878787878791j),(-77.39999999999964-327.5151515151517j),(-126.4454545454542-271.3939393939396j),(-173.93939393939377-231.6606060606063j),(-219.63030303030303-161.2727272727275j),(-236.95757575757597-79.76969696969718j),(-221.1818181818182-9.700000000000301j),(-198.80000000000015+25.333333333333j),(-176.24545454545455+71.13333333333307j),(-135.22727272727292+125.60909090909074j),(-67.7636363636368+144.9030303030303j),(-4.636363636363882+132.13333333333347j),(29.92727272727248+115.19090909090933j),(62.887878787878705+91.2696969696974j),(72.90303030303036+82.33030303030318j),(10277.000000000002+0j),(-14535.369696969701-32639.999999999996j),(128.00000000000006+0j),(5699.000000000001+6826.000000000001j)
b827eb983f87,1718538311.225094,(-2048.000000000001+5121.999999999999j),(80.00000000000003-3074.0000000000005j),(3082+15.000000000000002j),(-6148.000000000001+1032j),(211.38939393939398-122.66060606060582j),(133.57121212121223-168.9909090909089j),(65.98787878787896-176.75303030303024j),(-15.469696969696741-186.18484848484843j),(-110.09090909090902-155.13181818181823j),(-173.96818181818165-64.81363636363645j),(-159.0045454545453+15.406060606060464j),(-122.28030303030293+42.36666666666639j),(-120.04393939393944+70.0696969696968j),(-100.96212121212122+107.81515151515123j),(-41.634848484848575+129.7666666666665j),(-3.803030303030482+108.03939393939356j),(8.113636363635976+88.79545454545455j),(5.080303030302531+97.89393939393909j),(30.589393939393403+106.69393939393942j),(61.46060606060598+80.46515151515152j),(58.39999999999975+56.69090909090926j),(36.16969696969659+65.87272727272745j),(56.946969696969745+86.28484848484871j),(88.8727272727271+73.47878787878801j),(81.86818181818154+37.41212121212152j),(68.96818181818165+44.91363636363701j),(79.32575757575742+64.19848484848512j),(116.80151515151508+51.06818181818244j),(133.91818181818184+3.6318181818188577j),(106.23787878787886-20.881818181817835j),(87.49848484848496-22.70909090909072j),(54.29848484848503-44.6787878787878j),(320.0000000000001+2206.9999999999995j),(45.52272727272711+69.92727272727285j),(112.61969696969682+58.84696969697029j),(139.6393939393939+48.33787878787882j),(188.66515151515165+8.450000000000273j),(210.70000000000022-45.9909090909087j),(184.00757575757598-125.60757575757538j),(142.45303030303114-146.89999999999992j),(125.48484848484895-165.18939393939365j),(98.88787878787923-201.33636363636356j),(42.209090909091174-237.90151515151513j),(-31.616666666666333-227.62121212121212j),(-73.25909090909056-182.51666666666694j),(-91.76969696969672-162.86969696969715j),(-127.0666666666663-148.88787878787883j),(-169.2863636363633-103.93333333333351j),(-181.59999999999977-27.548484848484975j),(-151.6545454545454+12.178787878787716j),(-135.04242424242446+31.97575757575737j),(-131.05757575757576+64.49545454545421j),(-122.07575757575768+99.27575757575724j),(-43.507575757575694+122.49090909090881j),(5.598484848484702+108.78333333333316j),(19.87878787878745+84.2757575757575j),(41.81515151515126+84.18181818181826j),(88.86969696969676+49.18333333333351j),(90.38636363636354-40.64090909090868j),(43.72424242424244-14.274242424242317j),(10277+0j),(-14242.521212121217-32639.999999999996j),(128.00000000000006+0j),(5699.000000000002+6826.000000000001j)
b827eb983f87,1718538311.327990,(-2048.000000000001+5122j),(80.00000000000003-3074.0000000000005j),(3082+15.000000000000002j),(-6148.000000000001+1032j),(210.13181818181823-179.98181818181797j),(98.02272727272731-215.73636363636342j),(31.527272727272816-191.040909090909j),(-26.590909090908866-207.3363636363635j),(-153.38181818181812-188.97727272727272j),(-257.95909090909083-53.40454545454551j),(-211.84999999999977+72.59999999999997j),(-142.94999999999987+89.51818181818155j),(-162.38636363636368+120.40909090909078j),(-140.08636363636361+199.48181818181786j),(-24.97727272727279+244.7181818181817j),(58.64545454545441+195.66363636363587j),(76.90454545454509+143.24090909090904j),(69.85909090909038+169.22727272727235j),(147.47727272727218+188.15454545454546j),(223.36363636363632+106.81363636363632j),(214.39999999999975+24.600000000000108j),(151.6909090909087+22.109090909091037j),(181.78636363636366+41.21818181818196j),(233.21818181818168-11.836363636363558j),(193.53181818181793-121.79999999999984j),(125.03181818181795-120.42272727272677j),(105.08636363636343-85.13181818181795j),(141.22272727272713-104.55909090909017j),(125.20909090909088-189.6863636363629j),(15.240909090909156-201.35454545454513j),(-39.104545454545416-124.10909090909064j),(-57.4136363636361-62.32727272727263j),(320.0000000000001+2206.9999999999995j),(113.16818181818161-9.381818181818062j),(114.09545454545434-124.27727272727225j),(56.19090909090903-130.93181818181824j),(83.30454545454558-142.66818181818144j),(83.04545454545473-180.84545454545417j),(-0.9045454545450866-248.64090909090868j),(-88.05909090908995-198.49999999999983j),(-78.52727272727225-148.6772727272724j),(-62.15454545454509-151.3363636363635j),(-114.37272727272693-185.30454545454538j),(-195.17727272727245-132.64545454545453j),(-193.46818181818162-25.240909090909327j),(-143.67272727272695-1.3545454545455868j),(-140.3999999999996-19.881818181818062j),(-183.42272727272692+12.254545454545394j),(-172.6545454545452+117.33636363636361j),(-85.61818181818174+130.09999999999985j),(-46.30909090909114+96.96363636363617j),(-59.645454545454584+98.30454545454506j),(-67.79090909090917+137.99090909090873j),(51.13181818181829+144.90909090909065j),(101.52272727272708+79.131818181818j),(67.58181818181777+26.118181818181682j),(54.19090909090883+47.01818181818183j),(116.00909090909072+7.168181818181921j),(98.10454545454533-126.83181818181782j),(11.136363636363612-71.3863636363636j),(10277+0j),(-14013.672727272733-32639.999999999996j),(128.00000000000006+0j),(5699.000000000002+6826.000000000001j)
b827eb983f87,1718538311.359108,(-2048.000000000001+5121.999999999999j),(80.00000000000003-3074.0000000000005j),(3081.9999999999995+15.000000000000002j),(-6148.000000000001+1032j),(214.8666666666667-214.90909090909076j),(75.55757575757576-242.40606060606032j),(12.793939393939468-191.53333333333325j),(-20.999999999999787-218.59393939393922j),(-172.36969696969686-218.3151515151515j),(-311.4424242424242-52.23030303030308j),(-241.64242424242397+106.27878787878791j),(-151.12727272727255+110.74545454545427j),(-192.14545454545453+141.27878787878774j),(-172.58181818181816+252.61818181818143j),(-18.05454545454549+317.0787878787878j),(97.95757575757563+246.1212121212116j),(115.43030303030264+168.61818181818177j),(98.9333333333328+212.60606060606017j),(213.96363636363583+244.3575757575758j),(324.2969696969698+124.47272727272721j),(309.39999999999975+0.11515151515158095j),(212.66666666666617-6.0484848484847475j),(251.2848484848485+19.515151515151643j),(321.9575757575756-60.999999999999886j),(258.49090909090876-225.0424242424242j),(148.55757575757545-224.05454545454484j),(109.64242424242398-170.42424242424227j),(153.4848484848483-191.4363636363629j),(117.57575757575749-307.8606060606054j),(-49.763636363636294-310.2666666666663j),(-125.13939393939398-176.02424242424206j),(-124.34545454545423-62.3090909090908j),(320.0000000000001+2206.9999999999995j),(150.9575757575755-60.26666666666654j),(101.8363636363634-239.7575757575753j),(-15.060606060606176-233.3454545454547j),(6.133333333333383-219.94545454545414j),(-0.16969696969670167-246.41212121212067j),(-121.18787878787839-309.5757575757571j),(-239.86666666666554-207.93333333333317j),(-202.44848484848444-108.76363636363601j),(-147.39393939393892-93.23030303030288j),(-194.6969696969693-135.13939393939384j),(-282.6848484848483-57.139393939393926j),(-247.5636363636362+92.73939393939384j),(-146.12121212121178+112.35757575757566j),(-117.39999999999961+59.503030303030414j),(-168.8545454545451+77.16969696969682j),(-147.10303030303004+202.99393939393946j),(-21.52121212121199+192.49090909090904j),(29.242424242424022+115.19393939393916j),(-6.945454545454595+91.72727272727232j),(-35.945454545454595+141.47878787878753j),(107.6727272727274+138.38787878787852j),(152.54545454545433+36.65454545454527j),(75.34545454545412-29.569696969697134j),(32.49090909090884+20.642424242424255j),(111.34545454545436-10.85454545454536j),(86.04242424242409-167.30303030302997j),(-24.860606060606116-89.00606060606057j),(10276.999999999998+0j),(-13848.824242424247-32639.999999999996j),(128.00000000000006+0j),(5699.000000000002+6826.000000000001j)
b827eb983f87,1718538311.359517,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(203.23125000000016-76.40000000000012j),(71.06250000000009-83.20625000000017j),(87.11875000000005+0.4437499999998442j),(186.33749999999995-124.79375000000016j),(17.206249999999887-272.1125000000001j),(-209.80625000000018-140.91250000000002j),(-132.7875000000002+10.931250000000063j),(-68.6125000000001-54.26874999999992j),(-214.60000000000008-47.118749999999885j),(-265.7750000000001+124.58750000000016j),(-94.75000000000003+245.08125000000018j),(35.450000000000045+155.14375000000015j),(3.231250000000076+63.09375000000013j),(-72.24374999999992+191.45000000000013j),(84.80625000000013+295.56250000000006j),(255.86250000000018+159.98125000000002j),(235.40000000000018+1.5687500000000123j),(80.15000000000015+33.39375j),(154.58750000000015+123.75625j),(296.58750000000015+23.16874999999994j),(217.74375000000012-209.07500000000013j),(62.062500000000064-182.50625000000014j),(27.55000000000006-69.08750000000012j),(147.39375000000004-78.6062500000001j),(123.19375000000004-268.7250000000002j),(-95.80625000000003-272.6312500000002j),(-165.50625000000005-81.83125000000011j),(-99.08125000000008+26.05624999999995j),(320.00000000000017+2207.000000000001j),(117.13750000000007-68.15000000000005j),(-0.13749999999997586-247.28125000000014j),(-168.275-156.77500000000012j),(-85.36250000000001-82.76875000000014j),(-28.893750000000036-96.37500000000011j),(-162.95000000000007-182.60000000000014j),(-310.8750000000001-19.812500000000078j),(-177.6125000000001+135.75624999999994j),(-24.37500000000008+130.83749999999998j),(-53.668750000000124+12.14999999999996j),(-161.83750000000012+78.88125000000001j),(-72.70625000000013+255.84375000000003j),(103.25624999999994+216.06250000000006j),(142.61249999999995+46.09375000000004j),(25.00624999999995+7.837500000000061j),(12.962499999999972+156.4062500000001j),(158.225+92.65000000000009j),(183.08750000000006-74.23749999999994j),(44.95000000000001-136.93124999999995j),(-74.25625-29.31874999999995j),(68.31250000000007-19.512499999999957j),(66.26875000000007-141.55j),(-112.30624999999995-163.44375000000005j),(-204.26874999999998+23.368749999999977j),(-47.44374999999998+78.36249999999995j),(-19.899999999999984-62.05000000000006j),(-121.06250000000006+46.39999999999997j),(10277.000000000004+0j),(-13636.800000000007-32640.000000000015j),(128.00000000000006+0j),(5699.000000000002+6826.000000000003j)
b827eb983f87,1718538311.368603,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(181.41250000000014-100.60000000000008j),(2.9875000000000855-90.4312500000001j),(10.425000000000045+42.0624999999999j),(153.25-57.75625000000015j),(7.118749999999927-200.25000000000014j),(-199.59375000000014-48.68750000000007j),(-59.28125000000013+106.41875j),(49.268749999999855-8.493749999999979j),(-93.96250000000012-48.44374999999992j),(-148.5062500000001+99.86250000000013j),(30.987499999999933+191.38125000000014j),(155.86875+46.91250000000014j),(81.38750000000002-94.50624999999988j),(-52.11874999999996+32.76250000000014j),(84.21875000000009+140.95000000000013j),(230.0125000000001-11.581249999999892j),(161.79375000000013-179.90624999999991j),(-61.49374999999988-120.94374999999995j),(-9.20624999999985+15.200000000000049j),(128.77500000000018-62.5375j),(25.931250000000166-286.81250000000006j),(-163.48124999999985-212.99375000000003j),(-196.54374999999987-36.025000000000084j),(-38.56874999999989+3.3687499999999124j),(-45.24999999999991-171.65000000000012j),(-244.94999999999996-141.66250000000014j),(-263.31874999999997+84.88749999999989j),(-94.12500000000006+173.04999999999993j),(320.00000000000017+2207.000000000001j),(20.937500000000092-99.30000000000001j),(-168.1062499999999-224.95625000000007j),(-360.66249999999997-53.26250000000014j),(-227.91249999999994+82.22499999999987j),(-119.03749999999998+87.70624999999987j),(-229.43750000000003+0.9374999999998372j),(-360.1875000000001+188.56874999999985j),(-173.75625000000005+358.66874999999993j),(36.91249999999995+342.29374999999993j),(32.62499999999991+186.2562499999999j),(-72.64375000000014+236.1124999999999j),(43.03124999999988+411.8625j),(257.3312499999999+339.6312500000001j),(311.32499999999993+116.33125000000001j),(178.40624999999986+47.23125000000001j),(165.4124999999999+191.60000000000008j),(327.48749999999995+91.1312500000001j),(355.29374999999993-129.43749999999994j),(183.5125-235.44999999999993j),(35.97499999999995-129.9812499999999j),(160.68125-152.39999999999992j),(118.78750000000005-318.5562499999999j),(-138.83749999999998-348.2375j),(-306.8375-122.06874999999995j),(-186.47499999999994-18.86874999999999j),(-199.1374999999999-116.31875000000002j),(-320.61249999999995+71.18124999999996j),(10277.000000000004+0j),(-13619.200000000008-32640.000000000015j),(128.00000000000006+0j),(5699.000000000002+6826.000000000003j)
b827eb983f87,1718538311.368996,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(274.4812500000001-168.12499999999991j),(60.537500000000065-172.58124999999995j),(33.1562500000001-43.49374999999993j),(133.37500000000014-135.01250000000002j),(-43.318749999999916-257.0687500000001j),(-262.45625-78.5937500000001j),(-122.35625000000002+103.04999999999993j),(-4.462500000000012+9.39999999999989j),(-129.46875000000009-20.9250000000001j),(-170.37500000000014+130.89374999999995j),(14.231249999999898+222.4625j),(148.21249999999995+75.80000000000001j),(81.56874999999992-69.09999999999997j),(-50.437500000000114+52.91250000000007j),(83.32499999999995+155.6312500000001j),(227.66250000000002-0.41249999999991105j),(156.23125000000002-173.58124999999993j),(-74.15624999999999-116.78749999999991j),(-23.08749999999997+21.21250000000012j),(108.93125000000009-54.756249999999916j),(1.506250000000106-270.25j),(-190.23749999999993-189.99375j),(-223.63124999999997+0.7250000000000413j),(-58.35624999999989+49.98125000000002j),(-60.968749999999865-116.38750000000007j),(-244.38749999999996-81.42500000000008j),(-247.03750000000002+140.52499999999998j),(-55.312500000000014+205.6375j),(320.00000000000017+2207.000000000001j),(-20.581249999999937-77.15625j),(-207.89374999999993-158.31875000000005j),(-381.26875+42.368749999999956j),(-220.96249999999998+191.30624999999995j),(-85.89999999999995+198.89999999999995j),(-166.3125+108.45624999999991j),(-275.0812500000001+283.0062499999999j),(-69.22500000000005+438.1j),(158.24999999999997+400.2875j),(163.7625+218.43749999999994j),(59.8374999999999+242.83124999999998j),(172.83124999999995+392.1625j),(379.71875000000006+296.06250000000006j),(417.82500000000005+45.97500000000004j),(263.53124999999994-41.54999999999997j),(227.44375+92.2875000000001j),(361.925-16.906249999999908j),(366.1875-240.01874999999995j),(162.63750000000005-346.525j),(-5.3499999999999845-221.95624999999998j),(86.99375000000008-234.2625j),(21.18750000000008-374.65000000000003j),(-246.99374999999998-369.8375000000001j),(-413.5875-102.25625000000004j),(-274.34374999999994+46.112499999999955j),(-251.0375+25.024999999999892j),(-335.37500000000006+186.31249999999997j),(10277.000000000004+0j),(-13745.600000000008-32640.000000000015j),(128.00000000000006+0j),(5699.000000000002+6826.000000000003j)
b827eb983f87,1718538311.370262,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(328.37500000000006-139.51875000000018j),(142.34374999999994-177.60625000000013j),(104.81874999999991-98.25625000000002j),(150.31249999999994-209.48125000000002j),(-53.13750000000008-321.89375j),(-285.57500000000016-157.43749999999991j),(-199.56875000000002+28.47500000000013j),(-116.41249999999995-17.42499999999992j),(-225.70624999999995-7.0874999999999675j),(-257.45+158.67500000000007j),(-84.86874999999989+269.3875000000001j),(56.28750000000016+167.87499999999997j),(29.156250000000103+63.574999999999896j),(-50.05625+180.27499999999992j),(101.05000000000004+274.53124999999994j),(262.23125000000005+132.34999999999988j),(234.30625000000003-32.525000000000155j),(62.3249999999999-4.281250000000111j),(128.9187499999999+84.76249999999995j),(256.29374999999993-14.018750000000036j),(166.9812499999999-239.9125000000001j),(0.9312499999998612-206.02500000000006j),(-40.76250000000016-74.87499999999993j),(76.31249999999991-66.1499999999999j),(44.29999999999994-235.13124999999997j),(-166.0250000000001-219.64999999999995j),(-214.95625000000007-14.349999999999888j),(-86.16249999999995+86.24375000000008j),(320.00000000000017+2207.000000000001j),(58.50624999999997-84.11875j),(-95.70625000000005-222.95624999999998j),(-271.7250000000001-87.61249999999991j),(-168.78125+23.375000000000117j),(-98.36249999999993+33.0062500000001j),(-198.19999999999996-33.268749999999976j),(-315.54375+130.38125000000005j),(-155.93749999999997+294.83750000000003j),(30.443750000000097+284.5875000000001j),(28.375000000000085+152.9875j),(-55.46249999999999+204.99374999999998j),(53.11250000000001+362.91875000000005j),(245.31250000000009+298.03125j),(296.2750000000001+96.93124999999995j),(175.04375+27.318749999999948j),(169.14374999999995+147.19375000000002j),(302.18125000000003+51.79375000000002j),(319.6500000000001-143.49375000000006j),(159.23125-242.7812500000001j),(32.86874999999998-133.85625j),(113.97500000000004-171.20624999999998j),(61.00000000000004-306.11250000000007j),(-170.71875000000003-317.65625000000006j),(-317.12500000000006-102.11875000000002j),(-206.675+11.231249999999994j),(-208.34374999999997+28.44999999999993j),(-290.8437500000001+127.90000000000002j),(10277.000000000004+0j),(-13984.000000000007-32640.000000000015j),(128.00000000000006+0j),(5699.000000000002+6826.000000000003j)
b827eb983f87,1718538311.429291,(-2048.000000000001+5122.000000000002j),(80.00000000000004-3074.000000000002j),(3082.0000000000014+15.000000000000007j),(-6148.000000000004+1032.0000000000005j),(395.92499999999995-250.21875000000006j),(209.60624999999996-315.86875j),(112.67499999999997-279.74375j),(38.5625-342.33125j),(-171.55-357.88125j),(-365.01875-177.36874999999995j),(-315.4375+13.33125000000007j),(-243.61874999999998+31.487500000000058j),(-295.45624999999995+82.64375000000001j),(-287.45625+223.62500000000003j),(-141.34999999999994+315.1437500000001j),(-15.2874999999999+251.28125j),(-7.893749999999903+192.1375j),(-35.44374999999995+271.11875j),(87.21875000000007+333.63124999999997j),(219.23750000000013+237.43124999999992j),(223.87500000000009+118.73749999999986j),(132.25625+137.79374999999987j),(199.83749999999998+191.16249999999988j),(311.03749999999997+111.83749999999988j),(262.61875-58.193750000000165j),(177.3124999999999-53.89375000000015j),(161.68749999999986+13.499999999999893j),(255.45624999999984-17.15000000000004j),(246.30624999999986-173.0500000000001j),(90.27499999999984-204.06250000000006j),(18.718749999999847-112.34999999999995j),(31.843749999999922-74.46249999999992j),(320.00000000000017+2207.000000000001j),(124.81249999999999+40.162499999999916j),(130.98124999999987-76.70625000000014j),(69.83124999999981-46.40625000000006j),(151.9687499999998-52.98124999999997j),(186.00624999999985-107.66249999999995j),(89.73749999999984-214.68124999999995j),(-28.987500000000207-150.79999999999987j),(24.606249999999854-68.70624999999981j),(87.2375-103.0249999999998j),(18.96874999999999-200.48749999999984j),(-98.50625000000002-150.0249999999998j),(-80.98749999999997-12.031249999999782j),(1.1875000000000937-19.99999999999981j),(-2.4437499999998655-106.46874999999989j),(-111.51249999999987-94.14999999999993j),(-124.28124999999986+45.36875000000009j),(-22.274999999999817+43.37500000000005j),(-0.12499999999981798-33.593750000000036j),(-77.23749999999987-46.65000000000008j),(-121.34999999999991+63.93749999999993j),(-1.6687499999999056+68.01249999999989j),(31.118750000000066-14.562500000000144j),(-56.73750000000006-43.30000000000015j),(-93.8000000000001+62.14999999999991j),(26.231249999999893+70.35624999999996j),(18.412499999999888+50.743749999999984j),(-59.43750000000013+31.31875000000003j),(10277.000000000004+0j),(-14115.200000000008-32640.000000000015j),(128.00000000000006+0j),(5699.000000000002+6826.000000000003j)
