mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1716877011.711220,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-84-28j),(-121+9j),(-131+70j),(-105+151j),(-35+211j),(72+245j),(187+230j),(296+170j),(380+72j),(421-52j),(426-202j),(373-338j),(290-466j),(162-561j),(13-614j),(-144-631j),(-313-596j),(-469-522j),(-581-412j),(-671-276j),(-677-127j),(-670+10j),(-650+121j),(-576+246j),(-504+347j),(-381+414j),(-231+425j),(-15+361j),(1598-3776j),(-268-123j),(-448+41j),(-512+172j),(-493+326j),(-419+424j),(-335+526j),(-235+594j),(-126+621j),(-6+657j),(124+645j),(245+588j),(353+499j),(438+396j),(494+271j),(515+150j),(492+23j),(459-86j),(405-183j),(327-269j),(247-324j),(141-356j),(41-374j),(-75-345j),(-193-289j),(-290-195j),(-348-66j),(-340+54j),(10277+0j),(-15360-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877011.813538,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(21-158j),(-45-95j),(-75-21j),(-84+56j),(-55+130j),(20+180j),(123+194j),(236+159j),(325+64j),(391-61j),(388-223j),(310-358j),(209-484j),(38-582j),(-172-611j),(-364-578j),(-536-483j),(-667-337j),(-752-146j),(-767+56j),(-729+268j),(-632+425j),(-501+554j),(-355+642j),(-181+662j),(12+661j),(161+550j),(287+308j),(1598-3776j),(-306+151j),(-281+463j),(-178+610j),(7+680j),(191+702j),(354+659j),(488+575j),(619+462j),(693+340j),(752+173j),(756-23j),(721-213j),(632-379j),(497-497j),(339-582j),(163-602j),(-7-586j),(-150-547j),(-283-464j),(-398-355j),(-449-208j),(-489-53j),(-477+114j),(-401+281j),(-237+423j),(-28+491j),(149+474j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877011.915956,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-129+163j),(-8+172j),(91+126j),(184+48j),(220-72j),(167-205j),(70-305j),(-70-347j),(-247-334j),(-386-248j),(-488-109j),(-526+49j),(-525+242j),(-460+412j),(-338+568j),(-185+680j),(26+722j),(233+728j),(412+667j),(592+544j),(676+382j),(752+216j),(758+45j),(723-139j),(674-292j),(522-421j),(345-495j),(57-441j),(1598-3776j),(332+145j),(577-56j),(613-261j),(566-473j),(443-592j),(305-710j),(147-770j),(-12-778j),(-185-784j),(-361-724j),(-482-604j),(-579-457j),(-653-294j),(-675-115j),(-670+53j),(-589+207j),(-490+317j),(-374+413j),(-239+480j),(-110+518j),(37+499j),(177+462j),(318+368j),(429+218j),(486+9j),(436-207j),(332-358j),(10277+0j),(-14848-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877012.018961,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(45-316j),(-90-294j),(-214-210j),(-330-71j),(-345+120j),(-270+306j),(-107+429j),(89+479j),(293+441j),(476+322j),(581+149j),(617-70j),(611-290j),(498-494j),(341-657j),(122-762j),(-115-786j),(-339-751j),(-548-642j),(-694-466j),(-787-249j),(-802-49j),(-766+159j),(-673+328j),(-534+464j),(-339+560j),(-128+553j),(108+406j),(1598-3776j),(-339-1j),(-440+276j),(-371+477j),(-230+606j),(-60+661j),(100+659j),(262+625j),(393+536j),(509+436j),(593+299j),(631+128j),(605-42j),(560-177j),(463-322j),(349-400j),(217-457j),(79-458j),(-52-448j),(-164-403j),(-254-323j),(-341-201j),(-371-89j),(-364+51j),(-325+192j),(-204+327j),(-34+386j),(109+382j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877012.120681,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-116+234j),(46+243j),(192+167j),(285+4j),(274-190j),(142-344j),(-54-407j),(-269-352j),(-439-202j),(-524+12j),(-505+248j),(-381+457j),(-169+609j),(89+666j),(353+641j),(589+483j),(740+230j),(794-59j),(738-355j),(566-586j),(351-739j),(75-782j),(-162-754j),(-386-629j),(-563-434j),(-627-204j),(-569+46j),(-322+262j),(1598-3776j),(-186-270j),(-479-198j),(-615+27j),(-587+256j),(-493+446j),(-331+595j),(-119+660j),(68+685j),(300+604j),(467+484j),(568+299j),(616+115j),(602-89j),(513-288j),(351-405j),(178-479j),(1-477j),(-157-425j),(-284-340j),(-380-209j),(-417-61j),(-401+108j),(-319+265j),(-159+395j),(68+419j),(283+323j),(400+150j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877012.204652,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-227+30j),(-181+154j),(-56+246j),(158+245j),(313+76j),(317-168j),(168-366j),(-94-431j),(-351-318j),(-515-74j),(-503+228j),(-321+500j),(-10+641j),(356+581j),(656+369j),(786-23j),(687-418j),(399-702j),(3-833j),(-405-726j),(-720-463j),(-828-86j),(-759+306j),(-514+595j),(-147+727j),(216+680j),(455+390j),(431-15j),(1598-3776j),(77+328j),(468+309j),(657+8j),(595-329j),(385-592j),(70-726j),(-256-653j),(-526-488j),(-673-183j),(-669+151j),(-514+421j),(-266+597j),(35+630j),(317+513j),(474+276j),(510+8j),(429-225j),(254-385j),(40-439j),(-181-388j),(-341-246j),(-419-26j),(-362+211j),(-169+387j),(106+404j),(347+237j),(399+1j),(10277+0j),(-14336-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877012.204818,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(222-159j),(101-238j),(-45-245j),(-219-189j),(-323-27j),(-310+182j),(-196+347j),(-1+438j),(218+419j),(428+293j),(542+84j),(574-175j),(469-432j),(276-620j),(29-743j),(-294-723j),(-558-558j),(-738-319j),(-827-17j),(-791+305j),(-626+551j),(-383+715j),(-122+805j),(154+762j),(419+626j),(582+397j),(593+90j),(386-190j),(1598-3776j),(135+315j),(472+295j),(643+61j),(642-208j),(548-427j),(375-605j),(145-678j),(-74-700j),(-299-621j),(-510-464j),(-611-255j),(-662-48j),(-615+180j),(-467+366j),(-292+470j),(-83+496j),(102+476j),(258+374j),(358+244j),(418+89j),(418-73j),(350-233j),(205-370j),(-3-415j),(-218-353j),(-383-170j),(-414+27j),(10277+0j),(-14336-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877012.205615,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-236+88j),(-179+166j),(-90+225j),(50+271j),(217+241j),(331+120j),(398-32j),(375-220j),(272-383j),(127-501j),(-67-552j),(-261-532j),(-460-432j),(-620-277j),(-730-91j),(-759+159j),(-686+397j),(-543+604j),(-353+756j),(-118+845j),(105+819j),(309+750j),(493+635j),(622+457j),(707+249j),(687+38j),(572-176j),(303-322j),(1598-3776j),(203+279j),(501+227j),(628+41j),(649-176j),(590-341j),(492-500j),(346-611j),(196-666j),(5-697j),(-179-673j),(-315-577j),(-437-478j),(-532-324j),(-573-152j),(-548+24j),(-484+164j),(-395+274j),(-282+366j),(-152+416j),(-19+434j),(100+408j),(233+349j),(336+244j),(411+82j),(400-118j),(297-301j),(162-385j),(10277+0j),(-14336-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877012.205781,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(213+33j),(234-25j),(226-103j),(179-225j),(69-319j),(-72-348j),(-217-332j),(-342-253j),(-453-145j),(-533+3j),(-539+154j),(-505+303j),(-435+460j),(-324+593j),(-206+697j),(-41+759j),(151+777j),(329+728j),(496+669j),(641+562j),(709+411j),(774+248j),(789+120j),(762-43j),(728-183j),(615-298j),(437-393j),(171-400j),(1598-3776j),(252+238j),(514+173j),(629+25j),(656-137j),(629-256j),(581-379j),(504-474j),(423-534j),(313-619j),(202-666j),(88-654j),(-25-634j),(-133-601j),(-248-528j),(-337-437j),(-389-334j),(-426-234j),(-450-130j),(-444-28j),(-429+73j),(-397+144j),(-340+247j),(-254+326j),(-130+393j),(42+415j),(210+371j),(298+286j),(10277+0j),(-14336-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716877012.206310,(6161-7188j),(-5097-1041j),(-5097-1041j),(-6125+3092j),(72-239j),(-63-233j),(-181-171j),(-274-56j),(-308+89j),(-251+248j),(-142+369j),(5+441j),(188+445j),(353+394j),(494+267j),(594+98j),(635-109j),(601-308j),(539-487j),(397-657j),(197-757j),(-17-809j),(-232-803j),(-452-720j),(-590-575j),(-706-413j),(-758-243j),(-755-47j),(-733+151j),(-609+309j),(-413+413j),(-130+419j),(1598-3776j),(-294-192j),(-532-35j),(-603+150j),(-577+344j),(-473+480j),(-368+595j),(-222+657j),(-89+684j),(79+690j),(235+657j),(355+559j),(451+443j),(518+318j),(558+160j),(554+11j),(506-118j),(427-230j),(339-322j),(230-385j),(116-428j),(10-407j),(-132-404j),(-250-322j),(-355-209j),(-409-26j),(-389+168j),(-300+304j),(10277+0j),(-14336-32640j),(128+0j),(1607+7082j)
