mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1718509886.703264,(-5129.999999999999+3069.9999999999995j),(-6133.999999999998-3079.0000000000005j),(4108.999999999999+6135.000000000001j),(5138+6142.999999999999j),(547.9454545454552-548.3545454545458j),(287.3363636363638-706.5181818181826j),(-21.51818181818214-740.0636363636366j),(-403.7727272727279-577.3272727272733j),(-618.9363636363645-261.26363636363646j),(-611.3181818181822+67.05454545454572j),(-489.2363636363639+314.236363636364j),(-285.00909090909084+435.0636363636369j),(-103.67272727272702+465.40909090909145j),(53.22727272727324+436.04545454545485j),(161.9000000000005+351.62727272727284j),(227.82727272727303+254.35454545454525j),(253.74545454545483+166.53636363636357j),(252.3181818181822+83.31818181818163j),(234.02727272727284+22.181818181818006j),(218.43636363636372-28.372727272727314j),(186.70909090909115-68.03636363636375j),(164.118181818182-129.609090909091j),(118.30909090909113-149.40000000000032j),(47.68181818181824-188.87272727272776j),(-33.85454545454548-162.04545454545487j),(-110.20000000000014-120.52727272727323j),(-179.56363636363673-55.38181818181854j),(-209.2636363636367+41.463636363636j),(-196.71818181818242+148.49090909090907j),(-98.09090909090949+257.3909090909093j),(37.454545454545155+280.4090909090913j),(151.49090909090904+169.07272727272763j),(6334.999999999998-1920.9999999999993j),(-169.50000000000037+147.38181818181815j),(-69.44545454545484+383.86363636363666j),(117.81818181818169+444.50000000000017j),(305.19999999999993+421.8090909090915j),(435.927272727273+302.9727272727277j),(517.0545454545457+158.78181818181832j),(529.1272727272731+20.354545454545587j),(502.7636363636366-111.2181818181818j),(454.21818181818213-217.8363636363637j),(381.3818181818183-305.6454545454545j),(294.2909090909092-355.8363636363638j),(191.4363636363637-384.2545454545455j),(104.52727272727273-401.66363636363656j),(13.436363636363621-395.5454545454548j),(-57.009090909090915-382.94545454545465j),(-134.69090909090912-346.181818181818j),(-207.42727272727276-297.6090909090909j),(-270.25454545454534-248.0000000000002j),(-335.25454545454545-163.31818181818193j),(-376.2545454545455-72.0636363636365j),(-381.1727272727273+42.63636363636354j),(-356.84545454545463+172.14545454545456j),(-261.7909090909092+292.09090909090907j),(-113.85454545454563+388.1545454545454j),(89.17272727272723+430.79090909090905j),(303.9000000000002+341.9454545454549j),(384.25454545454573+234.71818181818207j),(10277.000000000002+0j),(-13312.000000000004-32639.999999999996j),(128.00000000000003+0j),0j
b827eb983f87,1718509886.806892,(-5129.999999999999+3069.9999999999995j),(-6133.999999999999-3079.0000000000005j),(4109+6135.000000000001j),(5138+6143j),(213.23030303030367-265.2636363636366j),(107.64545454545475-318.0272727272734j),(-13.269696969697197-329.54242424242454j),(-173.28787878787927-265.5757575757581j),(-275.7606060606067-139.91818181818195j),(-290.33030303030336+1.6424242424244255j),(-256.33939393939426+123.62424242424265j),(-174.25757575757575+196.17878787878834j),(-92.98787878787867+237.6454545454551j),(-6.245454545454187+246.05151515151547j),(68.5121212121216+217.3242424242426j),(129.28787878787904+166.50606060606054j),(162.44242424242458+106.96666666666667j),(167.0696969696974+37.760606060606j),(146.5848484848487-20.818181818181916j),(115.37575757575772-65.08181818181825j),(65.78787878787901-86.6727272727274j),(25.984848484848726-105.96060606060622j),(-23.412121212121022-85.20000000000029j),(-66.09999999999994-68.68484848484893j),(-97.36969696969703-10.978787878788182j),(-107.14545454545473+42.6727272727269j),(-105.81212121212157+93.76969696969664j),(-74.36060606060627+142.06969696969662j),(-27.227272727273203+172.30303030303028j),(49.642424242423914+191.29393939393955j),(116.68484848484817+154.53030303030332j),(137.26666666666662+55.81212121212158j),(6335-1920.9999999999995j),(-70.63939393939427+116.5393939393939j),(12.233333333333107+236.4393939393941j),(117.58787878787862+249.05757575757593j),(208.81212121212113+225.52424242424286j),(275.787878787879+161.06363636363668j),(317.0121212121214+84.27878787878802j),(324.16363636363667+12.100000000000119j),(317.4969696969698-62.533333333333296j),(293.9757575757578-124.11515151515155j),(258.67272727272734-180.66363636363633j),(210.95151515151525-223.89696969696985j),(149.85454545454553-252.51515151515156j),(91.52121212121213-275.71818181818196j),(27.157575757575756-279.8606060606063j),(-27.936363636363623-275.4969696969698j),(-90.66666666666669-253.76969696969684j),(-148.4636363636364-217.86969696969697j),(-198.61212121212117-177.50303030303047j),(-243.41212121212124-109.43333333333342j),(-268.78181818181827-37.821212121212234j),(-261.3969696969697+45.01818181818176j),(-234.41515151515162+132.4787878787879j),(-160.20303030303046+205.84848484848484j),(-48.448484848484966+245.58484848484846j),(68.36666666666665+264.5060606060606j),(191.79090909090922+201.01212121212143j),(235.12727272727298+133.948484848485j),(10277.000000000002+0j),(-13312.000000000004-32639.999999999996j),(128.00000000000006+0j),0j
b827eb983f87,1718509886.908310,(-5129.999999999999+3070j),(-6134-3079.0000000000005j),(4109+6135.000000000002j),(5138+6143j),(-31.378787878787193-55.210606060606096j),(-25.022727272727025-32.543939393940036j),(-10.604545454545605-27.286363636363944j),(-8.128787878788273-32.44545454545505j),(-24.78939393939436-43.080303030303185j),(-50.65303030303062-37.936363636363524j),(-76.44242424242464-10.669696969696815j),(-81.69545454545457+21.36212121212168j),(-74.37878787878788+64.85909090909149j),(-42.968181818181584+96.0348484848488j),(1.0863636363639273+106.24090909090933j),(51.665151515151734+91.27121212121219j),(85.29090909090945+56.707575757575825j),(92.90454545454588+4.543939393939439j),(73.08939393939417-45.50000000000004j),(35.45151515151534-80.34393939393948j),(-19.830303030302815-87.30909090909103j),(-65.38333333333304-76.97121212121233j),(-111.33030303030283-32.3333333333336j),(-130.49545454545444+18.063636363635936j),(-125.77878787878794+89.04999999999973j),(-91.13636363636382+144.09999999999974j),(-44.378787878788216+180.08787878787845j),(22.79242424242409+191.5015151515148j),(86.75606060606026+168.06969696969693j),(140.96666666666638+127.15909090909102j),(156.15757575757544+55.61363636363657j),(113.69393939393936-23.94848484848447j),(6335.000000000001-1920.9999999999998j),(1.1984848484845259+84.60606060606058j),(64.4196969696968+116.14393939393949j),(105.6757575757574+96.12272727272745j),(124.8030303030302+74.42878787878823j),(143.81515151515168+52.05606060606084j),(154.60606060606062+27.124242424242567j),(157.94242424242452+5.519696969697076j),(164.8666666666668-24.71212121212116j),(159.83939393939409-50.469696969697j),(152.37272727272733-80.70454545454544j),(135.08181818181828-115.21515151515169j),(107.78787878787888-140.71515151515155j),(73.84848484848487-165.4469696969698j),(33.696969696969695-175.64545454545473j),(-5.598484848484823-176.8212121212122j),(-51.96060606060608-167.29696969696963j),(-93.99242424242426-143.53181818181815j),(-130.4393939393939-113.64242424242437j),(-157.20606060606067-63.66212121212128j),(-170.08181818181828-12.722727272727354j),(-155.52272727272728+40.278787878787846j),(-130.49242424242436+90.7666666666667j),(-77.98636363636379+126.27272727272728j),(-1.1484848484849266+124.00757575757575j),(44.93181818181817+128.06212121212116j),(96.02272727272737+89.03333333333347j),(111.48484848484873+55.64090909090922j),(10277+0j),(-13312.000000000004-32639.999999999996j),(128.00000000000006+0j),0j
b827eb983f87,1718509887.011814,(-5129.999999999999+3070j),(-6134.000000000001-3079.0000000000005j),(4109.000000000001+6135.000000000002j),(5138+6143j),(-185.88181818181738+81.80454545454552j),(-110.66818181818144+149.93181818181768j),(-13.522727272727368+166.70454545454515j),(91.70454545454521+122.06363636363585j),(133.9772727272724+29.24999999999983j),(107.71363636363617-51.6818181818181j),(50.45454545454504-88.64545454545441j),(-7.32272727272732-89.38636363636317j),(-47.84545454545461-52.94999999999948j),(-56.94090909090894-14.00454545454511j),(-40.377272727272526+18.377272727272953j),(-5.040909090908883+28.650000000000176j),(22.29090909090951+15.759090909091015j),(29.82272727272769-16.331818181818036j),(13.540909090909366-51.863636363636346j),(-21.336363636363416-74.159090909091j),(-70.14545454545438-69.94545454545464j),(-109.98636363636325-42.640909090909304j),(-145.4454545454543+9.19999999999979j),(-145.50454545454525+71.3727272727269j),(-119.08181818181825+138.04090909090885j),(-62.172727272727464+183.75454545454528j),(4.736363636363308+203.57272727272695j),(82.19545454545448+189.7590909090905j),(145.23181818181786+135.79090909090903j),(175.88181818181792+64.9863636363637j),(155.87272727272693-16.34090909090895j),(80.77272727272722-70.20909090909052j),(6335.000000000001-1920.9999999999998j),(46.01363636363604+51.581818181818164j),(87.11363636363622+22.97727272727269j),(82.08181818181801-14.304545454545234j),(53.17272727272717-31.477272727272407j),(40.009090909091015-24.04999999999984j),(29.836363636363558-12.681818181818045j),(30.463636363636624+0.6136363636364557j),(44.87272727272733+2.245454545454578j),(51.80909090909108+3.099999999999966j),(62.481818181818255-5.768181818181802j),(66.68181818181824-29.79090909090928j),(65.23636363636373-48.85454545454547j),(51.50909090909093-70.85000000000014j),(33.05454545454545-82.90000000000015j),(10.004545454545493-86.91818181818184j),(-18.572727272727292-86.7636363636363j),(-44.01363636363638-74.59545454545452j),(-65.73636363636365-56.41818181818192j),(-76.63636363636374-26.004545454545507j),(-80.1545454545456+3.231818181818113j),(-63.55000000000001+28.418181818181804j),(-45.07727272727283+47.00909090909094j),(-15.140909090909247+53.363636363636374j),(28.04545454545449+23.42272727272723j),(18.868181818181824+21.45909090909089j),(16.595454545454572+6.009090909090958j),(13.327272727272941-0.2045454545453822j),(10277+0j),(-13312.000000000002-32639.999999999996j),(128.00000000000006+0j),0j
b827eb983f87,1718509887.113909,(-5129.999999999999+3070j),(-6134.000000000002-3079.0000000000005j),(4109.000000000001+6135.000000000001j),(5138+6143j),(-250.27878787878694+145.78181818181838j),(-149.2909090909087+229.3999999999994j),(-22.024242424242477+252.43030303030253j),(126.21212121212096+197.95151515151474j),(200.53939393939368+77.0727272727271j),(184.76969696969672-39.59393939393934j),(124.3515151515146-110.30303030303025j),(48.86060606060602-136.06666666666615j),(-13.387878787878876-115.78181818181758j),(-48.163636363636265-84.06666666666626j),(-55.878787878787705-46.266666666666424j),(-40.830303030302815-21.357575757575546j),(-26.557575757575364-15.878787878787733j),(-22.17575757575713-24.866666666666475j),(-32.06060606060581-39.909090909090835j),(-54.98787878787854-46.5272727272728j),(-85.15757575757559-34.581818181818235j),(-107.82424242424202-2.969696969697168j),(-125.75757575757548+39.39999999999981j),(-111.12727272727244+91.24242424242382j),(-77.27878787878791+135.99393939393914j),(-20.25454545454562+161.63636363636346j),(41.53333333333302+164.22424242424214j),(103.84848484848482+136.84242424242382j),(148.19999999999976+75.46666666666658j),(154.38787878787852+4.775757575757609j),(115.83030303030267-61.3333333333332j),(38.50303030303024-82.96969696969657j),(6335.000000000001-1920.9999999999998j),(63.8060606060603+17.46666666666664j),(80.31515151515141-43.06060606060606j),(46.80606060606043-82.22424242424216j),(-6.078787878787978-92.19393939393916j),(-35.63030303030291-67.25454545454534j),(-57.29696969696977-35.13939393939381j),(-58.272727272727025-2.618181818181739j),(-42.4848484848485+18.339393939393958j),(-30.11515151515141+36.593939393939365j),(-11+44.14545454545453j),(5.751515151515207+32.37575757575735j),(22.200000000000074+23.066666666666663j),(24.503030303030314+8.07272727272715j),(25.23030303030302-1.6242424242425955j),(18.872727272727317-5.78787878787881j),(9.4969696969697-12.169696969696929j),(1.472727272727269-11.060606060606005j),(-4.5030303030303-5.830303030303128j),(-1.7030303030304026+3.5393939393939036j),(0.9999999999998295+10.04242424242419j),(14.521212121212159+9.436363636363623j),(21.8303030303029+1.206060606060646j),(28.333333333333144-12.878787878787818j),(39.13333333333328-56.169696969696986j),(-9.824242424242414-55.30303030303031j),(-46.4909090909091-48.06060606060606j),(-59.34545454545429-33.58787878787871j),(10276.999999999998+0j),(-13312.000000000002-32639.999999999996j),(128.00000000000006+0j),0j
b827eb983f87,1718509887.216508,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(-95.23750000000013-85.33749999999984j),(-123.87500000000001-59.86874999999981j),(-145.06874999999997-19.568749999999824j),(-141.49999999999986+54.98750000000013j),(-99.2999999999998+114.56875000000005j),(-41.02499999999981+146.01874999999993j),(16.56250000000015+152.0499999999999j),(64.81250000000009+127.19999999999987j),(96.02500000000003+95.52499999999984j),(93.44375000000001+53.681249999999835j),(112.13749999999995+28.631249999999866j),(107.59374999999993+10.181249999999872j),(100.03124999999993-6.837500000000121j),(96.21249999999992-13.48125000000013j),(102.48749999999988-22.30625000000009j),(106.92499999999984-35.07500000000007j),(112.15624999999983-53.450000000000045j),(116.43749999999982-76.63125000000001j),(110.5999999999998-113.98124999999996j),(94.06874999999981-146.73124999999993j),(62.23749999999985-180.35624999999987j),(21.04374999999988-199.48749999999987j),(-30.00000000000008-206.63749999999985j),(-86.76250000000003-189.01874999999984j),(-138.68125-156.11874999999986j),(-169.39374999999998-99.64999999999988j),(-165.33749999999992-27.931249999999928j),(-108.56874999999997+46.212500000000034j),(6335.000000000003-1921.000000000001j),(-15.987500000000027-82.23124999999999j),(-88.46250000000002-102.60624999999996j),(-126.55625000000003-72.13749999999997j),(-141.97500000000005-35.09999999999996j),(-138.85625000000002-2.4124999999999512j),(-136.83125+30.806250000000055j),(-117.86874999999999+51.09375000000005j),(-104.3+66.60625000000006j),(-85.1875+83.88750000000006j),(-67.93124999999999+99.09375000000004j),(-53.17499999999998+102.46875000000004j),(-29.137499999999974+111.77500000000002j),(-10.024999999999972+114.37500000000001j),(17.462500000000027+112.20000000000003j),(39.20625000000002+104.76250000000002j),(62.63125000000002+90.63125000000001j),(83.13125000000002+70.70625000000001j),(102.35000000000001+46.67500000000001j),(117.75+14.731250000000017j),(118.98750000000004-20.681249999999984j),(110.11250000000003-57.77499999999999j),(80.53750000000004-96.19375j),(44.312500000000036-117.5875j),(-1.468749999999961-140.25000000000003j),(-75.36874999999999-106.05000000000003j),(-117.80625-59.22500000000005j),(-119.24375000000003-22.00000000000005j),(10277.000000000004+0j),(-13312.000000000005-32640.000000000015j),(128.00000000000006+0j),0j
b827eb983f87,1718509887.278325,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(222.98124999999985-174.98124999999996j),(103.29374999999989-271.7999999999999j),(-52.431250000000034-288.94999999999993j),(-226.24374999999992-180.2312499999999j),(-280.3312499999999-1.5187499999999792j),(-213.41249999999994+152.91874999999993j),(-94.6375+229.8374999999999j),(31.61249999999993+215.55624999999992j),(113.6312499999999+147.19375000000002j),(144.83124999999987+63.606250000000074j),(111.15624999999996-6.806249999999871j),(56.91874999999999-31.312499999999858j),(1.6937500000001044-18.993749999999896j),(-18.562499999999858+32.98125000000005j),(7.012500000000168+95.16249999999997j),(69.4937500000001+133.3624999999999j),(158.00000000000006+127.39999999999988j),(245.14374999999995+80.72499999999987j),(308.06249999999994-24.268750000000114j),(318.5437499999998-151.76250000000007j),(262.72499999999985-286.79999999999995j),(154.58749999999992-384.66874999999993j),(20.043749999999967-432.5062499999999j),(-141.22499999999994-408.8937499999999j),(-278.0187499999999-321.0562499999999j),(-350.6124999999999-174.75000000000003j),(-328.4249999999999-9.350000000000055j),(-185.7375+125.99374999999992j),(6335.000000000003-1921.000000000001j),(-72.31874999999995-124.3j),(-177.63749999999993-101.28750000000007j),(-198.96874999999997-33.075000000000074j),(-172.71875+17.14999999999992j),(-149.15625000000006+30.812499999999957j),(-138.25625000000008+41.024999999999984j),(-124.50625000000005+40.66250000000002j),(-132.69375000000005+46.53125000000004j),(-129.54375000000002+60.56875000000006j),(-133.74374999999998+85.38750000000005j),(-127.61249999999997+114.54375000000002j),(-102.98124999999997+149.66875000000002j),(-75.69999999999996+175.39375j),(-32.087499999999956+195.88750000000002j),(15.031250000000025+201.28124999999997j),(71.06250000000001+190.51249999999996j),(121.3+161.38124999999997j),(170.43125+119.78124999999997j),(205.16249999999997+57.074999999999996j),(213.41249999999994-14.824999999999994j),(190.86249999999998-88.18124999999999j),(137.78125-154.22499999999997j),(66.09375000000001-186.26874999999998j),(-24.45624999999997-188.68749999999997j),(-104.93749999999997-131.00625j),(-143.34375-59.83125000000005j),(-137.41250000000002-12.31875000000003j),(10277.000000000004+0j),(-13289.600000000004-32640.000000000015j),(128.00000000000006+0j),0j
b827eb983f87,1718509887.279370,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(233.63125+52.57499999999986j),(193.78124999999997-48.31875000000016j),(118.50624999999988-104.56250000000014j),(26.074999999999836-108.54375000000005j),(-19.731250000000184-64.51874999999994j),(-9.462500000000126-22.581249999999855j),(19.374999999999932-16.462499999999828j),(45.47500000000001-45.5999999999998j),(36.562500000000064-90.63124999999987j),(21.25625000000009-122.17499999999988j),(-64.04374999999989-139.54999999999993j),(-130.6687499999999-107.78749999999997j),(-183.21249999999992-53.481249999999974j),(-194.58749999999992+31.956250000000008j),(-166.18749999999991+116.29374999999999j),(-99.61874999999986+176.96874999999994j),(-8.174999999999862+197.74999999999994j),(79.41250000000015+175.31874999999988j),(151.45625000000013+112.77499999999989j),(187.01875000000013+22.906249999999815j),(172.11875000000006-76.56875000000022j),(117.12500000000004-155.50000000000023j),(43.10625-200.10625000000024j),(-58.018750000000075-201.48125000000022j),(-144.70000000000013-155.76875000000018j),(-192.11250000000013-71.5187500000001j),(-176.47500000000016+19.912499999999977j),(-89.0687500000001+90.71250000000005j),(6335.000000000003-1921.000000000001j),(-63.13750000000002-60.77500000000007j),(-115.79375000000005-24.993750000000073j),(-115.50625000000008+21.868749999999952j),(-84.6375000000001+42.39999999999996j),(-63.225000000000094+38.66249999999998j),(-57.962500000000084+29.693750000000005j),(-56.05000000000009+17.768750000000022j),(-73.95625000000007+13.762500000000017j),(-86.32500000000007+20.68750000000001j),(-104.90625000000007+40.312500000000036j),(-109.18125000000006+70.91250000000004j),(-91.56250000000006+103.88750000000006j),(-72.48125000000006+133.08750000000006j),(-37.60625000000004+153.53750000000008j),(2.806249999999969+167.71875000000009j),(51.93749999999999+161.48125000000007j),(93.96875000000001+136.21875000000009j),(135.62500000000006+104.02500000000006j),(163.58125000000004+51.31250000000006j),(168.5562500000001-3.5249999999999653j),(148.10625000000007-60.60625j),(107.15625000000009-110.03125000000003j),(56.243750000000055-130.79375000000005j),(-15.81874999999996-122.18125000000005j),(-57.51874999999999-99.93125000000005j),(-88.40000000000002-60.06875000000006j),(-106.01875000000001-37.53125000000005j),(10277.000000000004+0j),(-13254.400000000005-32640.000000000015j),(128.00000000000006+0j),0j
b827eb983f87,1718509887.317928,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(121.98750000000007-165.2312499999999j),(18.9812500000001-200.2625j),(-87.11249999999991-175.44375j),(-175.41874999999996-64.87500000000004j),(-169.13125+68.92499999999993j),(-86.55000000000004+153.8499999999999j),(10.093749999999979+179.94374999999997j),(103.14999999999996+146.23124999999996j),(153.57499999999996+78.69999999999996j),(208.21249999999998+20.037499999999955j),(157.21249999999992-54.687500000000014j),(119.61249999999993-91.39374999999997j),(80.2124999999999-118.09999999999997j),(50.59374999999994-121.63749999999993j),(39.92499999999997-121.47499999999988j),(30.74375000000004-126.4249999999999j),(23.950000000000063-133.68124999999986j),(11.275000000000103-157.69999999999993j),(-9.94999999999984-186.85j),(-47.03124999999985-211.56875000000005j),(-100.41874999999987-229.47500000000005j),(-167.04374999999993-227.20625000000015j),(-230.32499999999993-201.07500000000007j),(-297.03125-138.31875000000016j),(-343.2875-44.54375000000013j),(-331.8687500000001+65.51249999999992j),(-252.76250000000007+156.63125j),(-96.03750000000008+200.21875000000003j),(6335.000000000003-1921.000000000001j),(-137.60625000000002-91.91875000000006j),(-232.67500000000007-10.16250000000006j),(-236.69375000000008+77.04999999999995j),(-188.41875000000007+133.15625000000003j),(-137.31875000000008+145.51875000000004j),(-101.13750000000009+145.98125000000002j),(-71.43750000000006+134.83125000000007j),(-65.14375000000005+117.10000000000005j),(-55.35000000000004+112.81250000000009j),(-58.13125000000003+115.64375000000008j),(-60.22500000000001+123.7062500000001j),(-51.68125000000001+136.2437500000001j),(-32.73749999999999+155.1875000000001j),(-2.4249999999999625+162.9000000000001j),(32.31250000000005+161.73125000000007j),(72.49375000000006+152.75625000000005j),(104.41875000000007+128.85625000000005j),(137.0500000000001+94.76250000000003j),(155.78125000000009+52.024999999999984j),(160.6750000000001+7.587499999999949j),(147.31875000000008-35.33125000000008j),(124.78125000000003-76.92500000000011j),(94.94999999999997-105.6437500000001j),(46.05624999999994-121.86875000000008j),(-2.0562500000000843-118.00000000000004j),(-46.500000000000085-109.88124999999998j),(-79.10000000000007-85.95624999999995j),(10277.000000000004+0j),(-13329.600000000006-32640.000000000015j),(128.00000000000006+0j),0j
b827eb983f87,1718509887.420305,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(129.8875000000001+34.6812499999999j),(112.31875000000002-17.612500000000136j),(80.44999999999999-49.26875000000012j),(38.862499999999926-60.20000000000009j),(11.21874999999989-47.46875000000003j),(3.5437499999998985-36.91874999999996j),(-1.4312500000000739-33.04374999999996j),(-1.9062500000000575-31.968749999999915j),(-9.262500000000026-30.49374999999991j),(27.337499999999988-6.318749999999908j),(-11.787499999999984-4.612499999999928j),(-2.9687499999999893+17.21875000000006j),(15.32500000000002+21.293750000000085j),(47.16250000000005+18.64375000000007j),(91.13125000000008+4.256250000000081j),(120.32500000000009-41.243749999999956j),(128.0000000000001-92.21874999999994j),(111.1750000000001-155.63125j),(78.30000000000014-214.14375j),(21.350000000000122-259.30625000000003j),(-42.25624999999992-292.7812500000001j),(-125.30624999999989-298.6437500000001j),(-201.53124999999991-286.5375000000001j),(-287.67499999999995-236.2375000000001j),(-361.73124999999993-146.3625000000001j),(-385.2562500000001-37.37500000000009j),(-336.8125+81.48749999999993j),(-183.16875000000005+186.17499999999998j),(6335.000000000003-1921.000000000001j),(-114.89374999999998-173.10000000000002j),(-281.3625-145.81875000000005j),(-354.3-49.74375000000004j),(-355.0125+49.118749999999935j),(-326.85+114.42499999999995j),(-292.04375000000005+172.81249999999991j),(-242.21875+209.17499999999998j),(-210.66250000000002+222.59374999999997j),(-162.8+240.96874999999994j),(-129.58125000000004+255.41249999999994j),(-97.46875000000004+263.79375j),(-61.675000000000054+272.63124999999997j),(-15.450000000000045+284.38125j),(36.79999999999996+276.63124999999997j),(83.71874999999999+257.80625j),(136.29999999999998+232.00625j),(177.13124999999997+186.9125j),(213.65624999999997+139.1125j),(240.04375+80.15625000000001j),(246.25+16.4375j),(228.25624999999997-49.50625j),(202.83125-116.92500000000001j),(153.45-167.3625j),(82.46874999999997-203.70000000000002j),(-3.0625000000000298-215.00625000000002j),(-93.45000000000003-196.57499999999996j),(-154.62499999999997-156.87499999999994j),(10277.000000000004+0j),(-13436.800000000007-32640.000000000015j),(128.00000000000006+0j),0j
