,mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
0,b827eb983f87,1718510026.171807,(-5129.999999999999+3069.9999999999995j),(-6133.999999999998-3079.0000000000005j),(4108.999999999999+6135.000000000001j),(5138+6142.999999999999j),(-9.727272727272755+62.48181818181825j),(44.43636363636363+57.7545454545455j),(76.96363636363638+20.736363636363617j),(60.33636363636364-42.018181818181816j),(22.081818181818164-73.62727272727274j),(-34.82727272727273-55.78181818181826j),(-60.25454545454545-12.536363636363676j),(-52.763636363636365+44.68181818181819j),(-7.872727272727297+93.00909090909084j),(58.20000000000003+102.39090909090912j),(127.52727272727275+65.29090909090908j),(152.9818181818182-10.618181818181828j),(177.46363636363643-102.77272727272732j),(118.44545454545455-203.68181818181813j),(15.772727272727284-270.42727272727285j),(-118.15454545454553-291.5363636363637j),(-236.27272727272717-271.10909090909104j),(-345.5818181818181-189.63636363636365j),(-418.8181818181818-53.87272727272737j),(-416.32727272727277+102.08181818181819j),(-355.9000000000004+253.32727272727274j),(-244.19090909090937+346.21818181818196j),(-120.18181818181836+391.84545454545474j),(19.536363636363593+385.58181818181816j),(135.33636363636361+310.11818181818205j),(206.75454545454537+212.10909090909112j),(201.89999999999995+91.04545454545469j),(129.97272727272738+0.01818181818200162j),(6334.999999999998-1920.9999999999993j),(-42.78181818181844+42.02727272727288j),(-74.49090909090926+83.4909090909093j),(-98.0636363636362+148.5727272727275j),(-107.98181818181806+222.95454545454578j),(-41.699999999999775+321.9545454545456j),(47.581818181818605+403.0818181818184j),(179.49090909090935+419.0363636363639j),(335.68181818181864+408.46363636363634j),(460.827272727273+321.7636363636361j),(569.1454545454546+183.45454545454533j),(600.8909090909091+1.1727272727269975j),(589.618181818182-186.03636363636403j),(505.9727272727276-340.1545454545458j),(390.94545454545454-471.80000000000007j),(245.84545454545457-551.6272727272728j),(62.92727272727269-589.845454545455j),(-102.69090909090916-563.1181818181823j),(-271.2545454545456-506.25454545454573j),(-414.3545454545457-400.00909090909096j),(-519.6-242.46363636363637j),(-560.818181818182-42.745454545454464j),(-541.8909090909094+147.9545454545456j),(-421.8545454545456+344.4818181818184j),(-228.04545454545462+486.63636363636397j),(34.00000000000013+524.3909090909094j),(275.00909090909096+456.1909090909093j),(406.60909090909115+278.4272727272728j),(10277.000000000002+0j),(-14952.727272727274-32639.999999999996j),(128.00000000000003+0j),0j
1,b827eb983f87,1718510026.274195,(-5129.999999999999+3069.9999999999995j),(-6133.999999999999-3079.0000000000005j),(4109+6135.000000000001j),(5138+6143j),(-4.9515151515151805+17.554545454545497j),(18.084848484848468+18.318181818181856j),(30.884848484848497+2.9181818181818144j),(18.015151515151537-24.36969696969697j),(-3.0515151515151615-32.91212121212123j),(-28.451515151515146-14.030303030303074j),(-32.12727272727271+16.106060606060566j),(-15.169696969696972+50.10000000000001j),(23.945454545454517+70.48181818181811j),(73.25454545454548+63.930303030303044j),(116.89090909090909+25.763636363636365j),(127.73333333333333-36.5090909090909j),(130.57878787878792-110.269696969697j),(74.33636363636363-182.19696969696963j),(-11.263636363636362-226.4212121212122j),(-104.14848484848493-238.2575757575758j),(-212.460606060606-201.15151515151524j),(-294.0363636363636-126.96969696969703j),(-341.7818181818182-10.696969696969738j),(-329.4121212121213+115.81515151515151j),(-267.427272727273+229.139393939394j),(-167.39090909090928+299.2545454545456j),(-58.739393939394105+328.5666666666669j),(56.54848484848485+305.8727272727273j),(149.70606060606056+231.0333333333336j),(197.73030303030293+135.75757575757592j),(175.75454545454545+29.245454545454642j),(96.99696969696977-36.75757575757555j),(6335-1920.9999999999995j),(1.7333333333331211+28.02727272727288j),(-12.545454545454717+23.26060606060628j),(-54.17272727272715+45.59696969696991j),(-88.8424242424241+90.84545454545483j),(-71.23939393939374+168.86363636363654j),(-28.775757575757083+244.31818181818198j),(51.7090909090912+280.54545454545473j),(161.73030303030356+296.8090909090909j),(256.17878787878817+261.5515151515149j),(345.24848484848496+184.30303030303023j),(391.39999999999986+64.8575757575755j),(404.00000000000017-60.65454545454588j),(366.7545454545457-173.4333333333337j),(304.3454545454545-272.9575757575758j),(214.16060606060606-342.56666666666683j),(96.36969696969693-385.6151515151519j),(-20.76969696969705-380.3242424242428j),(-137.0303030303032-358.53333333333364j),(-241.68181818181841-298.6333333333333j),(-321.71515151515155-198.33636363636361j),(-360.7878787878789-68.43030303030295j),(-360.9212121212124+59.25757575757592j),(-292.41212121212135+192.3060606060609j),(-176.31212121212127+294.62424242424277j),(-20.95151515151501+333.12424242424277j),(139.68787878787887+297.5727272727275j),(228.83333333333354+194.91212121212124j),(10277.000000000002+0j),(-14825.503030303034-32639.999999999996j),(128.00000000000006+0j),0j
2,b827eb983f87,1718510026.37734,(-5129.999999999999+3070j),(-6134-3079.0000000000005j),(4109+6135.000000000002j),(5138+6143j),(-6.039393939393971-12.698484848484831j),(-4.554545454545483-6.292424242424211j),(-4.103030303030295-4.937878787878777j),(-10.313636363636334-6.721212121212126j),(-16.616666666666674-1.2045454545454817j),(-18.689393939393927+14.721212121212098j),(-8.318181818181799+32.377272727272675j),(12.515151515151501+47.571212121212135j),(43.52121212121208+47.40151515151507j),(77.09696969696971+31.2348484848485j),(99.39090909090908-4.415151515151507j),(99.6212121212121-51.8393939393939j),(87.59545454545459-107.10757575757577j),(37.522727272727266-153.46212121212113j),(-29.959090909090914-178.66515151515156j),(-85.83181818181825-184.04696969696974j),(-181.330303030303-137.36060606060613j),(-237.93030303030298-73.33333333333341j),(-264.6242424242425+21.493939393939392j),(-246.08787878787888+119.11666666666666j),(-186.2651515151518+198.26969696969707j),(-100.58333333333346+247.77575757575772j),(-9.206060606060745+263.1136363636366j),(81.719696969697+229.40606060606063j),(153.15909090909085+158.5621212121215j),(180.91060606060594+70.178787878788j),(146.64696969696973-20.183333333333266j),(66.25606060606066-63.09393939393917j),(6335.000000000001-1920.9999999999998j),(35.61212121212104+14.883333333333479j),(33.86969696969679-25.424242424242195j),(-20.7439393939393-36.143939393939206j),(-73.58181818181805-13.87727272727247j),(-93.80151515151498+46.143939393939604j),(-88.40606060606008+115.4257575757577j),(-49.51212121212089+166.16060606060626j),(22.028787878788478+202.91969696969701j),(90.37121212121247+208.26363636363612j),(162.44242424242447+180.37878787878782j),(218.3939393939392+112.83787878787857j),(249.24545454545466+38.71212121212076j),(249.1954545454547-39.05303030303065j),(229.0333333333333-111.37272727272727j),(183.86212121212117-171.13484848484876j),(119.66060606060603-216.89242424242457j),(43.363636363636246-228.5681818181822j),(-29.26060606060625-234.56969696969725j),(-101.53181818181844-212.3560606060606j),(-160.178787878788-159.20151515151514j),(-196.90909090909105-86.88787878787872j),(-212.05757575757605-11.174242424242237j),(-185.4393939393941+69.62272727272762j),(-132.45000000000005+138.93030303030332j),(-63.887878787878634+177.8500000000003j),(31.586363636363757+168.96212121212142j),(86.82272727272749+126.7378787878788j),(10277+0j),(-14735.127272727277-32639.999999999996j),(128.00000000000006+0j),0j
3,b827eb983f87,1718510026.479846,(-5129.999999999999+3070j),(-6134.000000000001-3079.0000000000005j),(4109.000000000001+6135.000000000002j),(5138+6143j),(-12.990909090909124-28.27727272727271j),(-23.481818181818205-16.07727272727268j),(-27.99999999999997-2.831818181818157j),(-24.64999999999995+10.927272727272722j),(-18.61363636363636+21.495454545454507j),(-5.5409090909090715+30.472727272727276j),(11.1727272727273+36.27727272727265j),(30.290909090909068+37.09545454545456j),(50.85454545454538+23.768181818181745j),(69.72727272727273+4.304545454545462j),(75.02727272727269-25.24545454545452j),(68.64545454545451-56.60909090909085j),(48.51363636363638-93.28636363636362j),(8.004545454545436-117.47727272727263j),(-40.31363636363638-127.15909090909093j),(-63.20454545454552-128.90454545454548j),(-142.88181818181818-79.7363636363637j),(-177.2636363636363-28.727272727272833j),(-187.34545454545463+42.700000000000024j),(-166.3545454545456+111.9863636363636j),(-112.41363636363661+160.71818181818193j),(-43.76818181818186+191.78181818181832j),(28.418181818181694+195.48636363636382j),(95.05000000000003+156.1818181818182j),(145.69545454545445+92.70454545454572j),(156.29545454545445+15.37272727272736j),(114.57727272727277-57.24090909090906j),(37.75000000000003-78.99090909090887j),(6335.000000000001-1920.9999999999998j),(58.85454545454532+2.595454545454679j),(64.75454545454527-62.563636363636135j),(2.222727272727326-96.6499999999998j),(-62.199999999999875-91.21363636363611j),(-109.38636363636348-46.20454545454521j),(-131.30909090909034+16.40454545454554j),(-124.17272727272697+75.88181818181835j),(-83.42272727272672+126.79545454545467j),(-36.59545454545423+161.89999999999975j),(20.727272727272975+171.68181818181813j),(81.87272727272705+145.11363636363615j),(125.35454545454553+112.06363636363588j),(153.29545454545467+62.98636363636325j),(165.00909090909084+12.954545454545382j),(154.94999999999993-37.33181818181845j),(132.79999999999998-83.67727272727296j),(89.70909090909076-107.8500000000003j),(52.054545454545234-134.36363636363666j),(6.095454545454345-141.17727272727268j),(-34.99090909090921-125.0590909090909j),(-69.18181818181824-98.11818181818174j),(-95.30000000000018-63.340909090908895j),(-100.93636363636381-23.568181818181415j),(-96.45909090909092+19.554545454545803j),(-94.80909090909073+58.5681818181821j),(-49.29545454545439+70.3590909090911j),(-19.422727272727116+73.90454545454543j),(10277+0j),(-14681.600000000006-32639.999999999996j),(128.00000000000006+0j),0j
4,b827eb983f87,1718510026.582412,(-5129.999999999999+3070j),(-6134.000000000002-3079.0000000000005j),(4109.000000000001+6135.000000000001j),(5138+6143j),(-25.806060606060647-29.18181818181818j),(-38.69696969696974-11.036363636363582j),(-40.80606060606058+9.236363636363674j),(-24.993939393939314+28.575757575757564j),(-9.042424242424232+35.18787878787873j),(10.993939393939414+33.224242424242426j),(26.345454545454572+27.806060606060512j),(38.157575757575714+18.672727272727286j),(45.945454545454446-0.4181818181818926j),(51.14545454545453-16.860606060606045j),(43.79999999999994-36.72727272727269j),(34.80606060606057-50.81818181818173j),(13.333333333333343-68.80606060606058j),(-14.218181818181833-74.24242424242414j),(-42.32727272727273-71.9030303030303j),(-36.26666666666671-72.83030303030301j),(-97.1151515151515-28.27878787878791j),(-112.03636363636357+6.8484848484847305j),(-109.94545454545465+52.92121212121217j),(-90.2121212121213+94.42424242424237j),(-45.87272727272756+116.48484848484858j),(3.0545454545454334+131.2727272727274j),(54.13333333333327+125.68484848484866j),(96.53939393939396+86.19999999999999j),(127.31515151515141+33.460606060606324j),(123.88484848484836-28.660606060606057j),(79.54545454545459-81.92727272727267j),(11.478787878787884-84.44848484848461j),(6335.000000000001-1920.9999999999998j),(71.46060606060594-8.836363636363515j),(80.10909090909071-88.15757575757553j),(14.727272727272762-135.9212121212119j),(-54.69696969696959-141.16363636363616j),(-117.99393939393929-108.1818181818179j),(-157.48484848484793-52.74545454545438j),(-172.27272727272694+9.70909090909106j),(-154.6242424242418+68.43636363636375j),(-124.7212121212118+122.46060606060587j),(-79.89696969696934+158.21212121212116j),(-18.163636363636556+161.6848484848483j),(32.32727272727277+159.39999999999955j),(79.05454545454558+132.6848484848481j),(112.27272727272725+100.0242424242424j),(127.42424242424235+58.84242424242393j),(135.78787878787878+14.030303030302775j),(118.26666666666652-18.16969696969727j),(106.91515151515131-57.91515151515176j),(81.19999999999976-85.09696969696967j),(53.848484848484645-95.90909090909088j),(22.393939393939263-102.12121212121204j),(-10.648484848485054-97.24242424242405j),(-38.903030303030505-87.2666666666662j),(-68.33939393939394-63.50303030302996j),(-113.7151515151513-24.721212121211806j),(-102.95757575757563+1.7636363636366355j),(-89.9030303030301+36.41212121212118j),(10276.999999999998+0j),(-14664.921212121217-32639.999999999996j),(128.00000000000006+0j),0j
5,b827eb983f87,1718510026.684457,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(-45.33125000000003-31.537500000000016j),(-51.44375000000004-1.2749999999999868j),(-42.025000000000034+24.99375000000002j),(-11.612500000000017+43.76250000000003j),(13.83125000000001+41.18750000000003j),(34.83750000000002+24.20625000000001j),(43.18125000000003+7.431250000000009j),(40.78750000000004-12.587500000000002j),(28.39375000000002-31.38125000000002j),(17.856250000000028-35.76875000000003j),(-0.29375000000000256-43.281250000000036j),(-6.118750000000006-35.468750000000036j),(-18.31250000000002-28.081250000000033j),(-21.400000000000038-18.900000000000023j),(-21.587500000000038-20.018750000000008j),(11.131249999999966-37.28125j),(-30.656250000000043-21.406249999999975j),(-36.487500000000026-23.50624999999995j),(-56.025000000000034-21.62499999999994j),(-76.01249999999999-8.124999999999932j),(-92.81874999999998+13.450000000000086j),(-98.18124999999993+51.65625000000003j),(-90.14999999999992+91.21875000000004j),(-64.31249999999991+126.86875j),(-11.499999999999886+144.35624999999996j),(50.73125000000008+148.7312499999999j),(103.51875000000001+99.0124999999999j),(109.64999999999996+18.674999999999926j),(6335.000000000003-1921.000000000001j),(-13.412499999999927+95.30624999999998j),(87.05625000000003+137.2062499999999j),(157.22499999999997+93.81249999999986j),(189.14999999999992+16.787499999999852j),(181.9124999999999-57.03125000000006j),(143.60624999999985-121.36250000000004j),(77.70624999999987-158.65625j),(25.912499999999827-170.98749999999995j),(-39.18125000000011-152.5687499999999j),(-88.31875000000008-115.60624999999987j),(-109.73750000000003-73.15624999999989j),(-118.18124999999998-17.024999999999867j),(-101.53749999999997+23.13125000000011j),(-78.49999999999993+56.44375000000009j),(-46.67499999999992+76.22500000000007j),(-6.856249999999911+77.66875000000003j),(19.006250000000076+75.35000000000001j),(48.493750000000084+53.22499999999998j),(64.08125000000007+26.21874999999996j),(71.91250000000005+1.7187499999999436j),(66.53125000000003-30.412500000000065j),(48.18125000000001-52.562500000000064j),(18.256249999999977-72.54375000000007j),(-19.61250000000004-69.90000000000006j),(-107.67500000000003-38.36250000000005j),(-85.81875000000007-15.268750000000022j),(-76.76875000000008+28.718750000000018j),(10277.000000000004+0j),(-14704.000000000007-32640.000000000015j),(128.00000000000006+0j),0j
6,b827eb983f87,1718510026.786881,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(-106.63749999999999-3.324999999999972j),(-88.94374999999998+41.42500000000002j),(-55.79999999999997+69.55000000000001j),(3.8500000000000227+82.36874999999999j),(47.65625000000001+58.99999999999999j),(67.5625+21.037499999999977j),(67.81249999999999-9.512500000000014j),(53.825-37.66875j),(30.856249999999985-56.9j),(11.999999999999993-62.14374999999999j),(-11.912500000000007-69.76874999999998j),(-23.568749999999994-65.39999999999996j),(-45.68125-58.58749999999997j),(-64.29999999999998-45.94999999999996j),(-85.74999999999997-38.29374999999997j),(-74.16249999999994-31.568749999999994j),(-120.51249999999995+11.90000000000001j),(-128.55625+50.349999999999994j),(-129.64374999999995+94.17499999999997j),(-111.44374999999992+141.91249999999997j),(-73.43749999999999+184.69374999999994j),(-19.431249999999956+215.10624999999996j),(46.150000000000034+234.02499999999995j),(123.59375000000001+216.10624999999993j),(203.38749999999996+167.0812499999999j),(250.32499999999996+89.54374999999993j),(248.00624999999997-28.62500000000007j),(144.41249999999997-121.25625000000002j),(6335.000000000003-1921.000000000001j),(98.06875000000004+121.41249999999994j),(243.18125+74.82499999999992j),(284.91874999999993-52.268750000000104j),(249.3749999999999-165.13750000000007j),(174.3124999999999-235.74375000000006j),(85.80624999999985-275.03125j),(-12.318750000000142-272.20625j),(-78.86250000000013-246.29374999999996j),(-143.88125000000008-190.74374999999995j),(-180.9250000000001-125.9312499999999j),(-181.77500000000006-62.4312499999999j),(-171.01250000000002-1.506249999999899j),(-142.18125+40.9187500000001j),(-113.99374999999998+68.81875000000011j),(-78.16874999999999+87.9250000000001j),(-38.77499999999995+93.12500000000007j),(-11.643749999999944+90.56875000000005j),(17.03750000000008+76.68125000000003j),(32.075000000000074+61.07500000000002j),(46.29375000000008+46.21875j),(52.23750000000006+22.568749999999987j),(54.41250000000006+8.512499999999967j),(49.63125000000006-14.70625000000006j),(37.73750000000003-28.800000000000068j),(-11.706250000000017-26.000000000000075j),(-10.587500000000038-41.39375000000006j),(-13.006250000000058-27.48125000000005j),(10277.000000000004+0j),(-14800.000000000005-32640.000000000015j),(128.00000000000006+0j),0j
7,b827eb983f87,1718510026.889447,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(-111.01875000000003+123.86249999999995j),(-43.32500000000004+147.83124999999995j),(24.806249999999963+136.75625j),(103.01874999999997+83.18125j),(124.86249999999997-3.849999999999974j),(90.76249999999999-75.46874999999997j),(34.26875000000002-111.25624999999997j),(-28.02499999999997-111.45624999999998j),(-84.51249999999996-87.81874999999998j),(-116.24374999999995-38.26875j),(-127.69999999999996+11.049999999999969j),(-107.46874999999996+65.94374999999995j),(-77.64374999999997+108.70624999999993j),(-35.85624999999998+137.86249999999993j),(13.587499999999995+151.21874999999991j),(90.03124999999997+130.79999999999993j),(108.43124999999993+111.72499999999992j),(135.2062499999999+82.99999999999991j),(151.94999999999987+42.73749999999995j),(150.16874999999985+4.825000000000002j),(153.17499999999984-31.83749999999996j),(138.10624999999985-60.04374999999991j),(125.64999999999986-87.73124999999986j),(108.16874999999992-111.00624999999981j),(91.58124999999995-134.60624999999982j),(57.03125000000003-154.1937499999998j),(9.443750000000104-162.34374999999983j),(-51.1499999999999-115.02499999999992j),(6335.000000000003-1921.000000000001j),(117.06874999999992-25.537499999999927j),(140.63125-145.0499999999998j),(87.97500000000004-234.38124999999982j),(2.8812500000000814-274.61874999999986j),(-89.56874999999987-274.42499999999984j),(-171.68124999999984-240.61249999999993j),(-230.83124999999984-187.39999999999995j),(-267.9624999999998-120.32499999999993j),(-281.9687499999999-44.200000000000024j),(-274.9187499999999+33.56249999999995j),(-240.21249999999986+99.66874999999995j),(-192.6187499999999+153.96249999999992j),(-135.10624999999993+182.2624999999999j),(-84.63124999999995+190.6062499999999j),(-37.324999999999974+191.4312499999999j),(9.437500000000016+176.58124999999993j),(48.825+157.1812499999999j),(83.76249999999997+129.7437499999999j),(104.77499999999996+101.74999999999991j),(123.32499999999995+67.68124999999993j),(126.83124999999993+26.88124999999996j),(129.18124999999992-7.618750000000032j),(117.99999999999991-50.30625j),(95.31874999999992-87.49374999999998j),(43.268749999999926-106.06249999999993j),(-9.493750000000038-127.9812499999999j),(-39.193749999999994-114.68124999999988j),(10277.000000000004+0j),(-14896.000000000005-32640.000000000015j),(128.00000000000006+0j),0j
8,b827eb983f87,1718510026.992083,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(-125.45625000000005+126.21250000000005j),(-58.56875000000003+159.24375000000006j),(15.974999999999996+155.70000000000007j),(109.08125000000004+101.51875000000005j),(139.99375000000006+3.7125000000000163j),(109.01875000000004-79.88750000000002j),(46.64375000000003-128.75000000000006j),(-25.03124999999999-135.57500000000005j),(-92.85625000000003-112.45000000000006j),(-140.08750000000003-57.818750000000044j),(-160.78125000000006+2.524999999999975j),(-146.16875000000007+75.75625000000001j),(-112.49375000000008+135.50625000000005j),(-57.78750000000006+182.13750000000007j),(6.499999999999947+217.60000000000005j),(98.28749999999998+210.7437500000001j),(161.15+175.25625000000008j),(212.05+127.65625000000009j),(250.98125000000007+56.9812500000001j),(256.6375000000001-18.049999999999915j),(258.50625000000014-94.20624999999993j),(221.99375000000015-156.60624999999996j),(175.7937500000002-219.50000000000003j),(111.11875000000013-257.89375000000007j),(41.025000000000134-275.9937500000001j),(-40.9999999999999-271.9375000000001j),(-118.96874999999996-223.37500000000017j),(-157.71875000000003-98.53125000000013j),(6335.000000000003-1921.000000000001j),(107.51875000000013-117.45000000000002j),(39.66250000000014-260.3750000000001j),(-74.96874999999991-307.75000000000017j),(-182.4-281.2625000000003j),(-271.34375000000006-222.02500000000026j),(-328.52500000000015-129.78125000000023j),(-343.9750000000002-41.831250000000146j),(-343.0437500000002+52.80624999999991j),(-303.5125000000002+130.825j),(-248.1437500000002+199.68125000000003j),(-179.49375000000018+245.70625000000007j),(-100.15625000000016+271.9687500000001j),(-26.26250000000009+269.7750000000002j),(34.54374999999994+246.35625000000016j),(82.33124999999998+213.05000000000015j),(119.67500000000003+171.19375000000016j),(150.91250000000005+123.3375000000001j),(170.32500000000007+77.95625000000011j),(174.7750000000001+27.30625000000008j),(169.4750000000001-23.09374999999996j),(144.6000000000001-68.51249999999999j),(113.64375000000011-107.83750000000002j),(69.76875000000008-134.76875000000007j),(17.437500000000046-150.93125000000012j),(-33.96249999999999-133.0187500000001j),(-107.56250000000004-98.3375000000001j),(-116.22500000000007-54.69375000000009j),(10277.000000000004+0j),(-14992.000000000005-32640.000000000015j),(128.00000000000006+0j),0j
9,b827eb983f87,1718510027.093542,(-5130.000000000003+3070.0000000000014j),(-6134.000000000003-3079.000000000002j),(4109.000000000002+6135.000000000003j),(5138.000000000003+6143.000000000004j),(-107.71250000000008+105.93750000000007j),(-59.243750000000034+138.85000000000008j),(2.05000000000002+144.1187500000001j),(88.25000000000006+102.78750000000005j),(123.05625000000008+16.88749999999999j),(105.75000000000003-59.412500000000044j),(53.59375000000001-111.68125000000009j),(-6.743750000000024-125.67500000000005j),(-69.61250000000005-112.28125000000004j),(-121.76875000000007-71.2125j),(-150.11875000000003-17.674999999999965j),(-144.78750000000008+52.83125000000006j),(-124.50000000000004+110.7562500000001j),(-78.96249999999998+164.4062500000001j),(-17.312499999999943+214.8875000000001j),(50.4875000000001+233.86250000000007j),(142.57500000000013+199.58750000000003j),(203.81875000000016+161.73125j),(261.2375000000002+92.22499999999995j),(283.3625000000001+10.731249999999878j),(303.37500000000006-82.74375000000013j),(273.71875000000006-160.57500000000013j),(223.525-252.26875000000018j),(146.55624999999995-313.28125000000017j),(50.42499999999988-343.2187500000001j),(-63.96250000000013-341.7875000000001j),(-170.28750000000008-274.94374999999997j),(-211.58125000000007-108.19374999999995j),(6335.000000000003-1921.000000000001j),(116.33749999999999-170.10625000000005j),(-4.706250000000095-341.79375000000005j),(-167.00625000000008-371.94374999999997j),(-297.425-307.39374999999995j),(-398.78125000000006-207.26874999999995j),(-447.1875-72.75624999999994j),(-435.2625+43.49375000000008j),(-414.825+165.90625000000009j),(-342.47499999999997+255.24375000000003j),(-251.025+325.1625j),(-154.44999999999996+360.49375j),(-48.69374999999997+373.3812500000001j),(43.15000000000003+354.65625j),(120.70625000000003+310.075j),(180.7625+253.6875j),(219.575+185.92499999999998j),(245.12500000000003+112.85000000000001j),(261.1875+43.87499999999999j),(254.83124999999995-29.706250000000004j),(230.43124999999998-100.63749999999999j),(176.425-155.61249999999998j),(117.01249999999999-206.88124999999997j),(39.5125-227.23749999999998j),(-46.18124999999999-230.25625j),(-107.47499999999997-184.19999999999996j),(-218.48124999999993-96.42500000000001j),(-217.82499999999996-13.262500000000006j),(10277.000000000004+0j),(-15025.600000000006-32640.000000000015j),(128.00000000000006+0j),0j
