,mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
500,b827eb983f87,1716344572.80457,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-268-719j),(-442-557j),(-568-342j),(-638-60j),(-590+225j),(-448+438j),(-267+562j),(-76+606j),(91+606j),(247+566j),(374+482j),(467+375j),(539+255j),(583+126j),(596-5j),(570-124j),(519-232j),(450-322j),(361-387j),(265-425j),(162-423j),(69-398j),(-12-357j),(-76-292j),(-110-213j),(-114-130j),(-96-62j),(-28-6j),(2880+7808j),(-11+53j),(70+155j),(180+183j),(306+164j),(426+94j),(520-24j),(565-166j),(560-338j),(504-494j),(394-636j),(233-730j),(46-768j),(-140-750j),(-310-687j),(-451-573j),(-551-432j),(-614-274j),(-645-119j),(-644+44j),(-602+200j),(-514+357j),(-388+498j),(-200+602j),(40+642j),(315+580j),(553+398j),(696+192j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
501,b827eb983f87,1716344572.905132,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-335-410j),(-529-264j),(-636-9j),(-573+304j),(-357+534j),(-82+626j),(159+598j),(351+516j),(492+356j),(578+194j),(602+17j),(579-144j),(515-296j),(427-415j),(316-514j),(175-574j),(18-579j),(-119-535j),(-233-469j),(-315-372j),(-356-275j),(-371-161j),(-353-79j),(-307+10j),(-232+72j),(-146+101j),(-69+96j),(1+32j),(2880+7808j),(52+4j),(144-81j),(155-203j),(103-339j),(-16-448j),(-176-500j),(-347-475j),(-526-405j),(-666-259j),(-747-64j),(-756+144j),(-700+351j),(-570+532j),(-382+661j),(-167+710j),(38+699j),(228+628j),(381+523j),(507+382j),(590+212j),(624+25j),(602-186j),(504-398j),(292-585j),(-17-664j),(-332-571j),(-516-351j),(10277+0j),(-14336-32640j),(128+0j),(1731+7082j)
502,b827eb983f87,1716344573.00944,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-424+348j),(-312+515j),(-101+635j),(204+619j),(456+447j),(588+214j),(620-22j),(576-222j),(475-386j),(343-511j),(187-579j),(40-594j),(-114-588j),(-248-539j),(-369-459j),(-460-350j),(-512-232j),(-540-109j),(-528+17j),(-478+122j),(-402+202j),(-314+261j),(-226+274j),(-130+269j),(-43+232j),(14+174j),(49+105j),(21+18j),(2880+7808j),(31-44j),(19-165j),(-68-246j),(-201-284j),(-357-264j),(-495-178j),(-599-44j),(-652+128j),(-639+315j),(-562+505j),(-415+644j),(-226+732j),(-30+765j),(176+737j),(365+640j),(499+500j),(583+332j),(638+167j),(650-18j),(605-193j),(511-338j),(382-497j),(181-602j),(-81-646j),(-379-556j),(-598-320j),(-645-68j),(10277+0j),(-14336-32640j),(128+0j),(1731+7082j)
503,b827eb983f87,1716344573.111701,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(408-571j),(108-656j),(-211-600j),(-489-397j),(-630-93j),(-599+216j),(-442+440j),(-237+574j),(-6+600j),(196+559j),(369+462j),(491+321j),(568+148j),(597-28j),(567-200j),(482-352j),(344-455j),(186-508j),(37-514j),(-101-476j),(-208-405j),(-278-295j),(-309-186j),(-296-74j),(-238+21j),(-160+69j),(-78+81j),(-4+24j),(2880+7808j),(54+8j),(150-76j),(152-206j),(88-342j),(-58-444j),(-246-475j),(-431-407j),(-605-275j),(-704-73j),(-723+171j),(-646+407j),(-484+603j),(-268+726j),(-20+753j),(220+692j),(411+553j),(549+371j),(619+176j),(628-37j),(574-242j),(447-417j),(268-564j),(15-632j),(-288-571j),(-545-348j),(-670-18j),(-632+312j),(10277+0j),(-14336-32640j),(128+0j),(1731+7082j)
504,b827eb983f87,1716344573.211809,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(467-402j),(164-605j),(-207-607j),(-535-364j),(-625+8j),(-520+337j),(-283+547j),(-8+602j),(251+553j),(451+398j),(565+180j),(576-55j),(517-270j),(370-451j),(179-560j),(-40-582j),(-242-511j),(-380-383j),(-472-219j),(-482-37j),(-427+122j),(-320+235j),(-189+289j),(-63+287j),(42+228j),(96+143j),(97+53j),(33-6j),(2880+7808j),(-19-55j),(-140-89j),(-258-11j),(-315+155j),(-274+346j),(-125+511j),(99+587j),(357+548j),(583+392j),(721+143j),(740-164j),(620-450j),(393-666j),(95-747j),(-188-700j),(-434-549j),(-573-315j),(-642-71j),(-603+188j),(-473+403j),(-244+558j),(23+625j),(332+535j),(566+287j),(652-71j),(490-449j),(161-627j),(10277+0j),(-14336-32640j),(128+0j),(1731+7082j)
505,b827eb983f87,1716344573.314428,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(469+333j),(631+125j),(674-163j),(521-477j),(239-657j),(-77-685j),(-328-593j),(-504-445j),(-612-243j),(-655-48j),(-636+144j),(-570+309j),(-468+454j),(-342+552j),(-205+624j),(-41+647j),(127+621j),(264+540j),(369+440j),(428+316j),(451+201j),(437+83j),(395-13j),(320-92j),(219-138j),(119-141j),(41-118j),(-7-27j),(2880+7808j),(-66+4j),(-144+123j),(-126+259j),(-36+390j),(115+478j),(299+502j),(492+440j),(662+322j),(776+126j),(817-107j),(769-336j),(657-543j),(477-705j),(251-800j),(12-798j),(-202-734j),(-384-616j),(-530-469j),(-629-288j),(-680-90j),(-671+114j),(-598+331j),(-445+533j),(-174+691j),(172+711j),(493+542j),(637+269j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
506,b827eb983f87,1716344573.418796,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(395+712j),(572+496j),(679+237j),(697-82j),(581-365j),(389-551j),(179-648j),(-17-651j),(-195-637j),(-355-575j),(-476-462j),(-553-338j),(-610-213j),(-641-79j),(-636+62j),(-602+186j),(-543+293j),(-465+381j),(-373+442j),(-267+473j),(-158+465j),(-62+438j),(17+387j),(78+313j),(115+234j),(123+146j),(108+66j),(28+4j),(2880+7808j),(15-60j),(-51-179j),(-169-228j),(-315-227j),(-458-165j),(-576-51j),(-650+103j),(-668+275j),(-635+454j),(-546+620j),(-396+740j),(-210+816j),(-16+837j),(176+803j),(352+720j),(481+585j),(577+441j),(643+299j),(691+135j),(692-39j),(645-209j),(559-394j),(400-560j),(175-686j),(-125-722j),(-438-615j),(-656-433j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
507,b827eb983f87,1716344573.521151,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-612+388j),(-354+619j),(-7+702j),(356+600j),(607+336j),(685+22j),(625-256j),(476-461j),(284-594j),(70-648j),(-138-633j),(-322-558j),(-474-430j),(-586-272j),(-648-95j),(-648+89j),(-581+253j),(-468+376j),(-336+462j),(-185+504j),(-35+493j),(84+430j),(175+350j),(225+246j),(227+131j),(186+35j),(123-27j),(29-21j),(2880+7808j),(-39-51j),(-39-51j),(-279+66j),(-320+228j),(-277+411j),(-149+566j),(46+658j),(281+682j),(505+597j),(695+426j),(816+188j),(853-85j),(783-348j),(619-553j),(408-687j),(164-740j),(-70-720j),(-278-641j),(-453-514j),(-592-341j),(-665-112j),(-675+142j),(-569+414j),(-333+631j),(13+719j),(385+624j),(641+372j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
508,b827eb983f87,1716344573.622967,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-186+607j),(132+656j),(440+530j),(655+233j),(681-121j),(550-402j),(346-575j),(114-658j),(-117-640j),(-317-569j),(-471-451j),(-576-294j),(-631-117j),(-645+64j),(-616+234j),(-527+390j),(-389+494j),(-238+544j),(-91+563j),(53+534j),(170+469j),(256+363j),(299+259j),(304+149j),(266+48j),(200-22j),(119-61j),(18-24j),(2880+7808j),(-50-30j),(-188+13j),(-253+141j),(-251+304j),(-166+470j),(-11+590j),(180+632j),(416+607j),(611+485j),(764+301j),(839+67j),(837-188j),(742-432j),(557-615j),(342-719j),(108-745j),(-116-715j),(-313-625j),(-474-487j),(-599-310j),(-676-113j),(-674+136j),(-585+389j),(-363+609j),(-28+717j),(343+633j),(580+391j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
509,b827eb983f87,1716344573.723834,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-329+711j),(-65+731j),(194+671j),(461+513j),(626+274j),(678+15j),(638-216j),(536-387j),(405-530j),(256-615j),(96-653j),(-45-649j),(-178-629j),(-308-582j),(-412-505j),(-496-409j),(-554-289j),(-577-165j),(-574-49j),(-534+59j),(-473+131j),(-398+195j),(-322+229j),(-228+242j),(-139+228j),(-59+185j),(-3+126j),(13+33j),(2880+7808j),(57-22j),(111-154j),(82-275j),(-6-391j),(-142-471j),(-306-498j),(-472-465j),(-472-465j),(-752-237j),(-825-53j),(-831+141j),(-783+328j),(-685+497j),(-538+634j),(-358+718j),(-168+742j),(4+729j),(165+692j),(322+621j),(460+513j),(562+377j),(649+205j),(687-16j),(641-284j),(469-544j),(199-716j),(-91-779j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
