,mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
200,b827eb983f87,1716343998.025695,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(287+517j),(539+362j),(684+60j),(601-345j),(292-611j),(-78-668j),(-378-548j),(-563-323j),(-642-72j),(-611+197j),(-478+410j),(-279+545j),(-60+606j),(171+586j),(383+493j),(523+313j),(577+112j),(548-83j),(459-260j),(309-378j),(131-429j),(-29-394j),(-162-307j),(-233-180j),(-237-34j),(-174+76j),(-75+120j),(51+72j),(2880+7808j),(-25+97j),(151+161j),(286+86j),(372-88j),(354-309j),(223-499j),(13-604j),(-247-625j),(-504-521j),(-695-304j),(-783-12j),(-745+300j),(-580+567j),(-325+739j),(-27+778j),(262+702j),(485+517j),(625+293j),(674+36j),(629-234j),(473-464j),(229-629j),(-83-663j),(-403-534j),(-641-239j),(-661+162j),(-474+421j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
201,b827eb983f87,1716343998.127994,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-101+646j),(117+674j),(368+603j),(604+363j),(676+36j),(614-249j),(470-462j),(296-596j),(93-642j),(-89-645j),(-268-584j),(-406-470j),(-513-341j),(-584-195j),(-612-33j),(-584+121j),(-525+244j),(-437+359j),(-315+440j),(-182+464j),(-54+451j),(68+390j),(147+309j),(196+204j),(218+94j),(184-21j),(113-77j),(1-93j),(2880+7808j),(86-54j),(35-210j),(-77-287j),(-243-294j),(-398-232j),(-527-109j),(-604+53j),(-617+244j),(-565+435j),(-446+613j),(-260+734j),(-35+785j),(175+767j),(373+693j),(539+550j),(645+370j),(683+172j),(698-15j),(656-209j),(552-372j),(401-525j),(213-618j),(-33-651j),(-294-596j),(-544-419j),(-673-124j),(-644+112j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
202,b827eb983f87,1716343998.143428,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(604-20j),(585-322j),(398-598j),(-15-712j),(-400-580j),(-623-279j),(-678+52j),(-583+331j),(-372+545j),(-116+649j),(137+632j),(360+519j),(526+347j),(610+130j),(624-90j),(541-299j),(377-450j),(185-532j),(-13-536j),(-200-466j),(-317-330j),(-359-166j),(-354-18j),(-273+108j),(-149+185j),(-23+185j),(69+119j),(92-10j),(2880+7808j),(74+58j),(207-46j),(209-211j),(94-369j),(-106-454j),(-329-431j),(-542-278j),(-671-77j),(-694+207j),(-592+491j),(-369+698j),(-88+799j),(221+781j),(491+620j),(672+381j),(736+88j),(690-196j),(545-434j),(335-598j),(68-676j),(-184-643j),(-450-499j),(-636-240j),(-675+121j),(-504+483j),(-143+684j),(188+627j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
203,b827eb983f87,1716343998.163731,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-802+56j),(-660+389j),(-387+613j),(-1+708j),(365+597j),(595+344j),(684+52j),(634-205j),(493-432j),(314-580j),(94-636j),(-118-619j),(-301-544j),(-461-413j),(-576-247j),(-612-51j),(-574+135j),(-490+291j),(-360+404j),(-200+464j),(-38+457j),(102+391j),(211+288j),(250+154j),(238+35j),(174-66j),(88-114j),(-36-78j),(2880+7808j),(39-90j),(-102-190j),(-248-155j),(-374-34j),(-435+149j),(-405+360j),(-283+536j),(-89+667j),(144+707j),(388+652j),(597+495j),(749+269j),(803+4j),(742-266j),(595-487j),(381-634j),(137-693j),(-87-675j),(-314-600j),(-495-443j),(-618-227j),(-677+25j),(-604+306j),(-410+547j),(-94+682j),(292+641j),(571+444j),(10277+0j),(-13312-32640j),(128+0j),(1731+7082j)
204,b827eb983f87,1716343998.232763,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(87+596j),(392+531j),(642+291j),(700-136j),(487-481j),(157-662j),(-174-649j),(-425-500j),(-596-279j),(-654-18j),(-595+240j),(-440+431j),(-253+565j),(-23+622j),(216+598j),(405+461j),(526+287j),(566+87j),(541-120j),(424-283j),(264-382j),(89-401j),(-69-352j),(-172-246j),(-220-108j),(-196+25j),(-107+96j),(21+90j),(2880+7808j),(-55+85j),(93+184j),(246+154j),(366+16j),(409-200j),(330-410j),(158-570j),(-82-646j),(-351-606j),(-586-453j),(-743-185j),(-772+118j),(-669+404j),(-474+630j),(-189+732j),(99+728j),(350+597j),(536+421j),(642+177j),(648-90j),(548-349j),(348-555j),(51-650j),(-283-594j),(-570-366j),(-670+21j),(-531+308j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
205,b827eb983f87,1716343998.332848,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-664+313j),(-446+568j),(-123+697j),(272+649j),(572+408j),(691+75j),(650-230j),(492-461j),(278-605j),(39-661j),(-198-625j),(-389-519j),(-534-351j),(-623-168j),(-652+43j),(-596+250j),(-472+396j),(-311+507j),(-127+549j),(54+523j),(203+444j),(303+302j),(349+168j),(322+19j),(244-100j),(134-162j),(23-152j),(-72-60j),(2880+7808j),(-2-93j),(-168-116j),(-282-17j),(-332+151j),(-285+346j),(-151+509j),(55+578j),(285+582j),(500+480j),(675+295j),(764+52j),(748-226j),(637-467j),(427-648j),(172-730j),(-83-709j),(-320-616j),(-488-457j),(-604-258j),(-646-32j),(-611+193j),(-490+427j),(-269+598j),(41+659j),(364+545j),(605+276j),(669-34j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
206,b827eb983f87,1716343998.435204,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-76+683j),(263+658j),(561+452j),(719+102j),(674-268j),(465-541j),(193-670j),(-72-695j),(-311-603j),(-488-458j),(-609-274j),(-662-70j),(-649+144j),(-582+333j),(-466+484j),(-307+598j),(-112+636j),(82+604j),(238+523j),(361+406j),(439+268j),(454+96j),(410-35j),(313-150j),(179-219j),(51-217j),(-39-168j),(-97-32j),(2880+7808j),(-31-85j),(-198-54j),(-264+62j),(-266+228j),(-179+395j),(-30+513j),(172+541j),(377+514j),(560+379j),(690+183j),(748-47j),(718-294j),(594-509j),(393-660j),(157-726j),(-84-709j),(-302-620j),(-468-476j),(-586-293j),(-642-84j),(-630+138j),(-540+348j),(-364+536j),(-86+650j),(245+608j),(521+403j),(640+99j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
207,b827eb983f87,1716343998.537671,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-429+562j),(-229+690j),(26+749j),(376+647j),(607+393j),(703+104j),(691-166j),(594-372j),(439-548j),(264-657j),(67-695j),(-104-671j),(-273-621j),(-410-528j),(-529-415j),(-606-268j),(-641-103j),(-628+60j),(-568+210j),(-468+322j),(-339+385j),(-207+416j),(-86+399j),(37+351j),(127+265j),(180+155j),(168+47j),(90-68j),(2880+7808j),(87+29j),(157-108j),(128-235j),(14-341j),(-137-394j),(-307-391j),(-469-322j),(-599-196j),(-689-26j),(-707+182j),(-645+373j),(-529+539j),(-377+663j),(-174+751j),(51+743j),(243+674j),(399+559j),(522+430j),(618+260j),(656+75j),(623-107j),(558-309j),(415-476j),(199-614j),(-102-667j),(-396-541j),(-537-366j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
208,b827eb983f87,1716343998.64009,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-453+700j),(145+786j),(638+432j),(728-196j),(325-661j),(-240-683j),(-633-345j),(-693+137j),(-454+531j),(-37+701j),(385+573j),(632+245j),(660-160j),(443-512j),(62-676j),(-340-584j),(-596-279j),(-631+101j),(-447+419j),(-113+557j),(217+473j),(408+237j),(420-52j),(254-261j),(28-295j),(-143-183j),(-178-23j),(-42+99j),(2880+7808j),(-57+69j),(117+151j),(259+20j),(256-225j),(53-420j),(-285-415j),(-536-182j),(-591+211j),(-382+564j),(14+724j),(455+602j),(742+209j),(726-275j),(417-648j),(-48-751j),(-470-556j),(-673-153j),(-613+262j),(-337+573j),(84+644j),(463+455j),(640+57j),(514-379j),(126-640j),(-385-548j),(-672-86j),(-554+425j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
209,b827eb983f87,1716343998.744607,(-8190-3065j),(-1028+4100j),(-1028+4100j),(8187-3083j),(-531+482j),(-198+721j),(238+733j),(623+449j),(745+4j),(615-388j),(336-639j),(13-710j),(-296-645j),(-538-463j),(-672-197j),(-682+92j),(-588+353j),(-395+556j),(-152+663j),(105+664j),(332+567j),(503+402j),(594+174j),(575-65j),(460-252j),(288-375j),(104-405j),(-70-352j),(-195-234j),(-224-77j),(-175+36j),(-30+98j),(2880+7808j),(-75+49j),(26+185j),(173+194j),(328+86j),(399-113j),(363-333j),(210-526j),(-23-618j),(-291-605j),(-556-458j),(-718-188j),(-748+125j),(-649+421j),(-422+640j),(-136+741j),(170+709j),(425+554j),(591+333j),(664+60j),(617-219j),(456-453j),(199-611j),(-127-628j),(-439-478j),(-647-164j),(-618+240j),(-363+512j),(10277+0j),(-14080-32640j),(128+0j),(1731+7082j)
