,mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
0,b827eb983f87,1716344250.549947,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-294+466j),(-134+575j),(85+622j),(377+518j),(551+279j),(612+24j),(577-201j),(492-385j),(344-520j),(184-597j),(8-619j),(-143-593j),(-295-549j),(-424-452j),(-522-345j),(-583-204j),(-606-65j),(-594+79j),(-543+204j),(-461+304j),(-355+368j),(-246+401j),(-137+401j),(-37+366j),(52+311j),(111+224j),(128+132j),(93+19j),(2880+7808j),(5+5j),(9-69j),(-42-128j),(-144-160j),(-258-145j),(-369-80j),(-453+29j),(-484+164j),(-477+314j),(-405+469j),(-278+581j),(-119+647j),(52+660j),(228+624j),(375+532j),(495+405j),(560+254j),(613+107j),(616-76j),(568-242j),(463-394j),(302-530j),(95-609j),(-161-611j),(-446-500j),(-621-228j),(-627+11j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
1,b827eb983f87,1716344250.651652,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-266-615j),(-504-408j),(-629-111j),(-593+232j),(-391+492j),(-119+610j),(147+601j),(358+511j),(520+343j),(612+148j),(621-60j),(571-244j),(472-409j),(332-535j),(172-605j),(-8-630j),(-189-586j),(-338-493j),(-446-369j),(-507-222j),(-511-77j),(-470+62j),(-397+164j),(-292+237j),(-175+268j),(-58+251j),(25+186j),(65+69j),(2880+7808j),(-4+6j),(31-57j),(-7-124j),(-92-186j),(-212-199j),(-336-149j),(-432-28j),(-490+115j),(-477+297j),(-387+471j),(-230+596j),(-39+650j),(159+640j),(355+563j),(513+407j),(595+210j),(613+15j),(585-174j),(502-356j),(355-509j),(153-586j),(-75-608j),(-318-527j),(-539-326j),(-649-7j),(-573+334j),(-358+582j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
2,b827eb983f87,1716344250.752327,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(521-88j),(508-287j),(386-496j),(109-626j),(-188-603j),(-421-458j),(-556-270j),(-624-65j),(-599+134j),(-537+310j),(-427+446j),(-297+539j),(-145+603j),(5+622j),(153+609j),(291+552j),(408+453j),(490+337j),(541+204j),(544+71j),(505-44j),(449-143j),(362-209j),(267-253j),(163-267j),(62-242j),(-10-182j),(-49-75j),(2880+7808j),(5-1j),(-36+49j),(-19+125j),(40+206j),(137+256j),(258+264j),(384+215j),(490+124j),(562-18j),(577-178j),(532-337j),(442-470j),(308-582j),(140-647j),(-46-648j),(-214-595j),(-361-506j),(-483-387j),(-571-229j),(-613-51j),(-594+126j),(-519+325j),(-375+493j),(-135+622j),(175+633j),(452+476j),(566+252j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
3,b827eb983f87,1716344250.85682,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(8187-3083j),(420+497j),(572+286j),(634+15j),(572-242j),(435-435j),(268-553j),(108-603j),(-67-618j),(-218-584j),(-348-518j),(-448-425j),(-524-328j),(-582-210j),(-609-92j),(-614+25j),(-594+144j),(-542+242j),(-477+323j),(-391+383j),(-294+414j),(-192+421j),(-110+396j),(-29+359j),(42+300j),(89+228j),(104+146j),(84+42j),(2880+7808j),(-5-1j),(17-64j),(-20-127j),(-91-183j),(-186-220j),(-296-217j),(-412-167j),(-493-94j),(-558+24j),(-577+161j),(-552+300j),(-489+421j),(-393+523j),(-275+596j),(-134+636j),(14+638j),(149+602j),(275+555j),(397+477j),(503+365j),(572+218j),(615+42j),(596-161j),(505-382j),(315-575j),(44-674j),(-224-658j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
4,b827eb983f87,1716344250.95904,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-508+93j),(-463+338j),(-278+553j),(80+624j),(400+485j),(585+206j),(616-80j),(519-335j),(336-515j),(103-604j),(-120-600j),(-337-512j),(-497-362j),(-590-175j),(-628+27j),(-569+236j),(-450+398j),(-287+511j),(-100+561j),(82+535j),(232+451j),(324+323j),(373+189j),(362+47j),(298-70j),(200-141j),(93-152j),(-9-82j),(2880+7808j),(2-2j),(-54+43j),(-44+129j),(28+220j),(157+266j),(307+231j),(426+119j),(507-47j),(504-256j),(403-454j),(228-599j),(3-658j),(-233-625j),(-441-498j),(-576-300j),(-633-72j),(-602+164j),(-487+371j),(-313+524j),(-85+608j),(156+593j),(393+481j),(575+257j),(638-78j),(496-430j),(172-637j),(-148-613j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
5,b827eb983f87,1716344251.061484,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(163+692j),(322+587j),(455+441j),(602+175j),(600-121j),(495-353j),(339-516j),(155-593j),(-31-612j),(-198-582j),(-349-503j),(-465-388j),(-549-271j),(-594-125j),(-617+22j),(-587+168j),(-527+286j),(-446+386j),(-335+462j),(-219+494j),(-93+490j),(15+457j),(104+397j),(168+315j),(201+226j),(200+126j),(170+44j),(84-29j),(2880+7808j),(5-4j),(-29-62j),(-109-78j),(-208-63j),(-299+7j),(-358+112j),(-380+238j),(-339+377j),(-264+496j),(-142+591j),(20+631j),(189+617j),(335+559j),(482+453j),(570+312j),(621+156j),(610-7j),(587-158j),(523-318j),(414-451j),(248-553j),(53-618j),(-176-598j),(-396-493j),(-599-279j),(-665+36j),(-652+239j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
6,b827eb983f87,1716344251.163681,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-285-473j),(-511-301j),(-624-27j),(-563+291j),(-353+521j),(-78+615j),(169+590j),(375+491j),(516+330j),(596+144j),(612-43j),(568-218j),(485-367j),(371-488j),(240-579j),(74-624j),(-100-609j),(-254-532j),(-365-426j),(-433-302j),(-462-176j),(-447-44j),(-405+62j),(-328+147j),(-227+197j),(-120+201j),(-32+166j),(36+79j),(2880+7808j),(4+6j),(65-46j),(60-130j),(12-223j),(-91-291j),(-224-306j),(-364-256j),(-491-165j),(-573-6j),(-585+177j),(-534+347j),(-434+499j),(-275+616j),(-74+666j),(130+639j),(306+555j),(447+427j),(549+271j),(606+89j),(609-113j),(540-305j),(396-475j),(188-595j),(-100-633j),(-405-515j),(-615-247j),(-643+67j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
7,b827eb983f87,1716344251.264051,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-143+734j),(84+681j),(279+575j),(508+376j),(603+107j),(593-139j),(508-335j),(384-474j),(221-581j),(64-622j),(-110-605j),(-231-550j),(-362-494j),(-460-394j),(-536-293j),(-591-167j),(-599-30j),(-569+106j),(-517+214j),(-441+294j),(-346+347j),(-243+380j),(-142+376j),(-47+342j),(26+292j),(82+217j),(104+134j),(80+26j),(2880+7808j),(9+0j),(31-73j),(-11-146j),(-104-198j),(-212-214j),(-332-185j),(-435-115j),(-513-6j),(-550+139j),(-541+283j),(-478+419j),(-372+536j),(-238+623j),(-71+668j),(104+645j),(246+589j),(366+496j),(482+393j),(572+250j),(618+88j),(609-79j),(550-274j),(429-444j),(237-593j),(-51-660j),(-359-579j),(-559-467j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
8,b827eb983f87,1716344251.368444,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-638-358j),(-679-47j),(-588+257j),(-353+515j),(-28+610j),(264+546j),(477+382j),(584+169j),(610-62j),(553-269j),(421-436j),(257-539j),(72-598j),(-123-592j),(-302-527j),(-449-410j),(-542-253j),(-578-85j),(-560+83j),(-485+226j),(-369+332j),(-233+387j),(-100+390j),(24+348j),(112+270j),(159+170j),(153+72j),(83-20j),(2880+7808j),(12-9j),(-32-77j),(-118-79j),(-218-30j),(-293+76j),(-308+221j),(-264+368j),(-140+489j),(25+561j),(216+564j),(413+483j),(565+322j),(646+123j),(653-91j),(578-291j),(441-452j),(260-557j),(68-610j),(-145-600j),(-342-510j),(-508-342j),(-608-113j),(-601+157j),(-478+425j),(-197+627j),(162+656j),(468+539j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
9,b827eb983f87,1716344251.471059,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(383+329j),(537+189j),(615-36j),(534-334j),(313-540j),(52-617j),(-176-589j),(-371-483j),(-498-343j),(-575-175j),(-599-11j),(-575+156j),(-514+307j),(-427+426j),(-321+538j),(-169+592j),(-20+598j),(121+565j),(249+498j),(333+404j),(394+299j),(413+176j),(404+75j),(358-25j),(280-104j),(185-147j),(86-139j),(-3-83j),(2880+7808j),(-1-16j),(-82+2j),(-130+73j),(-143+183j),(-106+302j),(-14+392j),(121+429j),(260+447j),(416+385j),(532+271j),(619+125j),(656-50j),(632-229j),(549-390j),(403-509j),(244-580j),(64-609j),(-104-594j),(-263-540j),(-417-441j),(-531-291j),(-613-100j),(-615+133j),(-508+390j),(-270+596j),(48+658j),(286+553j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
