,mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
200,b827eb983f87,1716344270.517858,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(407-391j),(172-490j),(-84-478j),(-320-354j),(-460-142j),(-475+92j),(-390+283j),(-249+411j),(-71+466j),(97+457j),(245+392j),(350+290j),(424+163j),(461+20j),(448-121j),(384-248j),(274-332j),(148-367j),(29-365j),(-75-321j),(-142-258j),(-173-163j),(-176-85j),(-135-17j),(-78+25j),(-17+29j),(23+12j),(29-57j),(2880+7808j),(102+48j),(241-63j),(273-220j),(207-390j),(60-524j),(-142-586j),(-352-554j),(-566-444j),(-719-257j),(-792-12j),(-774+236j),(-668+482j),(-480+675j),(-232+779j),(27+784j),(273+703j),(477+550j),(621+358j),(699+121j),(690-129j),(602-369j),(406-574j),(128-694j),(-209-674j),(-527-475j),(-710-137j),(-716+217j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
201,b827eb983f87,1716344270.617927,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-385-473j),(-464-291j),(-490-104j),(-473+134j),(-352+327j),(-199+436j),(-41+479j),(105+459j),(234+418j),(334+345j),(414+247j),(445+132j),(455+30j),(448-77j),(417-191j),(349-268j),(276-322j),(194-353j),(106-357j),(31-336j),(-39-286j),(-84-228j),(-112-157j),(-105-91j),(-76-36j),(-33+15j),(6+32j),(57-3j),(2880+7808j),(-7+113j),(134+213j),(270+213j),(406+145j),(521+34j),(588-121j),(598-274j),(553-454j),(461-606j),(323-718j),(147-791j),(-56-816j),(-243-782j),(-420-697j),(-555-551j),(-652-389j),(-699-210j),(-716-41j),(-702+154j),(-627+329j),(-498+485j),(-323+621j),(-90+694j),(169+681j),(456+549j),(663+286j),(752+42j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
202,b827eb983f87,1716344270.720388,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-349-126j),(-430+46j),(-415+247j),(-253+438j),(-23+491j),(194+445j),(345+332j),(448+194j),(482+23j),(462-132j),(396-264j),(303-353j),(198-429j),(74-453j),(-33-455j),(-152-424j),(-250-347j),(-309-250j),(-340-156j),(-334-49j),(-289+23j),(-234+76j),(-169+98j),(-105+98j),(-33+77j),(6+29j),(18-6j),(-11-56j),(2880+7808j),(102-37j),(133-192j),(73-331j),(-61-422j),(-237-454j),(-412-415j),(-565-306j),(-691-149j),(-754+59j),(-729+282j),(-637+482j),(-488+652j),(-282+764j),(-52+806j),(175+756j),(373+657j),(524+495j),(640+322j),(697+109j),(699-107j),(618-313j),(461-515j),(229-648j),(-83-695j),(-411-588j),(-648-314j),(-686-11j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
203,b827eb983f87,1716344270.822842,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-215-540j),(-371-389j),(-472-199j),(-500+23j),(-437+226j),(-315+371j),(-171+457j),(-34+481j),(105+480j),(105+480j),(320+369j),(382+280j),(426+190j),(452+91j),(451-6j),(430-95j),(389-174j),(330-234j),(262-275j),(183-288j),(110-274j),(47-243j),-195j,(-29-133j),(-36-77j),(-28-27j),(-15+8j),(43+18j),(2880+7808j),(-62+82j),236j,(96+314j),(233+346j),(378+326j),(516+253j),(626+144j),(695-3j),(723-170j),(697-341j),(621-496j),(502-632j),(346-727j),(174-775j),(-9-777j),(-180-728j),(-328-648j),(-464-549j),(-579-412j),(-658-250j),(-682-60j),(-678+151j),(-585+369j),(-408+570j),(-138+700j),(170+707j),(434+605j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
204,b827eb983f87,1716344270.927153,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-480+365j),(-274+474j),(-38+504j),(231+440j),(434+255j),(507+14j),(458-203j),(329-380j),(150-457j),(-32-481j),(-193-437j),(-322-342j),(-417-214j),(-465-71j),(-472+78j),(-411+216j),(-304+317j),(-174+370j),(-43+374j),(61+340j),(143+274j),(182+181j),(187+103j),(160+28j),(100-17j),(44-26j),-18j,(-15+41j),(2880+7808j),(-99-22j),(-200+101j),(-200+245j),(-107+390j),(60+487j),(264+497j),(468+414j),(636+265j),(734+27j),(732-223j),(639-468j),(456-666j),(206-783j),(-76-797j),(-332-692j),(-531-520j),(-658-287j),(-698-42j),(-664+204j),(-537+436j),(-329+603j),(-66+692j),(240+653j),(523+452j),(690+104j),(656-291j),(486-573j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
205,b827eb983f87,1716344271.029822,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(209-498j),(-56-517j),(-301-409j),(-472-194j),(-509+66j),(-421+289j),(-259+430j),(-66+501j),(114+474j),(266+402j),(381+293j),(449+159j),(474+9j),(459-131j),(407-252j),(312-354j),(185-402j),(57-405j),(-53-376j),(-142-317j),(-197-241j),(-211-146j),(-206-73j),(-167-13j),(-110+27j),(-53+30j),(-12+19j),(8-39j),(2880+7808j),(90+20j),(200-91j),(208-235j),(134-383j),(-11-487j),(-198-527j),(-388-481j),(-574-373j),(-704-188j),(-756+40j),(-737+280j),(-628+507j),(-436+679j),(-198+768j),(50+761j),(280+684j),(471+542j),(608+354j),(687+132j),(683-113j),(598-333j),(427-544j),(165-677j),(-167-683j),(-491-506j),(-688-185j),(-704+166j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
206,b827eb983f87,1716344271.132163,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(375-227j),(205-438j),(-72-512j),(-360-380j),(-496-109j),(-473+167j),(-330+375j),(-127+480j),(83+495j),(276+419j),(415+269j),(472+93j),(470-86j),(394-254j),(269-372j),(110-435j),(-50-432j),(-190-372j),(-285-265j),(-323-134j),(-302-15j),(-243+70j),(-168+122j),(-92+131j),(-21+106j),(10+49j),(14+10j),(-31-14j),(2880+7808j),(24-87j),(-95-195j),(-245-187j),(-387-73j),(-461+117j),(-437+340j),(-307+535j),(-86+675j),(188+710j),(462+615j),(670+405j),(778+127j),(768-180j),(634-461j),(397-661j),(103-739j),(-176-692j),(-423-564j),(-608-340j),(-695-61j),(-647+236j),(-476+506j),(-176+670j),(199+671j),(557+455j),(713+48j),(604-323j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
207,b827eb983f87,1716344271.23481,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(567+232j),(556+18j),(482-185j),(342-374j),(139-488j),(-62-502j),(-224-448j),(-343-357j),(-421-256j),(-471-140j),(-483-19j),(-466+95j),(-426+198j),(-373+289j),(-301+367j),(-211+409j),(-125+419j),(-41+409j),(35+377j),(93+331j),(138+276j),(161+206j),(163+140j),(141+81j),(101+36j),(56+7j),(20-8j),(-23+22j),(2880+7808j),(-36-85j),(-184-123j),(-299-84j),(-397+14j),(-462+145j),(-479+300j),(-446+438j),(-359+579j),(-238+689j),(-81+757j),(100+780j),(288+747j),(454+665j),(589+536j),(673+375j),(714+205j),(716+28j),(687-136j),(633-303j),(525-461j),(372-588j),(183-675j),(-60-694j),(-313-620j),(-553-431j),(-701-150j),(-736+124j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
208,b827eb983f87,1716344271.337059,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(-254-424j),(-436-242j),(-511+7j),(-440+265j),(-255+436j),(-33+498j),(175+461j),(334+372j),(438+220j),(483+66j),(474-90j),(421-226j),(333-344j),(216-420j),(97-457j),(-32-456j),(-151-408j),(-242-329j),(-302-232j),(-319-129j),(-299-46j),(-256+31j),(-202+68j),(-135+85j),(-72+77j),(-26+45j),(-1+15j),(-19-28j),(2880+7808j),(83-46j),(88-201j),(10-313j),(-133-379j),(-302-380j),(-473-308j),(-604-162j),(-688+24j),(-694+249j),(-612+467j),(-456+643j),(-253+760j),(-9+806j),(237+757j),(448+631j),(601+441j),(682+228j),(709+8j),(668-220j),(555-429j),(373-590j),(129-685j),(-162-677j),(-453-533j),(-671-245j),(-708+130j),(-560+447j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
209,b827eb983f87,1716344271.436217,(-8190-3065j),(-1028+4100j),(2029-1023j),(8187-3083j),(328-253j),(247-411j),(72-523j),(-192-501j),(-388-340j),(-489-143j),(-507+57j),(-462+222j),(-367+357j),(-243+454j),(-98+498j),(31+490j),(162+468j),(281+398j),(366+306j),(416+196j),(430+89j),(423-14j),(383-111j),(313-177j),(232-207j),(154-219j),(90-192j),(37-159j),(-4-110j),(-12-48j),(-4-10j),(37+3j),(2880+7808j),(-41+86j),(36+217j),(156+280j),(312+277j),(464+199j),(579+63j),(635-105j),(645-294j),(583-493j),(443-664j),(249-777j),(26-824j),(-196-803j),(-411-717j),(-580-560j),(-690-359j),(-728-150j),(-739+50j),(-688+267j),(-570+458j),(-385+613j),(-153+703j),(126+708j),(421+601j),(674+345j),(752-19j),(645-307j),(10277+0j),(-13568-32640j),(128+0j),(1731+7082j)
