mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1716868748.133204,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(903-185j),(720-511j),(423-733j),(-48-806j),(-459-631j),(-669-315j),(-732+4j),(-630+262j),(-475+451j),(-304+580j),(-98+631j),(96+641j),(279+587j),(435+503j),(584+382j),(683+216j),(720+14j),(713-189j),(638-388j),(516-562j),(352-680j),(143-748j),(-64-756j),(-284-667j),(-466-514j),(-551-305j),(-520-57j),(-318+153j),(1598-3776j),(-68-239j),(-270-259j),(-382-164j),(-407-49j),(-396+42j),(-364+139j),(-306+200j),(-261+231j),(-195+277j),(-123+297j),(-62+311j),(-5+324j),(68+315j),(134+276j),(177+220j),(225+168j),(262+96j),(258+20j),(257-44j),(231-121j),(197-190j),(121-256j),(28-304j),(-102-288j),(-212-208j),(-304-68j),(-352+75j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868748.235371,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(867-258j),(742-482j),(541-660j),(137-795j),(-240-732j),(-499-533j),(-652-292j),(-666-59j),(-636+149j),(-575+291j),(-473+418j),(-358+511j),(-232+582j),(-105+627j),(12+664j),(158+657j),(310+610j),(445+550j),(564+461j),(662+336j),(698+182j),(724+30j),(700-130j),(626-289j),(522-411j),(348-476j),(164-462j),(-51-339j),(1598-3776j),(242+35j),(319-121j),(308-219j),(258-301j),(196-321j),(132-332j),(90-341j),(47-325j),(-6-336j),(-51-345j),(-80-314j),(-122-271j),(-149-272j),(-203-231j),(-251-188j),(-266-129j),(-273-74j),(-295-13j),(-291+60j),(-289+126j),(-230+180j),(-183+239j),(-90+287j),(11+310j),(158+293j),(285+219j),(317+183j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868748.338706,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-581+705j),(-337+807j),(-87+835j),(329+718j),(594+466j),(680+156j),(677-89j),(584-291j),(467-434j),(333-522j),(199-576j),(55-600j),(-74-601j),(-184-572j),(-313-556j),(-439-489j),(-521-386j),(-638-301j),(-681-153j),(-728-13j),(-690+126j),(-649+279j),(-568+388j),(-440+498j),(-299+568j),(-117+547j),(36+467j),(167+278j),(1598-3776j),(-225+44j),(-253+220j),(-208+298j),(-154+347j),(-69+339j),(-27+338j),(11+339j),(57+325j),(80+324j),(110+324j),(146+289j),(178+250j),(221+220j),(253+176j),(289+139j),(302+84j),(305+15j),(305-49j),(289-112j),(267-174j),(200-238j),(120-289j),(40-307j),(-78-327j),(-220-287j),(-345-157j),(-389-112j),(10277+0j),(-15360-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868748.439216,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-673+613j),(-408+783j),(-90+848j),(356+749j),(659+436j),(746+71j),(690-219j),(534-440j),(328-557j),(150-623j),(-44-637j),(-212-595j),(-359-520j),(-503-418j),(-620-296j),(-700-119j),(-716+68j),(-671+246j),(-597+411j),(-479+549j),(-318+659j),(-138+706j),(44+722j),(238+656j),(385+513j),(477+350j),(467+143j),(324-84j),(1598-3776j),(3+232j),(188+309j),(293+270j),(349+181j),(382+95j),(389+8j),(363-51j),(355-117j),(300-160j),(258-211j),(221-255j),(173-300j),(112-340j),(27-336j),(-31-317j),(-106-293j),(-190-239j),(-225-176j),(-267-109j),(-286-25j),(-302+61j),(-257+151j),(-202+251j),(-100+311j),(37+316j),(181+263j),(245+116j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868748.542648,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(752-310j),(597-541j),(354-707j),(-66-757j),(-422-583j),(-615-310j),(-665-38j),(-604+190j),(-499+350j),(-368+482j),(-209+545j),(-51+561j),(103+568j),(256+523j),(385+468j),(498+370j),(582+252j),(633+111j),(654-38j),(634-178j),(577-343j),(473-459j),(351-554j),(185-614j),(4-604j),(-169-540j),(-275-385j),(-293-145j),(1598-3776j),(155-175j),(50-366j),(-58-424j),(-166-394j),(-265-352j),(-335-278j),(-359-201j),(-381-141j),(-383-70j),(-371-1j),(-353+80j),(-327+159j),(-327+159j),(-243+256j),(-196+290j),(-119+319j),(-34+325j),(32+337j),(120+321j),(205+274j),(301+193j),(351+89j),(372-51j),(338-202j),(239-343j),(46-430j),(-107-365j),(10277+0j),(-15360-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868748.645133,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-229-739j),(-403-588j),(-525-405j),(-622-107j),(-563+169j),(-439+362j),(-286+467j),(-142+502j),(-20+508j),(86+495j),(182+460j),(267+415j),(339+374j),(415+307j),(479+241j),(528+178j),(579+85j),(604-3j),(617-121j),(600-227j),(551-334j),(487-424j),(397-493j),(278-553j),(155-572j),(25-541j),(-89-449j),(-183-270j),(1598-3776j),(243-39j),(297-228j),(279-336j),(224-402j),(154-444j),(89-467j),(48-474j),(-12-482j),(-67-491j),(-133-486j),(-202-454j),(-268-416j),(-338-368j),(-396-320j),(-443-250j),(-479-153j),(-490-57j),(-498+47j),(-489+166j),(-444+273j),(-352+393j),(-235+481j),(-71+540j),(128+546j),(349+473j),(541+273j),(636+110j),(10277+0j),(-14592-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868748.747337,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(354+695j),(545+522j),(665+288j),(660-164j),(416-484j),(89-586j),(-193-530j),(-362-379j),(-448-187j),(-466-21j),(-415+133j),(-333+243j),(-246+324j),(-144+375j),(-35+417j),(93+416j),(209+381j),(317+321j),(398+224j),(470+103j),(471-64j),(414-207j),(328-322j),(183-392j),(39-395j),(-94-343j),(-186-225j),(-186-225j),(1598-3776j),(55-96j),(-5-177j),(-48-177j),(-78-159j),(-99-155j),(-125-141j),(-153-154j),(-195-139j),(-256-117j),(-316-54j),(-342+40j),(-329+162j),(-283+272j),(-199+377j),(-78+447j),(88+450j),(245+392j),(387+298j),(504+131j),(542-68j),(480-302j),(311-518j),(31-631j),(-291-591j),(-591-354j),(-723+71j),(-668+316j),(10277+0j),(-15360-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868748.849203,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-192-859j),(-809-288j),(-609+407j),(-205+668j),(152+566j),(279+451j),(487+328j),(472+124j),(419+27j),(470-164j),(310-253j),(331-223j),(290-377j),(134-376j),(160-366j),(81-501j),(-111-422j),(-74-402j),(-300-504j),(-366-237j),(-289-343j),(-456-186j),(-396+15j),(-421-65j),(-444+200j),(-222+209j),(-192+222j),(-49+250j),(1598-3776j),(-66-103j),(-273-48j),(-123+79j),(-235-102j),(-251+201j),(162-68j),(-208+76j),(-138+257j),(-193-14j),(-350+270j),(-97+292j),(-240+233j),(-160+483j),(52+423j),(41+390j),(175+509j),(442+314j),(303+207j),(553+295j),(612-191j),(514-218j),(589-356j),(107-642j),(34-466j),(-293-710j),(-778-242j),(-722+624j),(10277+0j),(-15360-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868748.951580,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(477-821j),(205-853j),(-58-817j),(-409-662j),(-618-403j),(-684-125j),(-652+101j),(-579+274j),(-460+407j),(-368+484j),(-264+539j),(-150+579j),(-38+608j),(67+632j),(173+641j),(291+627j),(425+581j),(546+497j),(654+413j),(725+285j),(764+140j),(775-10j),(737-158j),(662-284j),(555-417j),(382-476j),(206-452j),(-6-355j),(1598-3776j),(238+84j),(329-42j),(353-115j),(337-176j),(290-194j),(275-208j),(261-228j),(260-232j),(250-275j),(235-310j),(216-345j),(190-370j),(148-411j),(83-445j),(-10-464j),(-102-460j),(-199-444j),(-309-400j),(-406-333j),(-508-234j),(-554-92j),(-588+80j),(-545+282j),(-407+488j),(-153+652j),(159+688j),(402+657j),(10277+0j),(-14848-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716868749.055199,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-124-891j),(-415-781j),(-650-575j),(-810-220j),(-781+132j),(-652+381j),(-487+560j),(-303+637j),(-129+679j),(19+693j),(152+661j),(265+605j),(375+563j),(479+495j),(571+426j),(650+341j),(701+217j),(730+93j),(747-13j),(751-140j),(694-264j),(629-368j),(534-468j),(410-536j),(283-574j),(121-542j),(-20-452j),(-135-283j),(1598-3776j),(209-21j),(235-147j),(213-193j),(171-224j),(133-202j),(105-176j),(99-169j),(104-129j),(116-142j),(136-151j),(154-144j),(163-147j),(180-189j),(159-230j),(124-280j),(82-309j),(28-332j),(-55-354j),(-132-351j),(-222-338j),(-296-276j),(-379-200j),(-436-70j),(-460+93j),(-413+299j),(-244+473j),(-39+547j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
