mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1716879421.240840,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(272-1069j),(-153-1044j),(-526-882j),(-885-445j),(-965+31j),(-815+464j),(-567+726j),(-258+860j),(65+863j),(327+766j),(540+624j),(649+402j),(714+216j),(739+22j),(720-140j),(669-291j),(571-447j),(427-522j),(326-615j),(194-655j),(52-679j),(-107-669j),(-250-652j),(-396-548j),(-522-411j),(-574-229j),(-531-14j),(-312+183j),(-4993-576j),(-91-231j),(-290-221j),(-370-121j),(-384-21j),(-358+45j),(-330+127j),(-282+166j),(-249+215j),(-206+273j),(-138+299j),(-86+316j),(-17+319j),(68+318j),(127+306j),(220+246j),(264+173j),(316+86j),(349-22j),(323-131j),(285-260j),(181-367j),(21-435j),(-170-425j),(-395-313j),(-541-58j),(-537+276j),(-388+516j),(11297+0j),(-16640-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.333331,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-330-929j),(-661-737j),(-895-412j),(-957+166j),(-674+637j),(-253+863j),(168+868j),(475+698j),(681+457j),(776+173j),(757-108j),(629-340j),(485-508j),(286-623j),(99-675j),(-88-663j),(-260-626j),(-397-530j),(-509-410j),(-589-268j),(-640-82j),(-637+75j),(-593+238j),(-489+398j),(-307+512j),(-113+546j),(82+463j),(222+226j),(-4993-576j),(-183+134j),(-84+307j),(11+357j),(92+327j),(172+278j),(228+228j),(276+189j),(298+127j),(326+44j),(323-27j),(314-134j),(251-230j),(175-284j),(80-327j),(-12-340j),(-134-314j),(-214-244j),(-306-164j),(-359-31j),(-362+141j),(-263+300j),(-119+408j),(118+433j),(348+315j),(518+67j),(491-275j),(365-416j),(11297+0j),(-16896-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.436686,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(935-287j),(804-611j),(542-885j),(20-1016j),(-451-872j),(-757-568j),(-884-226j),(-882+89j),(-781+346j),(-635+549j),(-420+687j),(-224+729j),(-38+740j),(118+695j),(252+655j),(384+581j),(458+503j),(531+398j),(595+326j),(639+217j),(674+100j),(709-22j),(684-157j),(637-296j),(538-440j),(369-536j),(167-536j),(-63-396j),(-4993-576j),(298+28j),(411-176j),(400-321j),(326-438j),(227-499j),(122-539j),(16-559j),(-80-549j),(-187-551j),(-289-500j),(-385-433j),(-472-313j),(-537-206j),(-572-62j),(-559+76j),(-518+216j),(-413+354j),(-320+463j),(-146+560j),(37+597j),(255+544j),(473+435j),(628+189j),(678-140j),(546-481j),(210-736j),(-72-728j),(11297+0j),(-16384-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.538478,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(492-851j),(255-955j),(-4-982j),(-461-831j),(-733-515j),(-848-165j),(-835+151j),(-718+393j),(-576+567j),(-385+694j),(-190+734j),(8+724j),(176+695j),(301+615j),(405+549j),(493+463j),(548+370j),(608+264j),(620+165j),(629+77j),(625-29j),(632-130j),(592-218j),(545-343j),(439-434j),(300-507j),(141-482j),(-67-367j),(-4993-576j),(263+23j),(358-163j),(338-265j),(282-348j),(211-376j),(153-410j),(110-439j),(55-452j),(-21-472j),(-78-480j),(-165-463j),(-256-414j),(-323-374j),(-428-270j),(-475-196j),(-514-73j),(-504+53j),(-490+193j),(-459+342j),(-350+463j),(-183+571j),(18+648j),(278+597j),(541+451j),(745+180j),(752-242j),(695-397j),(11297+0j),(-16640-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.640734,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-547-910j),(-720-693j),(-825-427j),(-886-10j),(-763+373j),(-558+620j),(-320+759j),(-96+778j),(125+737j),(288+680j),(434+557j),(514+438j),(576+326j),(626+186j),(634+78j),(632+3j),(627-96j),(598-169j),(573-242j),(550-329j),(486-388j),(431-473j),(374-533j),(247-588j),(119-619j),(-25-591j),(-157-485j),(-263-267j),(-4993-576j),(253-119j),(227-331j),(159-429j),(73-465j),(-1-466j),(-93-452j),(-125-431j),(-169-404j),(-223-410j),(-268-371j),(-324-343j),(-389-284j),(-426-199j),(-470-143j),(-499-48j),(-511+66j),(-474+182j),(-451+291j),(-378+424j),(-271+529j),(-102+614j),(110+657j),(363+605j),(591+441j),(777+159j),(807-233j),(762-465j),(11297+0j),(-16640-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.743899,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-24+908j),(185+853j),(385+760j),(648+502j),(756+184j),(751-122j),(647-355j),(513-513j),(330-594j),(182-640j),(20-635j),(-83-607j),(-188-555j),(-263-496j),(-325-444j),(-390-392j),(-438-338j),(-473-304j),(-525-246j),(-558-169j),(-570-76j),(-602+0j),(-582+106j),(-542+218j),(-465+315j),(-360+384j),(-214+392j),(11+313j),(-4993-576j),(-205-57j),(-299+67j),(-331+145j),(-283+213j),(-251+242j),(-204+285j),(-154+309j),(-127+312j),(-81+352j),(-5+376j),(73+365j),(139+338j),(195+303j),(275+247j),(333+174j),(367+78j),(377-20j),(383-124j),(346-246j),(297-360j),(179-444j),(13-536j),(-183-534j),(-413-454j),(-645-251j),(-739+102j),(-725+297j),(11297+0j),(-16896-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.845490,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-850+145j),(-819+415j),(-669+674j),(-669+674j),(179+866j),(497+680j),(694+449j),(796+180j),(789-61j),(714-270j),(598-437j),(449-544j),(299-634j),(158-655j),(35-657j),(-90-637j),(-198-605j),(-309-573j),(-419-526j),(-513-442j),(-582-347j),(-643-214j),(-673-91j),(-661+63j),(-610+243j),(-484+382j),(-292+413j),(-47+365j),(-4993-576j),(-251-100j),(-367+85j),(-374+190j),(-326+272j),(-253+315j),(-204+354j),(-138+385j),(-80+397j),(-12+425j),(79+424j),(146+413j),(229+364j),(319+312j),(381+226j),(444+149j),(486+24j),(466-118j),(442-245j),(371-371j),(265-503j),(89-577j),(-146-606j),(-389-530j),(-627-327j),(-775+32j),(-705+440j),(-517+628j),(11297+0j),(-16640-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.928415,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-81-874j),(-342-793j),(-572-642j),(-764-351j),(-791-31j),(-739+241j),(-613+441j),(-448+569j),(-289+630j),(-172+664j),(-16+660j),(64+620j),(156+590j),(202+566j),(241+570j),(317+540j),(357+504j),(447+464j),(513+424j),(581+377j),(620+316j),(681+229j),(706+163j),(714+36j),(694-103j),(621-188j),(496-277j),(215-346j),(-4993-576j),(178+238j),(387+216j),(484+148j),(513+69j),(498-1j),(508-71j),(505-131j),(495-177j),(490-228j),(457-293j),(419-347j),(376-400j),(327-469j),(208-528j),(114-552j),(6-572j),(-126-572j),(-245-532j),(-373-466j),(-505-393j),(-627-223j),(-694-72j),(-699+165j),(-620+448j),(-397+729j),(-44+872j),(229+879j),(11297+0j),(-16640-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.928572,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-1092-38j),(-924+300j),(-663+562j),(-262+775j),(182+776j),(490+595j),(673+341j),(730+64j),(660-181j),(573-380j),(407-505j),(238-572j),(72-620j),(-88-601j),(-221-563j),(-351-506j),(-456-411j),(-554-313j),(-641-200j),(-677-50j),(-681+126j),(-651+308j),(-574+476j),(-410+610j),(-216+681j),(44+672j),(220+523j),(328+226j),(-4993-576j),(-205+203j),(-56+460j),(79+519j),(236+482j),(355+404j),(440+285j),(473+200j),(500+86j),(514-25j),(514-165j),(461-303j),(365-438j),(232-544j),(69-565j),(-89-550j),(-275-483j),(-418-356j),(-522-231j),(-607-44j),(-594+179j),(-496+428j),(-281+649j),(47+747j),(407+665j),(735+347j),(863-111j),(844-499j),(11297+0j),(-16640-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716879421.936377,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(1025-199j),(795-503j),(488-715j),(69-825j),(-349-732j),(-622-486j),(-757-194j),(-740+82j),(-631+302j),(-499+476j),(-322+595j),(-117+654j),(51+641j),(192+597j),(332+554j),(436+456j),(536+362j),(607+245j),(664+109j),(711-54j),(681-252j),(621-385j),(530-555j),(353-662j),(139-722j),(-118-689j),(-295-502j),(-345-207j),(-4993-576j),(200-227j),(39-452j),(-106-516j),(-259-461j),(-368-386j),(-449-297j),(-497-200j),(-532-102j),(-543+22j),(-539+151j),(-477+305j),(-379+425j),(-269+540j),(-107+610j),(50+599j),(236+544j),(402+415j),(517+267j),(622+80j),(619-158j),(542-402j),(352-633j),(26-765j),(-362-702j),(-707-398j),(-876+56j),(-865+454j),(11297+0j),(-16384-32640j),(128+0j),(5699+6826j)
