mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1716878447.551331,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-57-606j),(-271-517j),(-434-360j),(-545-100j),(-512+159j),(-386+346j),(-229+475j),(-61+515j),(116+514j),(269+474j),(386+379j),(475+270j),(556+147j),(578+3j),(602-124j),(580-277j),(508-429j),(402-563j),(278-679j),(104-753j),(-76-770j),(-259-737j),(-435-668j),(-596-512j),(-713-313j),(-721-72j),(-601+177j),(-309+342j),(-4993-576j),(-220-273j),(-499-189j),(-603+12j),(-573+218j),(-500+347j),(-389+468j),(-254+533j),(-140+559j),(20+566j),(161+535j),(261+464j),(351+368j),(423+256j),(474+121j),(471-24j),(425-160j),(347-267j),(231-369j),(94-429j),(-52-441j),(-194-381j),(-344-269j),(-413-101j),(-423+107j),(-315+324j),(-91+452j),(110+485j),(10277+0j),(-13568-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878447.560478,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-141-467j),(-346-392j),(-502-223j),(-534+88j),(-405+352j),(-181+489j),(35+540j),(235+476j),(390+352j),(492+202j),(536+29j),(524-152j),(459-318j),(352-462j),(226-595j),(46-651j),(-147-654j),(-333-614j),(-529-516j),(-680-348j),(-775-120j),(-790+107j),(-728+351j),(-570+559j),(-341+715j),(-31+751j),(239+602j),(369+265j),(-4993-576j),(-226+265j),(-20+555j),(233+574j),(441+462j),(569+282j),(625+90j),(601-77j),(553-247j),(426-381j),(288-482j),(118-526j),(-68-529j),(-212-472j),(-348-362j),(-420-225j),(-451-56j),(-429+118j),(-341+256j),(-227+365j),(-59+428j),(123+413j),(307+327j),(432+131j),(433-109j),(300-324j),(53-442j),(-138-393j),(10277+0j),(-13568-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878447.593985,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-456+206j),(-338+405j),(-137+534j),(183+512j),(409+329j),(503+83j),(503-135j),(414-327j),(259-454j),(85-528j),(-104-528j),(-263-463j),(-416-389j),(-523-241j),(-602-80j),(-630+102j),(-587+303j),(-482+489j),(-338+653j),(-138+748j),(96+758j),(333+715j),(542+573j),(696+349j),(770+100j),(707-177j),(496-404j),(134-455j),(-4993-576j),(346+106j),(513-163j),(451-416j),(257-573j),(62-609j),(-144-594j),(-314-516j),(-431-385j),(-533-233j),(-572-66j),(-530+97j),(-438+249j),(-335+378j),(-181+454j),(-2+471j),(162+427j),(283+311j),(389+187j),(433+15j),(399-151j),(288-289j),(118-412j),(-87-403j),(-286-312j),(-424-110j),(-403+169j),(-270+317j),(10277+0j),(-14336-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878447.696313,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(399-355j),(129-513j),(-184-493j),(-459-249j),(-496+96j),(-345+357j),(-111+497j),(153+474j),(360+349j),(487+147j),(505-84j),(422-292j),(285-456j),(69-551j),(-172-554j),(-404-467j),(-593-263j),(-674-6j),(-658+281j),(-500+534j),(-228+714j),(101+761j),(421+664j),(671+391j),(769+66j),(665-298j),(365-539j),(-49-472j),(-4993-576j),(339-121j),(251-473j),(-49-610j),(-347-527j),(-525-306j),(-608-32j),(-555+194j),(-400+393j),(-209+511j),(4+550j),(222+476j),(388+307j),(465+105j),(458-108j),(362-294j),(180-417j),(-38-420j),(-228-351j),(-383-193j),(-420+24j),(-336+243j),(-336+243j),(113+411j),(340+274j),(444-12j),(322-318j),(74-452j),(10277+0j),(-14336-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878447.798972,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-449+16j),(-459+148j),(-422+288j),(-247+445j),(-35+494j),(151+462j),(290+391j),(392+290j),(458+180j),(501+67j),(523-57j),(485-157j),(468-277j),(419-370j),(373-456j),(294-544j),(187-614j),(62-656j),(-67-706j),(-202-698j),(-327-674j),(-468-595j),(-589-518j),(-688-366j),(-742-175j),(-727+22j),(-606+223j),(-310+355j),(-4993-576j),(-207-294j),(-497-251j),(-620-93j),(-618+87j),(-583+217j),(-521+332j),(-425+424j),(-348+463j),(-228+517j),(-111+542j),(-9+527j),(79+507j),(172+476j),(267+419j),(346+314j),(400+207j),(417+105j),(445-17j),(413-133j),(358-241j),(265-343j),(131-422j),(-25-425j),(-210-384j),(-382-244j),(-458-26j),(-434+106j),(10277+0j),(-14336-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878447.901279,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-364-255j),(-446-96j),(-464+85j),(-360+292j),(-195+412j),(-18+444j),(143+422j),(274+371j),(363+269j),(433+163j),(460+51j),(468-57j),(469-181j),(429-292j),(388-380j),(306-470j),(207-549j),(78-624j),(-57-659j),(-211-652j),(-354-610j),(-496-525j),(-614-408j),(-683-238j),(-726-38j),(-660+163j),(-496+338j),(-188+401j),(-4993-576j),(-271-201j),(-509-55j),(-563+139j),(-500+320j),(-389+424j),(-287+499j),(-151+539j),(-39+538j),(88+518j),(204+485j),(283+405j),(345+311j),(392+217j),(430+98j),(430-8j),(400-124j),(340-222j),(258-314j),(147-377j),(147-377j),(-116-382j),(-249-315j),(-347-189j),(-413-8j),(-380+199j),(-220+371j),(-56+425j),(10277+0j),(-14592-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878448.004556,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(416-42j),(394-187j),(315-333j),(93-449j),(-141-427j),(-321-320j),(-412-159j),(-449+5j),(-414+173j),(-333+302j),(-234+392j),(-110+444j),(28+476j),(161+471j),(294+458j),(434+374j),(539+244j),(589+85j),(643-83j),(598-267j),(545-442j),(386-589j),(211-687j),(-10-720j),(-249-643j),(-435-514j),(-527-266j),(-419+60j),(-4993-576j),(-23-315j),(-318-398j),(-518-274j),(-571-68j),(-576+113j),(-505+287j),(-376+395j),(-268+477j),(-105+501j),(48+496j),(170+458j),(294+393j),(385+281j),(426+139j),(420-7j),(381-133j),(302-253j),(193-346j),(54-387j),(-102-382j),(-235-318j),(-349-192j),(-399-23j),(-364+188j),(-193+374j),(47+423j),(203+373j),(10277+0j),(-14592-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878448.107008,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-605+330j),(-403+516j),(-168+615j),(168+603j),(432+454j),(563+234j),(621+23j),(579-184j),(507-348j),(388-483j),(256-569j),(101-634j),(-62-648j),(-225-635j),(-406-617j),(-550-526j),(-678-399j),(-769-258j),(-837-76j),(-862+119j),(-838+345j),(-744+544j),(-599+725j),(-387+856j),(-120+901j),(165+857j),(408+633j),(464+252j),(-4993-576j),(-250+309j),(-50+623j),(192+658j),(398+587j),(537+449j),(613+283j),(630+122j),(637-10j),(579-141j),(514-264j),(414-372j),(296-467j),(173-506j),(38-520j),(-89-492j),(-211-427j),(-334-338j),(-396-215j),(-452-85j),(-464+83j),(-416+251j),(-284+402j),(-100+512j),(134+500j),(372+370j),(526+115j),(557-125j),(10277+0j),(-14848-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878448.208425,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(449+338j),(587+156j),(634-90j),(488-415j),(201-607j),(-101-621j),(-344-534j),(-510-352j),(-604-145j),(-623+71j),(-575+267j),(-464+441j),(-331+578j),(-145+682j),(56+756j),(280+737j),(496+645j),(661+500j),(820+310j),(887+77j),(913-209j),(817-479j),(661-706j),(392-885j),(65-929j),(-264-850j),(-517-582j),(-522-140j),(-4993-576j),(124-393j),(-219-618j),(-498-537j),(-654-310j),(-729-72j),(-696+150j),(-591+335j),(-480+467j),(-292+545j),(-114+596j),(69+582j),(236+529j),(372+419j),(463+276j),(492+112j),(497-55j),(421-219j),(312-345j),(175-436j),(-28-482j),(-212-438j),(-403-324j),(-516-116j),(-510+168j),(-332+427j),(-31+546j),(185+495j),(10277+0j),(-14848-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878448.310944,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-43+683j),(148+632j),(320+535j),(501+347j),(578+126j),(580-68j),(540-231j),(473-353j),(381-457j),(289-529j),(192-577j),(94-594j),(-1-634j),(-107-648j),(-187-647j),(-290-646j),(-397-621j),(-506-576j),(-617-540j),(-703-455j),(-779-359j),(-843-235j),(-885-97j),(-884+61j),(-852+243j),(-723+409j),(-510+514j),(-169+506j),(-4993-576j),(-329-245j),(-600-112j),(-690+65j),(-668+243j),(-601+335j),(-517+427j),(-432+495j),(-352+521j),(-244+565j),(-149+594j),(-69+570j),(21+545j),(99+527j),(189+489j),(275+437j),(349+370j),(397+279j),(461+186j),(502+77j),(512-45j),(482-169j),(413-311j),(288-427j),(115-536j),(-122-559j),(-357-467j),(-514-357j),(10277+0j),(-14848-32640j),(128+0j),(5699+6826j)
