mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1716876861.591915,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(120-227j),(69-278j),(-10-312j),(-154-289j),(-272-201j),(-342-87j),(-396+41j),(-386+168j),(-347+287j),(-278+412j),(-159+500j),(-13+545j),(135+563j),(308+528j),(484+450j),(591+330j),(674+183j),(725+37j),(719-135j),(679-300j),(576-434j),(473-538j),(343-603j),(186-635j),(53-633j),(-91-573j),(-195-447j),(-261-231j),(1598-3776j),(250-124j),(249-368j),(167-489j),(58-562j),(-66-576j),(-192-574j),(-292-559j),(-389-507j),(-483-430j),(-565-339j),(-604-215j),(-639-57j),(-620+73j),(-566+197j),(-506+295j),(-396+387j),(-284+446j),(-173+485j),(-45+508j),(85+499j),(210+436j),(335+363j),(427+237j),(495+63j),(504-144j),(400-345j),(274-435j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876861.693775,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-327-115j),(-302+107j),(-162+273j),(58+321j),(253+226j),(355+43j),(340-177j),(210-360j),(-8-447j),(-258-410j),(-452-235j),(-536+13j),(-504+288j),(-320+528j),(-26+647j),(306+598j),(566+393j),(704+90j),(687-251j),(504-535j),(194-681j),(-117-672j),(-375-535j),(-549-295j),(-605-37j),(-508+227j),(-293+368j),(-3+353j),(1598-3776j),(-272+34j),(-273+312j),(-123+489j),(129+537j),(356+441j),(537+248j),(618+22j),(579-246j),(444-476j),(210-626j),(-86-649j),(-354-527j),(-539-315j),(-614-29j),(-537+248j),(-350+440j),(-108+528j),(138+510j),(358+378j),(492+167j),(492-100j),(380-333j),(146-474j),(-159-490j),(-451-298j),(-555+59j),(-427+379j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876861.796216,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(113+192j),(226+131j),(295+20j),(291-132j),(213-256j),(97-339j),(-34-383j),(-179-371j),(-323-321j),(-438-209j),(-509-71j),(-533+80j),(-530+250j),(-460+418j),(-342+552j),(-184+650j),(6+692j),(201+682j),(385+629j),(525+509j),(603+354j),(644+195j),(655+41j),(611-114j),(560-227j),(445-319j),(291-362j),(75-337j),(1598-3776j),(238+134j),(424+11j),(492-128j),(476-275j),(426-379j),(348-490j),(253-574j),(129-627j),(-10-661j),(-163-663j),(-289-600j),(-414-496j),(-520-385j),(-580-238j),(-605-79j),(-580+73j),(-505+209j),(-434+329j),(-332+440j),(-194+505j),(-46+522j),(119+519j),(290+437j),(458+300j),(560+77j),(550-187j),(444-367j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876861.898457,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-191+113j),(-184+193j),(-133+271j),(10+325j),(157+299j),(275+223j),(364+116j),(417-12j),(420-134j),(404-279j),(326-409j),(195-494j),(58-578j),(-118-604j),(-300-581j),(-459-511j),(-592-391j),(-675-234j),(-720-79j),(-718+84j),(-662+254j),(-573+379j),(-470+463j),(-346+532j),(-210+557j),(-54+543j),(69+453j),(180+289j),(1598-3776j),(-268+45j),(-319+262j),(-309+403j),(-223+502j),(-114+569j),(-11+606j),(109+630j),(224+610j),(356+576j),(462+493j),(546+378j),(620+237j),(643+81j),(627-59j),(580-181j),(509-303j),(394-382j),(306-459j),(182-514j),(41-537j),(-112-519j),(-267-465j),(-398-354j),(-518-179j),(-575+58j),(-508+309j),(-380+443j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876861.972454,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(262+178j),(303+19j),(257-147j),(101-294j),(-123-300j),(-303-169j),(-374+48j),(-311+264j),(-124+428j),(141+464j),(384+336j),(524+84j),(531-214j),(354-485j),(63-635j),(-277-604j),(-548-405j),(-683-91j),(-670+254j),(-459+542j),(-145+693j),(172+655j),(432+492j),(581+228j),(597-67j),(457-324j),(194-419j),(-71-336j),(1598-3776j),(254-110j),(158-385j),(-63-504j),(-312-444j),(-513-260j),(-593+0j),(-566+252j),(-419+481j),(-156+619j),(140+634j),(409+488j),(587+225j),(616-65j),(507-330j),(282-516j),(6-570j),(-244-464j),(-432-296j),(-520-50j),(-470+219j),(-290+420j),(-14+517j),(277+424j),(495+181j),(518-181j),(291-487j),(-23-567j),(10277+0j),(-14336-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876862.001270,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-209+81j),(-201+175j),(-147+267j),(1+328j),(154+304j),(282+230j),(382+116j),(419-10j),(433-159j),(399-305j),(307-423j),(190-517j),(49-587j),(-141-599j),(-324-567j),(-481-489j),(-610-363j),(-699-210j),(-737-44j),(-733+126j),(-653+293j),(-564+414j),(-450+511j),(-310+573j),(-185+594j),(-18+573j),(103+478j),(214+282j),(1598-3776j),(-272+76j),(-308+330j),(-254+466j),(-140+563j),(-24+609j),(108+620j),(225+602j),(347+567j),(455+505j),(546+418j),(614+282j),(654+117j),(653-20j),(603-178j),(530-294j),(442-392j),(315-464j),(194-508j),(49-545j),(-89-543j),(-217-470j),(-359-397j),(-476-258j),(-548-61j),(-547+177j),(-418+410j),(-254+511j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876862.001841,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-233-168j),(-271-93j),(-291+18j),(-264+180j),(-133+314j),(37+364j),(202+337j),(344+248j),(433+106j),(476-58j),(454-245j),(364-418j),(200-545j),(-6-613j),(-222-634j),(-447-549j),(-607-380j),(-700-189j),(-726+38j),(-676+263j),(-579+444j),(-407+567j),(-243+647j),(-46+663j),(138+601j),(311+494j),(376+314j),(341+60j),(1598-3776j),(-107+257j),(85+444j),(256+472j),(417+387j),(554+281j),(629+126j),(648-48j),(637-211j),(556-374j),(424-520j),(258-623j),(70-672j),(-131-650j),(-307-566j),(-432-434j),(-519-266j),(-544-86j),(-527+70j),(-471+229j),(-365+362j),(-222+474j),(-45+535j),(184+511j),(390+379j),(541+144j),(557-148j),(447-356j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876862.037195,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-238-173j),(-291+3j),(-243+173j),(-106+299j),(81+327j),(255+250j),(373+113j),(413-84j),(374-265j),(246-426j),(54-520j),(-173-524j),(-393-436j),(-562-254j),(-651-21j),(-635+235j),(-518+477j),(-321+655j),(-61+746j),(203+728j),(427+590j),(602+382j),(664+186j),(650-60j),(582-269j),(401-433j),(169-476j),(-69-360j),(1598-3776j),(300-30j),(333-307j),(227-490j),(35-584j),(-159-574j),(-357-511j),(-522-376j),(-618-215j),(-681-18j),(-668+212j),(-533+415j),(-343+556j),(-136+632j),(88+624j),(282+545j),(433+378j),(513+186j),(542+4j),(509-198j),(398-362j),(190-489j),(-22-530j),(-253-460j),(-464-290j),(-563+4j),(-485+322j),(-292+513j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876862.037216,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(-245+4j),(-222+144j),(-126+256j),(18+315j),(185+293j),(315+196j),(385+69j),(417-73j),(391-216j),(324-358j),(206-461j),(55-535j),(-116-564j),(-299-529j),(-478-458j),(-619-321j),(-695-154j),(-722+37j),(-710+219j),(-619+386j),(-500+533j),(-337+612j),(-197+667j),(-22+669j),(124+617j),(266+545j),(337+385j),(336+130j),(1598-3776j),(-178+225j),(-58+456j),(84+536j),(227+529j),(375+501j),(497+412j),(584+301j),(645+193j),(662+64j),(673-96j),(626-244j),(540-402j),(435-508j),(272-565j),(134-578j),(-19-588j),(-171-530j),(-280-456j),(-396-356j),(-469-227j),(-519-76j),(-519+85j),(-464+271j),(-341+430j),(-115+559j),(165+572j),(359+476j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
b827eb983f87,1716876862.104047,(6161-7188j),(-5097-1041j),(-5118-11j),(-6125+3092j),(76-226j),(9-276j),(-93-297j),(-247-235j),(-343-101j),(-375+44j),(-355+187j),(-297+331j),(-190+425j),(-47+498j),(99+525j),(249+500j),(390+438j),(527+333j),(653+195j),(714+20j),(717-162j),(663-320j),(583-479j),(448-590j),(307-687j),(149-712j),(-9-706j),(-142-672j),(-280-587j),(-375-475j),(-403-317j),(-357-75j),(1598-3776j),(152-243j),(18-466j),(-112-543j),(-238-524j),(-383-497j),(-481-419j),(-544-337j),(-628-244j),(-649-120j),(-658+8j),(-641+149j),(-604+294j),(-524+413j),(-412+500j),(-278+533j),(-146+559j),(-1+545j),(118+515j),(236+468j),(350+391j),(432+280j),(504+139j),(536-45j),(497-233j),(380-432j),(157-565j),(-31-563j),(10277+0j),(-15104-32640j),(128+0j),(1607+7082j)
