mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
b827eb983f87,1716878672.774206,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(267+543j),(434+427j),(560+248j),(589-85j),(441-376j),(217-524j),(-18-573j),(-213-522j),(-366-417j),(-489-286j),(-559-108j),(-564+70j),(-544+233j),(-473+402j),(-354+561j),(-186+668j),(-9+701j),(182+703j),(392+670j),(585+556j),(741+356j),(828+134j),(832-94j),(744-355j),(594-581j),(301-717j),(1-670j),(-248-413j),(-4993-576j),(324-165j),(243-500j),(27-613j),(-203-600j),(-366-499j),(-494-360j),(-546-221j),(-566-68j),(-540+67j),(-502+189j),(-417+313j),(-273+395j),(-157+439j),(-36+470j),(92+460j),(219+408j),(333+302j),(420+198j),(484+41j),(482-128j),(377-309j),(224-466j),(-14-530j),(-283-478j),(-504-267j),(-582+58j),(-527+260j),(10277+0j),(-15104-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878672.774964,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(435+403j),(553+238j),(608+29j),(521-294j),(273-512j),(5-565j),(-214-526j),(-390-391j),(-489-229j),(-549-59j),(-556+116j),(-488+285j),(-403+420j),(-265+548j),(-103+648j),(83+683j),(288+659j),(464+568j),(638+435j),(737+243j),(823+6j),(800-223j),(707-460j),(522-659j),(270-757j),(-28-774j),(-295-613j),(-405-241j),(-4993-576j),(206-291j),(-22-559j),(-266-573j),(-457-444j),(-574-277j),(-601-86j),(-590+62j),(-536+207j),(-438+322j),(-332+411j),(-190+460j),(-43+503j),(89+485j),(202+435j),(302+343j),(392+225j),(430+80j),(439-58j),(422-206j),(317-363j),(159-479j),(-63-524j),(-292-447j),(-470-260j),(-551+36j),(-458+354j),(-297+493j),(10277+0j),(-14848-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878672.775198,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-250-528j),(-448-399j),(-588-202j),(-590+103j),(-473+347j),(-287+491j),(-87+557j),(99+551j),(268+491j),(404+409j),(489+296j),(539+182j),(595+33j),(603-109j),(615-234j),(570-387j),(474-527j),(338-653j),(192-753j),(22-795j),(-154-803j),(-358-743j),(-530-650j),(-673-480j),(-770-277j),(-759-24j),(-634+212j),(-310+378j),(-4993-576j),(-244-270j),(-530-180j),(-616+19j),(-574+216j),(-508+326j),(-411+442j),(-289+509j),(-180+530j),(-45+528j),(67+521j),(145+483j),(230+429j),(317+361j),(385+270j),(425+155j),(456+39j),(450-76j),(410-210j),(345-324j),(232-431j),(94-497j),(-97-507j),(-281-432j),(-467-277j),(-572+2j),(-514+305j),(-357+483j),(10277+0j),(-14848-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878672.775528,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(464+368j),(566+195j),(604-14j),(498-324j),(249-525j),(-20-566j),(-248-518j),(-409-375j),(-512-217j),(-557-42j),(-546+135j),(-482+305j),(-382+452j),(-253+555j),(-94+660j),(98+679j),(293+636j),(474+560j),(642+429j),(764+245j),(831-5j),(793-235j),(707-461j),(515-660j),(275-776j),(-35-789j),(-294-608j),(-402-252j),(-4993-576j),(209-291j),(-14-567j),(-258-573j),(-436-452j),(-554-287j),(-597-111j),(-582+48j),(-535+199j),(-445+293j),(-330+389j),(-211+456j),(-79+488j),(68+462j),(185+426j),(281+362j),(388+251j),(432+114j),(446-18j),(432-183j),(351-335j),(198-460j),(-11-526j),(-250-482j),(-462-304j),(-560-15j),(-484+311j),(-337+471j),(10277+0j),(-14848-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878672.877320,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(311+576j),(444+426j),(530+249j),(561+11j),(496-202j),(391-344j),(278-437j),(173-478j),(69-504j),(-23-517j),(-112-507j),(-197-483j),(-289-471j),(-366-426j),(-441-394j),(-517-337j),(-577-273j),(-655-201j),(-706-110j),(-751-8j),(-743+105j),(-745+233j),(-705+351j),(-608+471j),(-503+585j),(-320+640j),(-123+611j),(113+447j),(-4993-576j),(-345-35j),(-477+205j),(-461+368j),(-366+476j),(-263+503j),(-171+537j),(-106+534j),(-35+510j),(32+528j),(94+497j),(152+456j),(208+405j),(260+371j),(314+315j),(351+269j),(393+208j),(413+122j),(445+50j),(464-52j),(455-157j),(388-279j),(303-402j),(155-488j),(-34-527j),(-254-495j),(-459-347j),(-576-183j),(10277+0j),(-15104-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878672.979034,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-42-506j),(-251-458j),(-422-335j),(-523-90j),(-495+137j),(-372+311j),(-243+422j),(-89+468j),(58+465j),(175+430j),(279+370j),(353+295j),(423+199j),(467+106j),(515+16j),(531-97j),(513-213j),(468-332j),(404-450j),(306-538j),(188-621j),(36-666j),(-107-672j),(-284-622j),(-447-499j),(-547-323j),(-556-101j),(-372+149j),(-4993-576j),(-59-300j),(-330-369j),(-489-255j),(-544-98j),(-561+36j),(-532+175j),(-467+290j),(-399+364j),(-286+437j),(-178+494j),(-65+516j),(50+517j),(168+483j),(263+414j),(358+324j),(418+217j),(469+97j),(479-52j),(441-181j),(381-327j),(251-450j),(85-525j),(-131-517j),(-357-418j),(-538-176j),(-574+127j),(-485+342j),(10277+0j),(-15104-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878673.081459,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(92-333j),(-23-379j),(-154-380j),(-316-256j),(-388-75j),(-376+92j),(-325+217j),(-236+299j),(-139+342j),(-37+368j),(56+371j),(140+346j),(221+320j),(297+267j),(374+214j),(421+140j),(462+51j),(472-30j),(495-128j),(469-240j),(435-366j),(364-459j),(265-553j),(126-601j),(-29-606j),(-212-566j),(-338-414j),(-358-146j),(-4993-576j),(173-251j),(20-492j),(-167-544j),(-314-479j),(-445-400j),(-524-291j),(-557-174j),(-572-71j),(-553+43j),(-528+155j),(-472+245j),(-414+336j),(-328+396j),(-232+456j),(-126+461j),(-25+481j),(93+454j),(195+427j),(299+369j),(395+274j),(466+144j),(505-15j),(473-203j),(356-383j),(161-503j),(-112-528j),(-263-441j),(10277+0j),(-14592-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878673.183991,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(317+337j),(376+203j),(399+64j),(377-106j),(297-246j),(193-329j),(88-381j),(-1-388j),(-87-372j),(-162-364j),(-232-321j),(-291-270j),(-344-233j),(-391-175j),(-437-116j),(-472-51j),(-493+19j),(-517+95j),(-522+174j),(-506+246j),(-474+343j),(-428+424j),(-374+496j),(-268+565j),(-165+598j),(-18+597j),(118+515j),(239+312j),(-4993-576j),(-302+93j),(-323+354j),(-259+494j),(-148+559j),(-43+584j),(62+575j),(135+558j),(196+529j),(254+494j),(308+458j),(351+400j),(399+321j),(442+259j),(458+191j),(473+120j),(487+47j),(467-48j),(463-136j),(429-235j),(372-326j),(269-408j),(151-487j),(-8-505j),(-187-481j),(-368-384j),(-507-194j),(-557-23j),(10277+0j),(-14592-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878673.184504,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-272-183j),(-355-93j),(-401+26j),(-332+222j),(-209+328j),(-50+376j),(75+373j),(201+337j),(294+257j),(358+171j),(397+74j),(397-8j),(405-115j),(380-203j),(360-281j),(298-368j),(211-448j),(114-490j),(14-545j),(-105-552j),(-214-540j),(-338-500j),(-445-428j),(-541-314j),(-599-154j),(-596+9j),(-501+188j),(-248+303j),(-4993-576j),(-196-241j),(-450-187j),(-557-23j),(-551+149j),(-512+261j),(-439+380j),(-343+462j),(-259+494j),(-134+536j),(-28+550j),(67+530j),(149+496j),(249+458j),(335+370j),(407+280j),(443+172j),(465+59j),(479-49j),(448-188j),(389-316j),(272-416j),(118-489j),(-57-497j),(-266-438j),(-459-268j),(-531-21j),(-495+149j),(10277+0j),(-14592-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878673.287172,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-22-467j),(-111-422j),(-195-364j),(-320-243j),(-386-62j),(-379+83j),(-333+211j),(-270+302j),(-187+371j),(-98+424j),(4+437j),(98+418j),(192+424j),(281+384j),(374+327j),(446+273j),(508+200j),(572+110j),(611+31j),(640-69j),(625-207j),(609-332j),(609-332j),(454-563j),(350-635j),(155-680j),(-22-623j),(-213-415j),(-4993-576j),(380-66j),(464-378j),(396-574j),(240-692j),(106-735j),(-36-743j),(-148-737j),(-250-688j),(-354-650j),(-438-594j),(-509-520j),(-578-394j),(-628-306j),(-662-191j),(-673-70j),(-672+58j),(-619+197j),(-584+311j),(-508+453j),(-402+565j),(-225+636j),(-20+702j),(209+670j),(446+572j),(663+343j),(760+13j),(742-206j),(10277+0j),(-14080-32640j),(128+0j),(5699+6826j)
b827eb983f87,1716878673.389530,(3067+2047j),(1023-7170j),(7168+7168j),(-2047+2047j),(-241-130j),(-264-95j),(-290-38j),(-278+104j),(-206+226j),(-206+226j),(6+307j),(110+287j),(183+226j),(243+176j),(288+110j),(312+40j),(322-25j),(325-98j),(333-165j),(304-243j),(256-309j),(203-362j),(144-420j),(55-446j),(-20-500j),(-113-497j),(-219-496j),(-326-449j),(-425-350j),(-494-249j),(-499-77j),(-350+125j),(-4993-576j),(-20-303j),(-258-428j),(-444-379j),(-542-269j),(-616-150j),(-652-25j),(-638+82j),(-620+175j),(-556+277j),(-510+376j),(-444+443j),(-376+510j),(-280+562j),(-158+588j),(-45+582j),(70+577j),(180+544j),(303+503j),(411+423j),(516+303j),(585+172j),(632-15j),(601-219j),(488-438j),(257-614j),(-60-666j),(-255-612j),(10277+0j),(-14592-32640j),(128+0j),(5699+6826j)
